Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Jacob Logan,TE,SE Louisiana,Southland,0.713,0.544,3.925,-0.044,0.961,1.581,0.125,1.804,14.255,10.33,3.925,-0.44,1.923,6.324,1.626,12.629,300,0
2023,Dominique Shoffner,QB,Charlotte,AAC,0.198,0.1,0.323,-0.318,0.438,0.785,0.01,0.612,3.167,0.903,2.264,-2.228,3.068,0.785,0.109,3.058,300,0
2023,Dominique Shoffner,QB,Charlotte,AAC,0.198,0.1,0.323,-0.318,0.438,0.785,0.01,0.612,3.167,0.903,2.264,-2.228,3.068,0.785,0.109,3.058,300,0
2023,Brandon Porter,WR,Incarnate Word,Southland,1.095,1.208,-0.057,0.857,1.007,1.421,1.024,1.252,85.373,85.774,-0.402,32.55,19.142,26.995,55.322,30.051,300,0
2023,Lyndon Rash,WR,Grambling,SWAC,1.003,0.92,3.063,0.488,0.968,3.278,0.287,2.148,26.07,23.007,3.063,6.339,5.811,16.391,4.591,21.479,300,0
2023,Spencer Curtis,WR,Nevada,Mountain West,0.785,0.785,0.272,0.21,1.194,0.533,0.829,0.741,18.83,18.83,0,1.469,13.13,2.665,9.944,8.887,300,0
2023,Josh Thompson,WR,Stephen F. Austin,UAC,0.895,0.954,-0.347,0.711,1.103,1.114,0.671,1.163,19.687,20.033,-0.347,6.401,8.826,3.342,8.055,11.631,300,0
2023,Perry Carter,WR,Jacksonville State,CUSA,1.227,1.332,0.473,0.859,1.168,1.889,1.068,1.438,60.103,57.264,2.839,16.327,23.351,16.999,29.915,30.188,300,0
2023,Hunter Smith,RB,UL Monroe,SBC,0.189,0.864,0.131,0.188,0.064,0.766,0.145,0.31,19.094,6.911,12.183,9.758,2.554,6.127,10.737,8.357,300,0
2023,Isaiah Woullard,RB,UL Monroe,SBC,-0.016,0.11,-0.03,-0.033,-0.014,-0.139,-0.075,0.157,-1.669,1.096,-2.765,-1.529,-0.586,-1.808,-5.752,4.083,300,0
2023,Monterio Hunt,WR,Alcorn State,SWAC,0.977,0.977,0.316,1.315,0.802,0.493,1.005,0.921,26.37,26.37,0,14.47,10.422,1.478,18.084,8.286,300,0
2023,Ben Bryant,QB,Northwestern,Big Ten,0.277,0.272,0.318,-0.012,0.25,0.75,0.038,0.572,81.701,71.202,10.499,-1.254,25.7,60.004,6.201,75.5,300,0
2023,Ryan Montgomery,RB,Cincinnati,B12,0.411,1.35,0.2,-0.107,0.74,0.946,0.121,0.991,24.642,14.847,9.794,-2.787,17.021,10.408,4.821,19.821,300,0
