Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,index_combine,Season_combine,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Overall Pick,Combine Participation
2025,Brenen Thompson,WR,Mississippi State,SEC,0.919,0.936,0.478,0.39,0.741,1.775,0.56,1.463,71.654,70.219,1.435,12.49,19.277,31.956,26.309,45.346,273,2026,69.375,164,9,29.375,69.04,4.26,39.16,15,128.38,6.37,3.73,105,1
2025,Nicholas Singleton,RB,Penn State,B1G,0.138,0.264,0.104,0.023,0.024,0.166,0.081,0.292,20.556,8.436,12.119,1.402,1.317,3.992,8.879,11.676,222,2026,72.000,219,9.375,31,83.99,4.55,35.94,19,119.38,7.32,4.6,165,0
2025,Nate Boerkircher,TE,Texas A&M,SEC,0.769,0.698,1.321,0.42,1.388,0.268,0.675,0.947,20.005,16.043,3.962,5.042,9.717,1.607,11.483,8.522,141,2026,77.500,245,10.5,32.625,68.98,4.59,23.9,27,131.88,7.71,4.4,56,1
2025,Seth McGowan,RB,Kentucky,SEC,0.113,0.075,0.119,-0.086,0.288,0.456,0.087,0.251,19.992,1.875,18.117,-8.182,19.004,6.84,12.96,7.032,220,2026,72.250,223,8.75,31.375,80.65,4.49,42.5,27,131,7.32,4.5,237,1
2025,Michael Washington,RB,Arkansas,SEC,0.161,0.098,0.177,0.124,0.029,0.622,0.133,0.26,28.938,3.62,25.318,13.04,1.579,11.824,18.781,10.157,219,2026,73.000,223,9.25,33.625,82,4.33,39,22,128,7.32,4.69,122,1
2025,Roman Hemby,RB,Indiana,B1G,0.016,0.226,0,0.044,-0.036,0.052,0.023,-0.019,3.386,3.393,-0.007,4.831,-2.799,1.355,4.075,-0.688,228,2026,72.000,207,9.5,31,74.48,4.29,28.05,18,100.56,7.32,3.79,300,0
2025,Aaron Anderson,WR,LSU,SEC,0.683,0.705,-0.31,0.507,0.404,1.196,0.453,0.957,31.424,31.734,-0.31,8.62,6.062,16.742,11.33,20.094,293,2026,68.000,191,9.25,29.75,72.06,4.71,30,18,113,6.96,3.91,300,1
2025,Riley Nowakowski,TE,Indiana,B1G,0.693,0.636,2.454,0.319,1.11,1.44,0.465,1.193,22.175,19.721,2.454,4.47,11.096,8.642,10.241,11.934,161,2026,74.250,250,8.75,31.5,81.24,4.66,33.5,30,119,7.34,4.3,169,1
2025,Marlin Klein,TE,Michigan,B1G,0.202,0.202,-0.859,0.302,0.024,0.254,0.102,0.372,7.658,7.658,0,4.833,0.285,2.54,2.45,5.208,150,2026,78.000,248,9.25,32.375,88.94,4.61,36,30,118,7.42,4.59,59,1
2025,Barion Brown,WR,LSU,SEC,0.32,0.302,0.645,-0.059,0.519,0.91,-0.018,0.806,17.937,16.003,1.934,-1.404,12.974,6.367,-0.601,18.538,292,2026,70.000,177,9,31.5,77.37,4.4,40.76,23,132.36,6.22,4.54,190,1
2025,Harrison Wallace III,WR,Ole Miss,SEC,0.737,0.792,-0.766,0.342,0.915,0.906,0.601,0.927,63.422,65.721,-2.299,12.31,26.533,13.59,30.059,33.363,300,2026,72.000,192,8.375,32.125,75.28,4.54,36.39,28,121.81,6.37,4.63,300,1
2025,Khalil Dinkins,TE,Penn State,B1G,0.943,0.943,1.201,1.45,0.364,-0.042,1.276,0.445,14.152,14.152,0,11.601,2.551,0,11.484,2.668,164,2026,76.250,251,9.5,33.25,66.77,4.72,32.5,25,119,7.28,4.33,300,1
2025,Jonah Coleman,RB,Washington,B1G,0.303,0.841,0.181,0.073,0.354,1.076,0.147,1.118,49.128,25.225,23.903,6.612,17.697,19.36,20.057,29.07,216,2026,68.000,220,9.125,28.875,81.01,4.49,28.19,22,119.96,7.32,4.81,108,1
2025,Oscar Delp,TE,Georgia,SEC,0.535,0.535,0.556,0.582,0.971,-1.151,0.66,0.061,12.839,12.839,0,9.315,5.826,-2.302,12.532,0.307,147,2026,77.000,245,9.5,31.625,71.44,4.23,58.09,25,127.83,7.92,5.51,73,0
2025,R.J. Maryland,TE,SMU,ACC,0.442,0.442,-0.001,0.497,0.256,0.471,0.289,1.266,14.14,14.14,0,10.935,1.791,1.414,7.812,6.328,162,2026,76.125,236,9,32.25,88.2,4.51,33,22,122,7.36,4.49,300,1
2025,Johnmichael Gyllenborg,TE,Wyoming,MWC,0.375,0.375,-1.106,0.471,-0.126,0.514,0.335,0.422,12.364,12.364,0,6.122,-1.134,4.625,6.034,6.33,155,2026,77.750,249,10,31,80.49,4.6,35.5,19,128,7.25,4.22,300,1
2025,De'Zhaun Stribling,WR,Ole Miss,SEC,0.66,0.66,0.447,0.604,0.871,0.866,0.418,1.155,42.218,42.218,0,19.331,16.557,10.392,17.953,24.265,299,2026,74.125,207,10,31.625,81.96,4.36,36,15,127,6.9,4.5,33,1
2025,Dillon Bell,WR,Georgia,SEC,0.307,0.268,0.413,-0.112,0.466,0.964,0.25,0.391,18.402,11.8,6.602,-2.904,10.707,10.599,9.016,9.386,308,2026,72.750,209,9.5,30.25,73.04,4.5,39,23,126,6.94,4.56,300,1
2025,J'mari Taylor,RB,Virginia,ACC,0.115,0.23,0.086,-0.022,-0.065,0.603,0.083,0.237,27.026,11.018,16.008,-2.263,-4.919,30.131,15.414,11.612,227,2026,70.000,199,9,30,77.76,4.36,34.5,20,115,7.32,4.12,300,1
2025,Eric Rivers,WR,Georgia Tech,ACC,0.48,0.485,0.433,-0.068,0.665,1.415,0.19,1.087,32.648,29.615,3.032,-2.257,15.97,14.155,8.742,23.906,282,2026,70.125,176,9,30.5,74.99,4.35,37,25,127,6.77,4.47,300,1
2025,Chase Roberts,WR,BYU,B12,0.405,0.405,-0.572,0.383,0.271,0.815,0.396,0.42,33.173,33.173,0,12.641,6.234,17.115,21.4,11.773,297,2026,75.250,209,9.625,31.5,75.07,4.64,37,16,126,6.51,4.26,300,1
2025,Drew Allar,QB,Penn State,B1G,0.253,0.193,0.52,0.054,0.304,0.613,0.109,0.512,51.049,31.817,19.231,4.738,16.741,31.863,14.183,36.865,170,2026,77.250,228,9.875,32.75,79.625,8.27,55.19,16,188.24,6.75,6.72,76,1
2025,Omar Cooper Jr.,WR,Indiana,B1G,0.674,0.641,1.519,0.438,1.006,0.961,0.514,1.208,52.596,48.038,4.558,20.134,17.094,13.454,30.858,21.738,268,2026,72.125,196,9.625,30.25,75.25,4.42,37,34,119.03,8.07,4.34,30,1
2025,Eli Raridon,TE,Notre Dame,Ind,0.597,0.597,-0.197,0.915,0.454,0.659,0.522,0.737,23.884,23.884,0,17.379,5.45,5.27,13.562,10.322,145,2026,78.125,245,10.75,32.75,81.02,4.62,36,20,123,7.76,4.45,95,1
2025,Denzel Boston,WR,Washington,B1G,0.668,0.668,-0.132,0.7,0.778,0.856,0.574,0.874,44.737,44.737,0,20.299,13.225,15.399,26.383,18.354,271,2026,75.625,212,9.625,32,77.375,4.48,35,29,133.48,7.37,4.28,39,1
2025,Demond Claiborne,RB,Wake Forest,ACC,0.023,0.018,0.024,-0.039,0.032,0.174,0.017,0.044,4.078,0.63,3.448,-3.69,1.665,4.873,2.362,1.717,217,2026,69.750,188,9,30.125,63.95,4.37,35.31,23,122,7.32,4.31,198,1
2025,Emmett Johnson,RB,Nebraska,B1G,0.158,0.087,0.176,0.118,0.171,0.54,0.152,0.188,41.325,4.606,36.719,15.887,13.68,22.677,32.879,8.446,218,2026,70.250,202,9.625,30.25,74.375,4.56,35.5,16,120,7.32,4.29,161,1
2025,Max Klare,TE,Ohio State,B1G,0.432,0.432,0.692,0.346,0.686,0.578,0.303,0.726,21.181,21.181,0,7.258,11.667,5.202,10.296,10.885,142,2026,76.375,246,9.125,32.125,77.875,4.82,38.94,23,112.4,7.87,3.92,61,0
2025,Fernando Mendoza,QB,Indiana,B1G,0.464,0.452,0.544,0.289,0.524,0.735,0.304,0.793,183.289,156.099,27.19,47.05,65.999,73.514,80.955,102.334,165,2026,76.750,236,9.5,31.875,76.75,10.62,55.53,13,154.49,7.98,6.49,1,1
2025,Dae'Quan Wright,TE,Ole Miss,SEC,0.603,0.598,0.866,0.506,0.466,1.033,0.417,1.404,31.964,31.098,0.866,13.166,4.196,14.458,17.928,14.036,153,2026,76.000,246,9.25,32.25,106.55,4.33,40.64,28,117.09,7.23,4.06,300,0
2025,Reginald Virgil,WR,Texas Tech,B12,0.373,0.373,0.054,0.179,0.284,0.961,0.286,0.485,29.845,29.845,0,5.923,7.955,17.292,12.867,16.978,289,2026,75.000,187,9.25,31.25,79.35,4.57,36,24,127,6.74,4.67,143,1
2025,Caleb Douglas,WR,Texas Tech,B12,0.338,0.338,0.719,-0.07,0.324,0.981,-0.07,0.879,26.728,26.728,0,-1.972,9.085,20.592,-3.159,29.886,304,2026,75.500,206,10.125,32.5,80.86,4.39,31.5,26,126,6.17,4.1,75,1
2025,Zavion Thomas,WR,LSU,SEC,0.392,0.467,0.246,0.026,0.407,0.766,0.218,0.683,21.964,17.288,4.676,0.614,7.736,8.421,7.628,14.337,294,2026,70.375,190,9,30.5,72.31,4.28,36,25,123.64,5.83,4.49,89,1
2025,Vinny Anthony,WR,Wisconsin,B1G,0.48,0.435,1.43,0.278,0.425,0.956,0.091,0.947,21.121,18.261,2.86,4.446,8.068,8.607,2.19,18.931,284,2026,71.875,183,9.125,31.125,65.1,4.54,34.5,15,112.39,6.86,4.07,300,1
2025,Chris Bell,WR,Louisville,ACC,0.569,0.569,0.428,0.678,0.394,0.606,0.606,0.497,55.17,55.17,0,29.832,12.604,12.733,38.778,16.392,280,2026,73.875,222,10,31.75,76.75,4.41,33.43,29,126.43,6.81,4.36,94,0
2025,Zachariah Branch,WR,Georgia,SEC,0.48,0.514,-0.335,0.132,0.183,1.112,0.359,0.645,47.508,48.85,-1.341,5.545,5.112,30.031,20.435,27.073,274,2026,68.625,177,9,29.375,72.375,4.35,38,20,125,7.58,4.45,79,1
2025,Kevin Concepcion,WR,Texas A&M,SEC,0.514,0.522,0.425,0.577,0.472,0.534,0.464,0.634,53.969,50.146,3.823,26.559,17.466,11.215,34.305,19.664,270,2026,71.625,196,9.25,30.25,74.875,4.4,36.32,28,113.5,6.73,4.5,24,0
2025,Makai Lemon,WR,USC,B1G,0.579,0.643,-0.525,0.605,0.318,0.984,0.574,0.587,63.67,66.822,-3.152,30.863,10.812,18.694,40.777,22.893,269,2026,71.125,192,8.75,30.5,73.25,4.34,36.52,25,127.75,7.64,4.48,20,0
2025,Jeremiyah Love,RB,Notre Dame,Ind,0.254,0.625,0.189,0.021,0.443,0.743,0.17,0.509,53.284,19.382,33.902,2.223,32.802,17.836,26.816,26.468,213,2026,72.000,212,9.125,32,78.625,4.36,44.79,27,130.13,7.32,4.06,3,1
2025,Ja'Kobi Lane,WR,USC,B1G,0.788,0.788,-0.364,0.098,0.757,1.62,0.712,0.922,54.367,54.367,0,2.743,15.89,29.165,31.318,23.049,290,2026,76.375,200,10.5,32.625,79.55,4.47,40,30,129,6.16,4.22,80,1
2025,Carnell Tate,WR,Ohio State,B1G,1.061,1.073,0.668,0.775,0.982,1.629,0.846,1.655,67.892,66.556,1.336,22.489,19.643,22.802,39.756,28.136,267,2026,74.250,192,10.25,31.75,78,4.53,36.93,24,118.3,6.44,4.15,4,1
2025,Jalen Walthall,WR,Incarnate Word,Southland,0.232,0.232,-0.098,0.234,0.205,0.439,0.153,0.396,17.884,17.884,0,7.239,5.525,7.03,7.978,9.906,305,2026,73.000,191,9,31.25,79.08,4.57,35,20,131,7.78,4.4,300,1
2025,Josh Cuevas,TE,Alabama,SEC,0.52,0.516,0.711,0,0.83,0.656,0.476,0.625,26.514,25.803,0.711,-0.005,14.102,5.907,17.136,9.378,143,2026,75.375,245,9.625,30.625,73.97,4.65,34,23,111,7.37,4.38,173,1
2025,Jaren Kanak,TE,Oklahoma,SEC,0.651,0.651,1.631,0.482,0.674,0.98,0.509,0.83,33.858,33.858,0,10.594,10.777,12.74,14.76,19.098,163,2026,74.000,234,9.375,30.5,74.59,4.52,36,24,119,7.43,5,225,1
2025,Max Bredeson,TE,Michigan,B1G,0.594,0.594,0.339,0.553,-0.02,1.207,0.594,0.147,1.187,1.187,0,0,-0.02,1.207,1.187,0,230,2026,74.000,252,10,30.125,86.23,4.94,36.75,26,110.64,7.32,4.63,159,0
2025,Josh Cameron,WR,Baylor,B12,0.437,0.437,0.016,0.255,0.981,0.194,0.359,0.55,35.376,35.376,0,8.666,18.645,4.074,17.233,18.143,283,2026,73.500,220,10.25,33.125,76.56,4.39,30.91,17,125.06,7.02,4.1,191,0
2025,Cole Payton,QB,North Dakota State,MVFC,0.578,0.556,0.625,0.461,0.548,0.755,0.437,0.847,175.183,113.895,61.288,54.864,51.556,61.91,87.045,88.139,167,2026,74.625,232,10.25,31.625,73.64,4.56,40,17,130,7.12,4.36,178,1
2025,Bryce Lance,WR,North Dakota State,MVFC,0.792,0.738,1.54,0.992,0.932,0.301,0.792,0.792,47.501,41.339,6.162,27.773,14.911,4.818,34.83,12.671,288,2026,75.375,204,9.25,32.125,78.99,4.34,41.5,33,133,7.47,4.52,136,1
2025,Will Kacmarek,TE,Ohio State,B1G,0.799,0.799,-0.645,0.858,0.837,0.543,0.857,-0.176,14.391,14.391,0,8.576,4.186,1.629,14.566,-0.176,146,2026,77.500,261,9.625,32.25,67.32,4.74,36,35,119,7.07,4.55,87,1
2025,Jordyn Tyson,WR,Arizona State,B12,0.522,0.527,0.268,0.439,0.361,0.472,0.596,0.401,50.643,50.108,0.536,14.049,11.546,10.85,35.789,14.854,266,2026,74.125,203,9.125,30.25,75.25,4.49,36.03,26,126.89,7.42,4.18,8,1
2025,Jeff Caldwell,WR,Cincinnati,B12,0.592,0.592,0.437,0.31,0.848,0.514,0.337,0.888,30.762,30.762,0,5.266,19.496,5.65,9.439,21.323,287,2026,77.000,216,9.625,32.625,78.98,4.31,42,29,134,7.91,4.51,300,1
2025,Bauer Sharp,TE,LSU,SEC,-0.065,-0.065,0.572,0.029,-0.422,-0.369,-0.056,-0.134,-1.755,-1.755,0,0.617,-1.267,-1.106,-1.355,-0.401,157,2026,76.625,249,9.625,31.75,87.46,4.63,44.67,20,120,7.1,5.41,185,1
2025,Cameron Ball,TE,Mississippi State,SEC,0.525,0.525,0.507,1.366,-0.316,0.567,1.366,-0.316,1.051,1.051,0,1.366,-0.316,0,1.366,-0.316,112,2026,76.000,310,9.5,33,83.6,5.13,32,32,109,8.02,4.76,300,1
2025,Fredrick Moore,WR,Michigan,B1G,-1.108,-1.108,-1.82,-1.108,-0.697,-1.5,-1.108,-1.267,-1.108,-1.108,0,-1.108,0,0,-1.108,0,66,2026,76.000,255,9.125,33.375,75.79,4.38,36.92,51,131.61,7.05,4.43,300,0
2025,Justin Joly,TE,NC State,ACC,0.421,0.421,3.519,0.203,0.367,1.156,0.468,0.336,22.299,22.299,0,3.646,8.798,9.245,15.918,6.38,151,2026,75.500,241,10.5,32.25,88.97,4.84,32.16,28,130.54,6.95,6.38,152,0
2025,Tanner Koziol,TE,Houston,B12,0.664,0.664,-1.859,0.325,0.811,0.702,0.49,0.953,51.155,51.155,0,6.832,23.508,16.156,23.525,27.63,154,2026,78.500,247,9.625,33.75,83.05,4.7,36.5,23,122,7.57,4.16,164,1
2025,Kaden Wetjen,WR,Iowa,B1G,0.177,0.115,0.282,0.157,0.076,1.07,0.284,-0.057,6.195,2.524,3.671,2.516,1.137,2.139,6.827,-0.632,301,2026,69.000,193,8.5,29.625,69.05,4.47,35.5,22,111.1,6.63,4.38,121,1
2025,Antonio Williams,WR,Clemson,ACC,0.472,0.513,0.266,0.538,0.404,0.364,0.382,0.655,37.281,33.827,3.454,18.835,8.888,6.909,20.243,17.039,278,2026,71.500,187,9.25,30.625,76,4.41,39.5,10,124,4.71,4.1,71,1
2025,Eli Heidenreich,WR,Navy,AAC,0.576,0.833,0.308,0.444,0.561,0.923,0.469,0.806,83.51,61.674,21.836,27.091,28.059,27.699,46.426,37.084,226,2026,72.000,198,9.5,29.25,72.69,4.44,35.5,16,120,7.32,4.31,230,1
2025,CJ Donaldson,RB,Ohio State,B1G,0.251,0.455,0.207,0.01,0.073,0.777,0.241,0.292,21.322,6.824,14.497,0.349,1.982,15.536,16.643,4.679,232,2026,74.000,230,9.5,31.75,91.83,4.77,31.88,32,137.33,7.32,4.95,300,0
2025,Kenyon Sadiq,TE,Oregon,B1G,0.538,0.594,-0.394,0.437,0.211,0.9,0.62,0.368,38.218,39.793,-1.575,12.239,4.857,16.195,29.756,8.462,138,2026,75.125,241,10,31.5,78.25,4.39,43.5,26,133,7.21,4.81,16,1
