Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2023,TE,Skill,Oregon St.,Pac-12,77.875,253,10.375,32.625,4.61,36.0,21,6.75,1,1793,76.446,0,0,1,0.9502519
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,4.65,35.0,28,7.07,0,2210,94.395,0,0,1,0.8332546
2023,DL,DL,Texas,Big 12,73.625,332,9.125,31.5,5.22,27.5,24,7.75,1,1900,79.1,1,0,1,0.7196785
2024,RB,Skill,Alabama,SEC,70.375,221,10.25,31.125,4.54,36.0,20,7.09,1,2032,84.968,0,0,1,0.94299835
2025,CB,Secondary,Oregon,Big Ten,69.125,182,9.0,28.5,4.41,35.37,13,7.01,1,2040,85.854,1,0,0,0.9445052
2024,IOL,OL,Michigan,Big Ten,75.875,305,10.125,33.0,5.17,27.0,27,7.78,1,2210,94.395,0,0,0,0.32673982
2025,QB,Skill,Miami,ACC,73.625,219,9.0,30.5,4.28,43.0,22,8.19,0,1855,77.097,1,1,1,0.9913823
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,5.05,31.0,20,7.6,1,1373,60.21,0,0,0,0.63537747
2024,CB,Secondary,Michigan,Big Ten,69.375,182,8.5,30.875,4.47,40.0,14,6.99,1,2210,94.395,0,0,1,0.98110276
2023,LB,LB,Louisville,ACC,72.625,237,9.25,32.375,4.47,36.5,26,7.38,1,1753,70.137,0,0,1,0.97857684
2024,EDGE,DL,Clemson,ACC,74.25,244,9.125,32.875,4.62,32.5,26,7.48,1,1764,72.489,1,0,1,0.92121553
2023,EDGE,DL,Oklahoma St.,Big 12,76.0,279,10.875,33.25,5.11,28.5,30,7.6,1,1545,60.448,0,0,1,0.4169576
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,4.36,35.5,20,7.69,1,1861,77.392,0,1,1,0.91533154
2025,OT,OL,Kansas,Big 12,78.375,311,10.0,33.75,5.18,32.0,26,7.75,1,1625,66.926,0,0,0,0.8233325
2024,C,OL,Michigan St.,Big Ten,76.0,307,9.75,32.75,5.17,31.5,27,7.41,0,1338,38.745,0,0,1,0.51031244
2025,OT,OL,Oregon,Big Ten,76.625,311,10.375,33.5,5.05,34.5,33,6.65,1,2040,85.854,1,1,1,0.99973494
2024,CB,Secondary,Mississippi St.,SEC,74.25,188,8.875,32.375,4.34,35.0,15,6.94,1,1421,45.573,0,0,1,0.7623394
2023,QB,Skill,Louisville,ACC,71.75,192,9.5,31.375,4.53,32.5,20,7.18,1,1753,70.137,0,0,0,0.9000707
2024,IOL,OL,Michigan,Big Ten,77.375,310,10.0,32.375,5.24,30.5,26,7.76,1,2210,94.395,0,0,1,0.9052176
2024,IOL,OL,Boston Col.,ACC,75.375,314,10.5,33.5,5.13,32.5,29,7.81,1,1345,38.527,0,0,1,0.9203185
2025,WR,Skill,Miami,ACC,74.25,200,9.38,31.5,4.44,41.5,14,6.65,1,1855,77.097,1,0,0,0.7882513
2023,RB,Skill,Pittsburgh,ACC,70.0,216,8.25,32.0,4.54,34.5,20,6.94,0,1687,61.732,0,0,1,0.5105821
2023,CB,Secondary,Illinois,Big Ten,71.0,194,9.625,31.125,4.46,44.0,15,6.79,1,1749,68.781,0,0,1,0.9797484
2024,LB,LB,Missouri,SEC,73.75,231,8.875,31.375,4.62,34.0,18,7.23,0,1866,78.168,0,0,1,0.22656113
2025,EDGE,DL,Minnesota,Big Ten,76.25,262,9.375,34.0,4.6,30.0,33,7.33,1,1674,68.599,0,0,0,0.865304
2025,S,Secondary,Iowa,Big Ten,71.25,203,10.5,30.625,4.59,30.5,11,7.11,1,1774,70.238,0,0,0,0.73550904
2023,C,OL,Troy,Sun Belt,74.75,305,10.0,32.875,5.15,26.0,20,8.06,1,1585,59.594,0,0,1,0.7191022
2024,DL,DL,Clemson,ACC,74.0,301,9.25,31.375,5.02,28.5,29,7.93,1,1764,72.489,1,0,1,0.9588188
2024,WR,Skill,Tulane,AAC,69.125,188,8.875,30.875,4.42,32.0,12,6.9,1,1598,60.759,0,0,1,0.744387
2023,CB,Secondary,Kansas St.,Big 12,74.75,198,9.625,34.0,4.53,41.5,15,6.63,1,1861,77.392,0,1,1,0.9708289
2024,EDGE,DL,Michigan,Big Ten,77.25,257,10.0,33.125,4.66,34.5,23,7.22,0,2210,94.395,0,0,0,0.9266034
2025,EDGE,DL,Ole Miss,SEC,76.375,244,9.625,33.875,4.72,38.0,29,7.33,1,2007,84.235,1,1,1,0.99395484
2023,RB,Skill,Alabama,SEC,69.125,199,9.25,30.5,4.36,33.5,20,7.32,1,2181,89.526,1,0,1,0.9737995
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,4.99,32.0,27,7.95,1,1654,68.7,0,0,1,0.8814211
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,4.88,31.0,22,7.5,1,1581,60.994,0,0,1,0.9006638
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,31.875,4.69,35.0,26,7.15,1,1742,70.585,0,0,1,0.8278088
2023,CB,Secondary,Penn St.,Big Ten,74.5,193,10.0,34.0,4.46,35.0,17,6.51,1,2000,82.964,0,1,1,0.9921131
2024,RB,Skill,Arizona,Pac-12,70.5,210,9.25,30.0,4.51,33.5,22,6.93,1,1822,73.172,0,0,0,0.8342091
2024,K,Special Teams,Stanford,Pac-12,73.875,207,9.125,31.5,4.5,37.0,17,6.93,0,1180,32.24,0,0,1,0.7793424
2023,EDGE,DL,Mississippi St.,SEC,74.0,263,9.0,32.875,4.65,28.5,23,7.12,1,1694,75.362,0,0,0,0.59385985
2024,TE,Skill,Florida St.,ACC,74.0,241,10.0,33.0,4.61,35.0,28,7.01,1,1789,83.68,0,0,1,0.8304621
2023,CB,Secondary,Boise St.,Mountain West,74.0,195,9.625,33.75,4.52,32.0,18,7.1,1,1712,52.954,0,0,0,0.28669366
2024,OT,OL,TCU,Big 12,78.875,315,9.5,34.0,5.36,25.5,21,7.95,1,1631,59.244,0,0,0,0.4243589
2025,CB,Secondary,Minnesota,Big Ten,70.125,190,10.0,30.625,4.4,33.33,11,6.65,1,1674,68.599,0,0,1,0.8971385
2025,EDGE,DL,Syracruse,ACC,76.375,257,10.375,33.375,4.57,30.5,24,8.19,1,1499,59.911,0,0,1,0.64579386
2024,DL,DL,Auburn,SEC,74.375,286,9.625,32.0,5.06,29.5,27,6.81,1,1585,67.536,0,0,1,0.8262026
2023,WR,Skill,BYU,FBS Independent,74.0,201,9.5,32.125,4.5,36.5,17,6.94,0,1526,50.481,0,0,1,0.109644264
2024,RB,Skill,Monmouth,CAA,68.0,187,9.25,28.75,4.45,34.5,22,6.6,1,1750,69.843,0,0,0,0.9348478
