Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2025,WR,Skill,Florida,SEC,72.625,196,9.125,32.125,4.34,38.5,23,6.82,1,1767,71.717,0,0,1,0.8639509
2025,C,OL,Ohio State,Big Ten,76.0,304,9.5,31.0,4.84,32.0,33,7.56,0,2211,87.333,1,0,0,0.98316354
2024,WR,Skill,Georgia,SEC,71.625,186,8.625,30.25,4.39,36.0,13,6.89,1,2273,87.417,1,1,1,0.9048941
2024,LB,LB,Florida St.,ACC,71.5,210,8.625,31.5,4.47,30.5,18,6.68,1,1789,83.68,0,0,0,0.8519571
2025,IOL,OL,Texas,SEC,78.0,314,9.5,33.25,4.28,43.0,11,7.9,1,2042,88.25,0,0,1,0.99605954
2024,WR,Skill,Michigan,Big Ten,74.75,212,8.625,31.875,4.44,37.5,15,6.85,1,2210,94.395,0,0,1,0.8876547
2023,OT,OL,North Dakota St.,MVFC,77.0,302,9.75,32.375,5.08,29.0,20,7.33,1,1776,70.241,0,0,1,0.8955763
2023,EDGE,DL,Pittsburgh,ACC,76.25,251,10.5,33.0,4.78,35.0,21,7.11,1,1687,61.732,0,0,0,0.9489472
2024,K,Special Teams,Missouri,SEC,71.875,241,8.875,30.75,4.75,33.5,21,7.29,0,1866,78.168,0,0,0,0.59842455
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,4.28,35.5,26,8.19,1,1496,50.555,0,0,0,0.9428459
2023,QB,Skill,Stanford,Pac-12,78.0,231,9.375,32.875,4.57,33.0,20,7.22,1,1237,38.149,0,0,1,0.74826425
2025,RB,Skill,Florida,SEC,71.375,212,9.25,30.625,4.41,35.5,33,7.02,1,1767,71.717,0,0,0,0.9366608
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,4.43,43.0,12,8.19,0,1701,74.938,0,1,1,0.9665943
2025,DL,DL,Ole Miss,SEC,75.75,296,9.5,32.5,5.45,24.5,33,6.65,0,2007,84.235,1,1,1,0.96370614
2024,DL,DL,Mississippi St.,SEC,75.875,301,9.5,33.0,4.97,29.5,27,7.32,1,1421,45.573,0,0,1,0.2984686
2025,OT,OL,Florida,SEC,79.25,316,10.5,34.0,5.33,24.5,11,8.15,1,1767,71.717,0,0,0,0.9598835
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,4.99,34.0,30,7.58,1,1631,59.244,0,0,1,0.9685884
2023,CB,Secondary,Georgia,SEC,70.625,192,9.625,31.125,4.62,33.0,15,7.17,1,2300,93.511,0,0,1,0.61953384
2024,WR,Skill,Colorado,Pac-12,72.25,169,8.875,31.125,4.39,37.5,13,6.91,0,1237,44.305,0,0,0,0.6646948
2025,S,Secondary,Wisconsin,Big Ten,74.0,213,9.25,30.5,4.57,37.0,11,6.72,1,1554,55.118,0,0,1,0.7795887
2025,RB,Skill,UCF,Big 12,68.0,205,9.0,29.0,4.4,38.0,16,7.34,1,1557,53.294,0,1,1,0.7415318
2025,RB,Skill,Ohio State,Big Ten,71.625,221,9.25,30.25,4.48,38.5,33,6.89,1,2211,87.333,1,0,1,0.9861087
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,5.07,25.5,30,7.46,1,2273,87.417,1,0,1,0.99009925
2025,IOL,OL,Jacksonville State,Conference USA,75.25,312,10.0,32.0,5.11,31.0,29,6.65,1,1744,69.69,0,0,0,0.941912
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,5.14,27.0,28,7.68,1,1611,65.787,0,0,0,0.23971763
2025,RB,Skill,SMU,ACC,69.875,194,8.625,30.5,4.39,32.5,33,7.45,1,1826,78.712,0,0,1,0.86859024
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,4.63,34.0,18,6.97,1,1729,80.5,0,0,1,0.7111063
2024,QB,Skill,Notre Dame,FBS Independent,73.125,211,9.75,31.375,4.8,28.5,12,7.19,1,2077,83.947,1,0,0,0.79988986
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,4.6,34.5,11,7.58,1,1533,55.405,0,0,1,0.83080524
2025,S,Secondary,Clemson,ACC,72.0,199,8.75,32.25,4.49,41.5,21,7.23,1,1807,79.193,0,0,1,0.96885574
2025,DL,DL,Georgia,SEC,75.375,290,9.125,33.0,4.86,32.0,33,7.38,1,1998,82.861,1,0,0,0.70035064
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,4.46,36.5,33,7.28,1,1810,76.206,0,0,0,0.88766104
2024,CB,Secondary,Boston Col.,ACC,73.5,185,9.25,31.5,4.44,42.5,15,6.95,1,1345,38.527,0,0,1,0.96065253
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,4.62,32.0,20,7.44,1,2181,89.526,1,0,1,0.5046856
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,4.5,32.5,18,7.1,1,1647,70.514,0,0,0,0.89158905
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,4.61,35.0,28,7.06,1,1822,73.172,0,0,1,0.94074655
2023,WR,Skill,Penn St.,Big Ten,70.0,204,10.125,29.0,4.52,35.5,16,6.94,1,2000,82.964,0,0,1,0.80984426
2025,CB,Secondary,California,ACC,72.375,199,9.0,30.625,4.5,41.09,19,6.65,1,1529,57.687,0,0,1,0.9694374
2024,EDGE,DL,Colorado St.,Mountain West,73.375,248,8.625,32.375,4.57,34.5,23,7.4,1,1276,30.563,0,0,1,0.7143674
2025,OT,OL,Rutgers,Big Ten,80.375,341,9.75,36.0,4.28,29.5,33,6.65,0,1533,55.405,0,0,0,0.90920216
2023,OT,OL,Georgia,SEC,77.375,311,10.625,34.75,4.97,30.0,20,7.6,1,2300,93.511,0,0,1,0.99758613
2023,EDGE,DL,Tennessee,SEC,74.375,250,9.25,32.5,4.43,38.0,22,7.19,1,2000,84.959,0,0,1,0.93107224
2023,CB,Secondary,Oregon,Pac-12,73.375,197,9.5,32.0,4.38,41.5,14,6.89,1,1724,78.17,0,1,1,0.98773116
2024,S,Secondary,Auburn,SEC,71.625,179,9.875,32.375,4.45,39.5,13,7.22,1,1585,67.536,0,0,1,0.9925217
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,4.43,35.0,25,7.28,1,1843,74.958,0,0,1,0.94760597
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,4.95,35.0,21,7.44,1,1866,78.168,0,0,1,0.9939243
2023,WR,Skill,USC,Pac-12,71.125,173,8.75,30.875,4.49,34.0,13,6.91,1,1745,77.414,0,1,1,0.97566867
2025,OT,OL,Arizona,Big 12,76.125,324,10.25,33.75,4.95,29.0,18,7.28,1,1307,38.477,0,1,1,0.9866239
2025,WR,Skill,UCF,Big 12,72.75,193,9.0,30.5,4.57,35.0,17,6.85,1,1557,53.294,0,0,0,0.54790133
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,4.78,32.5,28,6.83,1,1276,30.563,0,0,0,0.20877132
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,4.28,35.5,22,6.94,1,1513,61.35,0,0,1,0.9659917
2024,OT,OL,Houston,Big 12,79.5,331,9.375,36.25,5.13,29.0,28,7.65,1,1421,42.491,0,0,1,0.40675613
2023,WR,Skill,Penn St.,Big Ten,72.0,199,10.0,32.375,4.6,35.5,14,6.93,1,2000,82.964,0,0,0,0.7355165
2024,S,Secondary,LSU,SEC,70.875,191,9.25,30.0,4.59,36.0,15,7.11,1,1985,81.345,0,0,0,0.9427413
2023,CB,Secondary,Florida,SEC,71.625,193,10.0,32.0,4.72,33.5,20,7.08,1,1581,60.994,0,0,0,0.88234496
2025,OT,OL,Wisconsin,Big Ten,79.0,314,10.0,33.5,5.27,36.57,33,8.19,0,1554,55.118,0,0,1,0.83569974
2025,DL,DL,Virginia Tech,ACC,72.5,282,9.625,31.375,4.94,32.5,11,6.65,1,1647,70.514,0,0,1,0.6834301
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,5.01,31.0,30,8.01,1,1871,78.295,0,0,1,0.75233614
