Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2024,CB,Secondary,Alabama,SEC,71.75,189,8.875,31.625,4.5,37.0,15,6.94,1,2032,84.968,0,1,1,0.7053680875666971
2023,K,Special Teams,Clemson,ACC,70.0,185,8.875,30.375,4.58,34.0,20,7.27,0,1843,74.958,0,0,0,0.4871588762904597
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,4.45,39.5,22,6.75,1,1406,44.902,0,0,1,0.6227872282639547
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,4.38,34.5,15,6.94,1,1737,75.391,0,0,1,0.6597196349902469
2023,CB,Secondary,USC,Pac-12,71.0,178,9.25,31.0,4.47,36.0,11,6.51,1,1745,77.414,0,0,1,0.6449595249975477
2023,EDGE,DL,Auburn,SEC,75.0,252,9.5,33.5,4.62,33.5,23,7.17,0,1596,55.022,0,0,0,0.4922947872629652
2023,CB,Secondary,South Carolina,SEC,74.0,198,9.5,33.375,4.36,35.0,13,6.58,1,1620,61.258,0,0,1,0.5998491411030022
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,4.54,34.5,20,6.96,0,1729,80.5,0,0,1,0.4590436177008871
2024,TE,Skill,Iowa,Big Ten,76.375,252,10.125,33.0,4.65,35.0,28,7.07,0,1575,61.244,0,0,1,0.5171091854910913
2023,K,Special Teams,Michigan,Big Ten,73.0,209,9.5,30.875,4.58,34.0,20,7.27,0,2124,85.085,1,0,1,0.5968087202906875
2023,IOL,OL,Kentucky,SEC,75.125,327,9.75,34.5,5.34,27.5,20,7.9,1,1606,59.284,0,0,0,0.4315359594503931
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,31.25,4.91,34.0,26,7.34,1,1986,85.057,1,0,1,0.5804370216757317
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,4.62,35.5,18,6.99,1,1748,67.111,0,0,0,0.5271617650266427
2023,WR,Skill,Maryland,Big Ten,75.0,212,9.75,34.25,4.57,35.5,19,6.95,1,1645,61.934,0,0,0,0.4903055482097905
2025,OT,OL,Texas,SEC,77.125,315,10.375,33.5,5.16,32.0,14,7.81,1,2042,88.25,0,1,1,0.7865068006276873
2024,LB,LB,Kentucky,SEC,73.125,237,9.125,32.625,4.51,37.5,18,7.35,1,1641,63.962,0,0,1,0.5004208646644122
2023,IOL,OL,Alabama,SEC,74.625,314,9.5,33.875,5.21,29.0,20,7.77,0,2181,89.526,1,0,0,0.5773966408029084
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,4.68,32.15,15,6.94,0,1307,38.477,0,1,1,0.5311767800556433
2024,DL,DL,Florida St.,ACC,75.625,292,9.375,31.0,4.78,33.5,26,8.12,1,1789,83.68,0,0,1,0.5509977671592338
2024,CB,Secondary,Penn St.,Big Ten,71.25,191,8.75,30.875,4.61,37.0,15,6.94,1,2000,85.731,1,0,1,0.5612209997189473
2024,EDGE,DL,Kansas,Big 12,76.5,240,9.25,33.875,4.79,32.5,23,7.55,1,1679,72.867,0,0,1,0.480694834684676
2023,WR,Skill,Maryland,Big Ten,71.875,192,9.375,31.375,4.44,35.5,13,6.93,1,1645,61.934,0,0,0,0.5615977690885592
2023,WR,Skill,Cincinnati,AAC,70.0,177,9.0,30.875,4.44,39.5,14,6.92,1,1690,60.989,0,0,1,0.6310035912011069
2025,DL,DL,Toldeo,MAC,75.875,305,10.0,34.0,4.95,31.5,28,7.6,1,1431,43.159,0,0,1,0.44516390142427537
