Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,DL,DL,Maryland,Big Ten,75.75,306,10.0,82.625,5.09,28.0,11,103.0,8.19,4.03,1,-0.535,43.23,46.603,47.026,35.755,0,0,Rounds 6-7,1,0.24105998254968114,1,0.4132231404958678,1.7241379310344827
2024,IOL,OL,Maryland,Big Ten,76.125,308,9.875,80.625,5.01,26.5,28,112.0,7.64,4.61,1,8.085,66.299,64.78,61.709,49.654,0,0,Undrafted,0,0.24105995021607968,1,0.8264462809917356,1.7241379310344827
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,73.75,4.38,34.5,15,125.0,6.94,4.55,1,15.302,75.391,76.693,64.536,49.591,0,0,Rounds 4-5,0,0.24105987544618113,1,1.2396694214876034,1.7241379310344827
2025,IOL,OL,Iowa,Big Ten,77.75,309,10.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,1,0.24105981838175422,2,1.6528925619834711,3.4482758620689653
2024,DL,DL,Auburn,SEC,74.375,286,9.625,78.25,5.06,29.5,27,103.0,6.81,4.6,1,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,1,0.24105331984694345,3,2.066115702479339,5.172413793103448
2024,C,OL,Duke,ACC,75.0,308,10.0,79.0,5.09,29.5,28,108.0,7.41,4.01,1,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 6-7,1,0.24104578058872372,4,2.479338842975207,6.896551724137931
2023,TE,Skill,Oklahoma,Big 12,75.5,241,9.75,79.125,4.68,32.0,20,117.0,7.3,4.36,1,9.969,66.271,71.907,54.872,48.16,0,0,Rounds 6-7,1,0.24104460676744438,5,2.8925619834710745,8.620689655172415
2025,WR,Skill,TCU,Big 12,73.25,214,9.0,75.0,4.52,34.5,19,125.0,6.84,4.21,1,8.023,67.255,69.28,58.063,52.483,0,0,Rounds 2-3,0,0.24103455434989057,5,3.3057851239669422,8.620689655172415
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 2-3,0,0.2410221978035199,5,3.71900826446281,8.620689655172415
2023,TE,Skill,Wake Forest,ACC,75.75,247,8.75,79.375,4.7,35.5,20,115.0,7.42,4.3,1,7.586,64.28,73.512,49.277,46.02,0,0,Undrafted,0,0.24102170279292306,5,4.132231404958678,8.620689655172415
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,81.5,5.13,26.5,27,111.0,7.67,4.58,1,15.36,75.057,65.814,76.34,50.751,0,0,Rounds 4-5,0,0.24101681455050283,5,4.545454545454546,8.620689655172415
2023,CB,Secondary,Notre Dame,FBS Independent,72.375,202,9.0,74.75,4.62,30.5,17,118.0,7.08,4.23,1,12.6,69.601,59.985,66.897,66.833,0,0,Undrafted,0,0.2410108288249435,5,4.958677685950414,8.620689655172415
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,74.125,4.51,35.0,22,122.0,6.82,4.23,0,13.892,72.489,48.101,90.04,37.087,1,0,Rounds 4-5,0,0.2410003922835215,5,5.371900826446281,8.620689655172415
2023,TE,Skill,Cincinnati,AAC,78.5,248,9.5,77.375,4.69,33.5,21,115.0,7.42,4.29,1,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,0,0.24097615251108845,5,5.785123966942149,8.620689655172415
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,81.25,5.14,27.0,28,108.0,7.68,4.97,1,8.19,65.787,60.714,66.155,45.94,0,0,Undrafted,0,0.24096504021768334,5,6.198347107438017,8.620689655172415
2024,IOL,OL,Utah,Pac-12,76.5,321,10.0,79.5,5.38,29.5,27,101.0,7.95,4.9,1,10.768,65.114,50.684,74.826,48.257,0,0,Undrafted,0,0.24094416657966572,5,6.6115702479338845,8.620689655172415
2025,DL,DL,Utah,Big 12,75.5,308,10.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0.24087801396257913,5,7.024793388429752,8.620689655172415
2023,EDGE,DL,San Jose St.,Mountain West,76.0,276,9.0,77.375,4.74,34.0,24,118.0,7.5,4.52,1,-5.871,37.879,45.968,41.711,27.738,0,0,Rounds 4-5,0,0.24084886851844844,5,7.43801652892562,8.620689655172415
2023,OT,OL,Boise St.,Mountain West,77.75,309,10.75,83.625,5.24,28.5,20,104.0,7.52,4.52,1,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,0,0.2408143947586302,5,7.851239669421488,8.620689655172415
2024,EDGE,DL,Charlotte,AAC,76.5,260,9.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,-14.993,22.913,17.6,42.495,39.432,0,0,Undrafted,0,0.24077522354185488,5,8.264462809917356,8.620689655172415
2025,WR,Skill,Georgia,SEC,70.0,185,9.25,75.625,4.4,33.5,11,120.0,6.9,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 6-7,1,0.24073243213240808,6,8.677685950413224,10.344827586206897
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0.24070053483549925,6,9.090909090909092,10.344827586206897
2023,RB,Skill,USC,Pac-12,70.0,201,9.25,70.25,4.46,35.5,20,122.0,7.16,4.61,0,13.164,77.414,90.693,44.38,43.862,0,0,Undrafted,0,0.24063494717032619,6,9.50413223140496,10.344827586206897
2023,C,OL,Arkansas,SEC,75.0,306,9.75,79.625,5.26,32.5,20,111.0,7.52,4.43,1,6.93,62.299,69.2,48.112,56.255,0,0,Rounds 4-5,0,0.24063338357058828,6,9.917355371900827,10.344827586206897
2023,IOL,OL,Clemson,ACC,74.25,303,9.5,81.0,4.99,28.5,20,108.0,7.7,4.81,1,17.553,74.958,64.744,77.07,48.641,0,0,Rounds 4-5,0,0.2405066608879194,6,10.330578512396695,10.344827586206897
2024,CB,Secondary,Missouri,SEC,71.375,179,8.625,74.625,4.44,33.5,15,123.0,6.94,4.58,1,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 4-5,0,0.24042215856113341,6,10.743801652892563,10.344827586206897
2023,EDGE,DL,Florida,SEC,75.875,250,9.25,80.75,4.82,33.0,24,115.0,7.22,4.44,1,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,0,0.2403810040397607,6,11.15702479338843,10.344827586206897
2023,RB,Skill,Northwestern,Big Ten,70.125,209,9.25,74.375,4.47,37.0,20,123.0,6.9,4.38,1,-7.588,30.34,26.742,42.636,51.301,0,0,Rounds 6-7,1,0.24023445353745393,7,11.570247933884298,12.068965517241379
2023,LB,LB,Pittsburgh,ACC,72.5,226,10.625,78.875,4.56,33.0,19,119.0,7.35,4.4,1,7.918,61.732,46.268,72.6,50.534,0,0,Rounds 4-5,0,0.24000737463922744,7,11.983471074380166,12.068965517241379
2023,RB,Skill,Georgia,SEC,72.25,204,9.0,76.375,4.62,35.5,20,122.0,7.11,4.57,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 6-7,1,0.24000522332238328,8,12.396694214876034,13.793103448275861
2023,WR,Skill,Purdue,Big Ten,71.375,175,9.0,74.0,4.43,36.5,13,124.0,6.91,4.29,1,4.283,58.947,63.872,51.004,46.438,0,0,Rounds 4-5,0,0.23995267012975696,8,12.8099173553719,13.793103448275861
2024,TE,Skill,South Carolina,SEC,75.0,240,9.375,78.75,4.64,32.5,28,121.0,7.09,4.54,1,6.054,55.105,53.866,54.724,48.937,0,0,Undrafted,0,0.2399441094863522,8,13.223140495867769,13.793103448275861
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,72.0,4.6,34.5,11,115.7,7.58,4.97,1,3.857,55.405,64.09,40.753,58.771,0,0,Rounds 6-7,1,0.23983768349926532,9,13.636363636363635,15.517241379310345
2024,CB,Secondary,South Dakota,MVFC,70.875,195,9.375,74.0,4.5,35.5,13,118.0,6.88,3.98,1,10.639,66.998,59.904,66.911,53.148,0,0,Rounds 6-7,1,0.239789716191455,10,14.049586776859504,17.24137931034483
2024,RB,Skill,Georgia,SEC,69.625,207,9.5,73.0,4.56,32.5,22,114.0,6.95,4.24,1,24.777,87.417,88.149,74.455,48.128,1,0,Undrafted,0,0.2397807798853272,10,14.46280991735537,17.24137931034483
