Position Group,Rows,CV Accuracy Mean,CV Accuracy Std,Test Accuracy
Skill,325,0.30153846153846153,0.05555529257005474,0.2682926829268293
Secondary,182,0.2755255255255255,0.08553552089245352,0.391304347826087
DL,191,0.26747638326585693,0.052598003062372334,0.3125
OL,171,0.3569747899159664,0.03121891151865896,0.27906976744186046
LB,78,0.2820512820512821,0.0725237724293895,0.3
