Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2025,C,OL,USC,Big Ten,76.125,302,9.25,30.125,77.0,4.84,32.0,33,112.0,7.56,4.03,0,1765,13.269,71.782,72.12,62.422,51.818,0,0,Round 6,0,0.16030799682367877,38,41.32231404958678,57.57575757575758
2025,IOL,OL,Iowa,Big Ten,77.75,309,10.0,32.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,1774,11.144,70.238,48.063,74.759,71.573,0,0,Round 7,0,0.1599545733112186,38,41.735537190082646,57.57575757575758
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,1,0,Round 4,0,0.15989134651134124,38,42.14876033057851,57.57575757575758
2024,CB,Secondary,Pittsburgh,ACC,70.75,186,8.75,32.875,78.25,4.45,38.5,15,124.0,7.12,4.35,1,1404,-0.369,43.622,32.282,60.013,38.896,0,0,Round 7,0,0.1598821904815839,38,42.561983471074385,57.57575757575758
2023,CB,Secondary,Syracuse,ACC,70.0,192,9.25,31.0,74.5,4.46,36.5,13,127.0,6.76,4.29,0,1464,5.084,59.708,56.419,61.005,44.497,0,0,Round 3,0,0.15931065320502477,38,42.97520661157025,57.57575757575758
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,0,0,Round 4,0,0.15914789755047565,38,43.388429752066116,57.57575757575758
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,77.25,4.61,35.0,28,117.0,7.06,4.35,1,1822,11.44,73.172,77.614,56.651,58.122,0,0,Round 6,0,0.15909343872991027,38,43.80165289256198,57.57575757575758
2023,LB,LB,Cincinnati,AAC,70.5,231,9.5,30.25,72.0,4.55,33.5,22,119.0,7.44,4.41,0,1690,6.451,60.989,44.607,64.989,69.829,0,1,Undrafted,1,0.1584872093489847,39,44.214876033057855,59.09090909090909
2025,TE,Skill,Utah,Big 12,74.0,236,10.5,31.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,1,0.15843312459210157,40,44.62809917355372,60.60606060606061
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,1496,2.602,50.555,55.402,46.067,47.749,0,0,Undrafted,1,0.15752182914502413,41,45.04132231404959,62.121212121212125
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,1,0.15715677540873538,42,45.45454545454545,63.63636363636363
2025,DL,DL,Florida,SEC,78.25,328,9.5,34.125,81.875,5.17,24.5,11,93.0,6.65,4.03,1,1767,11.901,71.717,58.466,70.419,67.15,0,0,Round 5,0,0.15661660256226373,42,45.867768595041326,63.63636363636363
2023,CB,Secondary,Oregon St.,Pac-12,73.0,195,8.5,31.875,76.25,4.55,33.0,15,122.0,6.51,4.33,1,1793,12.157,76.446,63.005,76.701,62.14,0,0,Round 7,0,0.15611359104329967,42,46.28099173553719,63.63636363636363
2024,WR,Skill,Virginia,ACC,68.5,191,9.25,30.375,72.875,4.47,42.5,19,126.0,6.87,4.16,1,1216,-5.286,44.701,44.034,50.919,40.077,0,0,Round 6,0,0.15572073437355016,42,46.69421487603306,63.63636363636363
2023,WR,Skill,Princeton,Ivy League,75.125,205,8.75,32.0,76.75,4.43,39.0,19,128.0,6.85,4.12,1,1689,10.576,67.566,66.994,61.909,53.743,0,0,Round 6,0,0.1553562469911871,42,47.107438016528924,63.63636363636363
2024,S,Secondary,Mississippi,SEC,72.0,195,9.0,32.5,76.375,4.55,37.0,12,116.0,7.06,5.19,1,1737,15.302,75.391,76.693,64.536,49.591,0,0,Round 6,0,0.15528666689164466,42,47.5206611570248,63.63636363636363
2024,WR,Skill,Tulane,AAC,69.125,188,8.875,30.875,74.875,4.42,32.0,12,118.0,6.9,4.2,1,1598,3.05,60.759,46.835,66.943,59.144,0,0,Round 6,0,0.15521380943388377,42,47.93388429752066,63.63636363636363
2023,OT,OL,Boise St.,Mountain West,77.75,309,10.75,34.0,83.625,5.24,28.5,20,104.0,7.52,4.52,1,1712,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,1,0.15509736625319834,43,48.34710743801653,65.15151515151516
2023,CB,Secondary,Iowa St.,Big 12,72.0,205,8.75,31.25,75.875,4.54,37.5,18,125.0,6.87,4.22,1,1554,6.28,57.494,40.857,78.383,33.853,0,0,Round 7,0,0.1548331661543409,43,48.760330578512395,65.15151515151516
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,77.125,4.62,35.5,18,118.0,6.99,4.17,1,1748,7.409,67.111,21.369,88.288,70.495,0,0,Undrafted,1,0.15442289532785494,44,49.17355371900827,66.66666666666666
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,80.375,5.08,30.0,20,106.0,7.84,4.8,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,Round 4,0,0.1538759270170239,44,49.586776859504134,66.66666666666666
2024,OT,OL,Howard,MEAC,79.75,353,9.75,35.125,85.5,5.35,27.5,31,105.0,7.5,4.41,1,1743,10.624,67.994,66.593,60.836,53.823,0,0,Undrafted,1,0.15329029938945446,45,50.0,68.18181818181817
2025,CB,Secondary,Western Kentucky,Conference USA,73.0,181,9.0,30.0,74.375,4.44,37.5,21,128.0,8.19,4.29,1,1364,-7.663,43.781,43.864,42.926,60.821,0,0,Round 4,0,0.15175696150033555,45,50.413223140495866,68.18181818181817
2025,S,Secondary,Virginia,ACC,72.375,206,9.625,32.25,77.625,4.48,36.5,12,128.0,7.46,4.97,1,1356,-1.289,47.839,40.745,53.887,55.993,0,0,Round 3,0,0.15087841817095973,45,50.82644628099173,68.18181818181817
2025,LB,LB,Rutgers,Big Ten,76.625,239,9.0,34.5,82.375,4.28,43.0,33,123.2,7.59,4.2,0,1533,3.857,55.405,64.09,40.753,58.771,0,0,Undrafted,1,0.15057117252936117,46,51.2396694214876,69.6969696969697
2023,DL,DL,LSU,SEC,75.0,305,10.125,32.75,78.125,5.01,31.0,30,112.0,8.01,5.0,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,Round 5,0,0.14940354459909508,46,51.652892561983464,69.6969696969697
2024,DL,DL,Illinois,Big Ten,73.625,304,9.5,32.375,75.875,5.01,29.5,27,108.0,8.01,4.79,0,1504,0.543,45.217,52.138,44.335,38.615,0,1,Round 2,0,0.14907326465108964,46,52.066115702479344,69.6969696969697
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,32.375,78.375,4.44,38.5,33,127.0,6.7,4.31,1,1175,-5.299,38.36,36.975,39.874,65.408,0,0,Round 5,0,0.14828994728952963,46,52.47933884297521,69.6969696969697
2024,EDGE,DL,USC,Pac-12,74.875,255,9.75,33.625,79.875,4.65,34.5,23,121.0,7.26,4.47,0,1723,13.091,69.753,82.697,42.068,66.367,0,0,Round 7,0,0.1480107796880703,46,52.892561983471076,69.6969696969697
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,1,0.14782060122044707,47,53.30578512396694,71.21212121212122
2025,EDGE,DL,Brigham Young,Big 12,77.625,271,9.375,33.125,81.0,4.78,34.0,27,120.0,7.21,4.54,1,1717,9.307,74.278,67.062,70.631,58.08,0,0,Undrafted,1,0.14662079023610894,48,53.71900826446281,72.72727272727273
2023,WR,Skill,Fresno St.,Mountain West,71.125,172,8.875,30.125,74.75,4.4,34.5,12,121.0,6.91,4.29,1,1766,3.726,61.671,58.399,57.283,60.117,0,0,Undrafted,1,0.14566441665188332,49,54.132231404958674,74.24242424242425
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,74.375,4.45,39.5,22,128.0,6.75,4.17,1,1406,-1.39,44.902,38.449,54.726,43.407,0,0,Round 5,0,0.14505475057357645,49,54.54545454545454,74.24242424242425
2023,RB,Skill,Texas A&M,SEC,68.5,188,8.5,29.0,69.125,4.32,33.0,20,120.0,7.57,4.99,1,1629,7.2,58.223,43.007,65.719,58.545,0,0,Round 3,0,0.1444012988392101,49,54.958677685950406,74.24242424242425
2024,S,Secondary,Minnesota,Big Ten,73.25,199,9.0,32.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,1488,-0.564,45.156,45.237,46.429,51.196,0,1,Round 2,0,0.14257940862833976,49,55.371900826446286,74.24242424242425
2024,WR,Skill,Louisville,ACC,71.75,188,8.625,31.0,74.5,4.46,34.0,12,120.0,7.16,4.19,1,1688,11.36,72.759,63.856,75.697,45.123,0,0,Round 5,0,0.14224198446817823,49,55.78512396694215,74.24242424242425
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,80.0,4.28,34.4,11,93.0,8.19,4.67,1,1061,-13.836,20.419,29.645,21.338,52.981,0,0,Round 5,0,0.14134895532234876,49,56.19834710743802,74.24242424242425
2025,S,Secondary,Nevada,Mountain West,70.625,202,9.5,31.0,75.25,4.41,41.5,18,128.0,6.65,4.14,1,1192,-8.417,32.498,47.2,30.419,32.833,0,0,Round 7,0,0.14088808208695094,49,56.611570247933884,74.24242424242425
2024,IOL,OL,Kansas St.,Big 12,75.25,322,9.25,31.5,78.125,5.03,27.5,31,109.0,7.44,4.61,1,1942,18.789,79.849,77.7,71.656,49.809,0,0,Round 3,0,0.14046765252579235,49,57.02479338842975,74.24242424242425
2025,IOL,OL,Clemson,ACC,77.25,321,9.0,32.625,80.875,5.45,24.5,11,113.3,6.77,4.03,0,1807,14.768,79.193,79.078,73.333,36.319,0,0,Undrafted,1,0.14020074170488742,50,57.438016528925615,75.75757575757575
2025,OT,OL,LSU,SEC,77.25,315,10.625,34.25,81.5,5.45,24.5,33,109.2,8.19,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,0,0,Round 3,0,0.1399075943757242,50,57.85123966942148,75.75757575757575
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,1,0.13937914739862686,51,58.26446280991735,77.27272727272727
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,78.5,4.63,34.0,18,120.0,6.97,4.44,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,Round 4,0,0.1384680267063467,51,58.67768595041323,77.27272727272727
2023,K,Special Teams,Georgia,SEC,72.0,194,9.125,29.625,74.375,4.58,34.0,20,121.0,7.27,4.44,0,2300,29.908,93.511,90.791,87.647,45.406,0,0,Undrafted,1,0.13785675624892124,52,59.09090909090909,78.78787878787878
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,76.625,4.52,36.0,15,131.0,6.51,4.27,1,1237,-3.917,38.149,36.614,44.176,50.17,0,0,Round 5,0,0.13722790976885368,52,59.50413223140496,78.78787878787878
2023,EDGE,DL,LSU,SEC,74.0,248,10.5,34.25,81.875,4.59,32.5,23,126.0,7.2,4.45,1,1871,17.436,78.295,78.649,74.431,26.438,0,0,Round 2,0,0.13651266525503786,52,59.917355371900825,78.78787878787878
2024,RB,Skill,Ohio St.,Big Ten,68.5,229,9.0,28.625,69.625,4.56,36.0,22,119.0,7.25,4.26,0,2065,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,1,0.1362232797181933,53,60.33057851239669,80.3030303030303
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,34.625,81.5,5.13,26.5,27,111.0,7.67,4.58,1,1772,15.36,75.057,65.814,76.34,50.751,0,0,Round 4,0,0.13606536257687152,53,60.74380165289256,80.3030303030303
2025,S,Secondary,Oklahoma,SEC,69.875,192,8.5,28.5,70.75,4.42,35.5,17,123.0,6.65,4.03,1,1725,10.943,65.083,38.944,80.167,57.918,1,0,Round 4,0,0.1360276921678787,53,61.15702479338842,80.3030303030303
2023,DL,DL,Mississippi St.,SEC,75.0,304,10.0,34.5,82.0,5.1,29.5,24,109.0,7.6,4.79,1,1694,13.237,75.362,59.938,76.598,66.986,0,0,Round 4,0,0.13553873056478746,53,61.57024793388429,80.3030303030303
2023,TE,Skill,Utah,Pac-12,76.0,246,10.25,32.625,78.375,4.67,35.0,21,120.0,7.37,4.3,0,1915,19.146,79.905,74.866,74.068,53.378,0,0,Round 1,0,0.135408605548661,53,61.98347107438017,80.3030303030303
2024,EDGE,DL,Mississippi,SEC,75.0,260,9.875,33.5,79.375,4.63,38.0,25,122.0,7.15,4.27,1,1737,15.302,75.391,76.693,64.536,49.591,0,0,Round 6,0,0.1344366670540008,53,62.396694214876035,80.3030303030303
2023,CB,Secondary,South Alabama,Sun Belt,71.75,189,10.375,32.375,77.875,4.46,40.5,10,123.0,6.9,4.43,1,1485,-1.447,55.355,49.72,57.13,56.501,0,0,Round 5,0,0.13412471132480888,53,62.8099173553719,80.3030303030303
2025,S,Secondary,California,ACC,72.125,200,8.625,30.5,75.25,4.45,36.0,13,127.0,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,0,0,Round 4,0,0.13281327429460693,53,63.22314049586777,80.3030303030303
2025,RB,Skill,Michigan,Big Ten,73.5,226,10.0,31.625,78.0,4.28,33.08,15,122.9,7.26,4.97,0,1909,9.382,64.736,44.049,69.52,75.356,0,0,Round 6,0,0.13251870272224373,53,63.63636363636363,80.3030303030303
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Round 2,0,0.1323297524096558,53,64.0495867768595,80.3030303030303
2024,LB,LB,Notre Dame,FBS Independent,72.875,235,9.75,30.625,74.875,4.62,34.5,20,118.0,7.31,4.35,1,2077,20.776,83.947,78.304,77.941,57.082,1,0,Round 5,0,0.13211973669671187,53,64.46280991735537,80.3030303030303
2023,C,OL,Ohio St.,Big Ten,75.0,303,9.625,31.625,77.125,5.14,30.5,20,106.0,7.64,4.53,1,2107,25.771,88.337,91.467,71.506,49.437,0,0,Round 6,0,0.13174790151076604,53,64.87603305785123,80.3030303030303
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,1,0,Round 3,0,0.131324219202548,53,65.28925619834712,80.3030303030303
2023,LB,LB,Clemson,ACC,74.375,235,10.25,32.375,77.5,4.43,35.0,25,123.0,7.28,4.36,1,1843,17.553,74.958,64.744,77.07,48.641,0,0,Round 3,0,0.13074903969721252,53,65.70247933884298,80.3030303030303
2025,EDGE,DL,LSU,SEC,77.375,280,10.0,33.5,82.375,5.45,33.0,19,119.0,6.65,4.97,1,1827,13.515,71.849,75.763,61.497,39.011,0,0,Round 4,0,0.1306103373982642,53,66.11570247933885,80.3030303030303
2025,CB,Secondary,Rutgers,Big Ten,71.0,175,8.5,31.5,76.5,4.39,33.87,11,134.0,6.65,4.03,1,1533,3.857,55.405,64.09,40.753,58.771,0,0,Round 6,0,0.129815482302316,53,66.52892561983471,80.3030303030303
2024,S,Secondary,Texas Tech,Big 12,74.375,216,9.125,33.375,79.125,4.51,41.0,24,146.0,6.81,4.04,1,1562,6.237,62.556,51.102,66.311,59.243,0,0,Undrafted,1,0.12933163936119113,54,66.94214876033058,81.81818181818183
2024,C,OL,Michigan,Big Ten,73.5,298,9.0,33.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,1,0.12929452907661104,55,67.35537190082644,83.33333333333334
2024,RB,Skill,Georgia,SEC,69.625,207,9.5,29.75,73.0,4.56,32.5,22,114.0,6.95,4.24,1,2273,24.777,87.417,88.149,74.455,48.128,1,0,Undrafted,1,0.12862362576347738,56,67.76859504132231,84.84848484848484
2025,TE,Skill,South Carolina,SEC,76.125,239,10.125,33.75,83.0,4.65,38.0,33,124.0,7.22,4.4,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,1,0.12797262440331172,57,68.18181818181817,86.36363636363636
2024,S,Secondary,Miami,ACC,71.25,203,9.75,31.25,75.0,4.65,35.0,13,110.0,6.98,4.83,1,1580,11.169,68.436,66.666,63.176,51.762,0,1,Round 4,0,0.127733846372276,57,68.59504132231406,86.36363636363636
2024,S,Secondary,Ohio St.,Big Ten,73.5,199,8.75,32.0,78.0,4.55,32.5,13,121.0,7.03,5.07,1,2065,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,1,0.12747988147670333,58,69.00826446280992,87.87878787878788
2025,TE,Skill,LSU,SEC,77.125,251,10.0,33.25,78.75,4.28,24.5,33,110.7,6.65,4.97,0,1827,13.515,71.849,75.763,61.497,39.011,0,0,Round 2,0,0.12710025104545855,58,69.42148760330579,87.87878787878788
2024,C,OL,Oklahoma,Big 12,76.0,314,10.0,32.5,78.75,5.42,24.5,24,95.0,7.41,4.33,1,1930,22.492,84.142,84.36,76.697,33.868,0,0,Undrafted,1,0.12583421799094544,59,69.83471074380165,89.39393939393939
2024,OT,OL,Arizona,Pac-12,77.0,311,10.875,32.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,1822,11.44,73.172,77.614,56.651,58.122,0,0,Round 1,0,0.12562031303989143,59,70.24793388429752,89.39393939393939
2024,QB,Skill,Tennessee,SEC,77.125,235,10.25,33.375,80.0,5.06,35.0,18,121.0,5.72,4.06,1,1877,14.091,72.034,66.494,68.45,54.522,1,0,Round 6,0,0.12531615204923494,59,70.66115702479338,89.39393939393939
2025,RB,Skill,Kansas State,Big 12,72.25,212,9.25,30.375,75.25,4.43,39.5,33,130.0,7.84,4.33,1,1754,11.098,70.634,61.856,71.635,49.804,0,0,Round 5,0,0.12525404580726773,59,71.07438016528926,89.39393939393939
2024,WR,Skill,Washington,Pac-12,73.375,203,9.75,31.75,74.5,4.52,37.5,16,129.0,6.86,4.13,1,1879,17.544,82.666,86.101,64.802,60.593,0,0,Round 2,0,0.1237988596760349,59,71.48760330578511,89.39393939393939
2024,CB,Secondary,Auburn,SEC,72.125,190,8.375,31.625,75.0,4.36,34.5,15,123.0,6.94,4.41,1,1585,8.916,67.536,49.076,72.965,65.063,0,0,Round 5,0,0.12151981179120504,59,71.900826446281,89.39393939393939
2025,WR,Skill,Oregon,Big Ten,74.125,205,9.75,31.5,78.5,4.57,32.0,12,123.0,7.04,4.54,1,2040,21.125,85.854,85.403,73.779,53.859,1,0,Undrafted,1,0.12127613535599811,60,72.31404958677686,90.9090909090909
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,77.75,4.43,32.5,13,126.0,8.19,4.97,1,2007,20.608,84.235,76.596,81.866,47.73,1,0,Round 2,0,0.1211846929869237,60,72.72727272727273,90.9090909090909
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,29.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,0,0,Round 4,0,0.1206955424450543,60,73.14049586776859,90.9090909090909
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,77.375,4.62,32.0,20,116.0,7.44,4.4,1,2181,27.296,89.526,85.539,81.093,61.676,1,0,Round 6,0,0.11933269487754183,60,73.55371900826447,90.9090909090909
2025,S,Secondary,Penn State,Big Ten,73.5,215,9.5,32.5,80.875,4.44,38.11,12,103.8,6.72,4.97,0,2063,20.037,81.11,80.469,75.103,36.924,0,0,Round 3,0,0.11817383766892897,60,73.96694214876032,90.9090909090909
2025,WR,Skill,Georgia,SEC,70.0,185,9.25,31.375,75.625,4.4,33.5,11,120.0,6.9,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,Round 7,0,0.11771414827011446,60,74.3801652892562,90.9090909090909
2024,QB,Skill,Michigan,Big Ten,74.5,219,9.0,31.625,75.875,4.81,32.5,17,114.0,6.82,4.23,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Round 1,0,0.11607594265232582,60,74.79338842975206,90.9090909090909
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,67.0,4.36,35.5,20,116.0,7.69,5.1,1,1861,14.823,77.392,70.169,73.461,57.448,0,1,Round 6,0,0.11393283247413397,60,75.20661157024794,90.9090909090909
2024,DL,DL,Ohio St.,Big Ten,74.75,290,10.0,33.5,81.125,4.97,31.0,27,111.0,7.65,4.61,0,2065,27.485,89.569,83.397,86.658,44.2,1,0,Round 2,0,0.11295993911333799,60,75.6198347107438,90.9090909090909
2025,LB,LB,Indiana,Big Ten,72.625,218,9.534,31.626,79.875,4.38,35.0,11,127.0,7.24,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,1,0,Undrafted,1,0.11218522933379793,61,76.03305785123968,92.42424242424242
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,31.25,78.25,4.91,34.0,26,119.0,7.34,4.45,1,1986,23.933,85.057,77.281,79.955,59.628,1,0,Round 6,0,0.11062996051540276,61,76.44628099173553,92.42424242424242
2024,S,Secondary,Oregon,Pac-12,71.25,200,10.125,30.125,72.875,4.6,40.5,17,126.0,6.99,4.88,1,2106,25.043,90.094,93.321,73.578,35.343,1,0,Round 4,0,0.10997070625028862,61,76.85950413223141,92.42424242424242
2024,LB,LB,Notre Dame,FBS Independent,74.125,234,9.875,34.25,79.375,4.64,34.0,18,118.0,7.31,4.44,1,2077,20.776,83.947,78.304,77.941,57.082,1,0,Round 3,0,0.10925834735928734,61,77.27272727272727,92.42424242424242
2024,EDGE,DL,Missouri,SEC,77.125,285,10.625,34.5,84.375,4.95,35.0,21,111.0,7.44,4.84,1,1866,15.277,78.168,79.322,67.958,47.09,0,0,Round 1,0,0.10871136362827585,61,77.68595041322314,92.42424242424242
2025,WR,Skill,Notre Dame,FBS Independent,75.0,201,9.5,31.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,2154,25.305,88.314,78.053,88.226,42.499,0,0,Undrafted,1,0.10836233231773154,62,78.099173553719,93.93939393939394
2025,CB,Secondary,Kansas State,Big 12,69.75,191,9.0,30.75,75.875,4.35,37.5,12,129.0,8.19,4.93,1,1754,11.098,70.634,61.856,71.635,49.804,0,0,Round 3,0,0.10786573184252365,62,78.51239669421489,93.93939393939394
2025,WR,Skill,Texas,SEC,71.0,191,9.5,30.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,0,0,Round 1,0,0.10770579580106941,62,78.92561983471074,93.93939393939394
2025,S,Secondary,South Carolina,SEC,75.125,220,9.0,32.5,78.25,4.38,43.0,20,138.0,7.3,4.69,1,1810,14.834,76.206,60.762,80.864,51.02,0,0,Round 2,0,0.10768095535992153,62,79.33884297520662,93.93939393939394
2024,LB,LB,Penn St.,Big Ten,73.375,241,10.25,31.5,77.75,4.58,35.0,18,124.0,7.45,4.74,1,2000,25.618,85.731,66.931,89.424,64.921,1,0,Undrafted,1,0.10735797191451825,63,79.75206611570248,95.45454545454545
2024,LB,LB,Texas,Big 12,74.375,240,9.5,31.75,74.375,4.62,33.5,18,121.0,7.44,4.44,1,2025,23.196,86.583,76.615,83.977,60.972,1,0,Round 6,0,0.10694001945954959,63,80.16528925619835,95.45454545454545
2025,QB,Skill,Indiana,Big Ten,76.25,220,9.375,30.25,75.125,4.28,24.5,22,113.5,6.65,4.03,0,1951,18.73,83.71,85.132,72.021,40.91,1,0,Round 7,0,0.10595412445519024,63,80.57851239669421,95.45454545454545
2023,EDGE,DL,USC,Pac-12,75.0,266,10.125,32.25,77.875,4.63,32.0,23,118.0,7.16,4.43,0,1745,13.164,77.414,90.693,44.38,43.862,0,1,Round 2,0,0.10528992064282876,63,80.99173553719008,95.45454545454545
2023,CB,Secondary,Illinois,Big Ten,69.75,211,10.25,31.5,76.0,4.47,40.5,23,130.0,6.68,4.07,1,1749,9.857,68.781,50.92,80.746,45.222,0,0,Round 3,0,0.10518654502617718,63,81.40495867768594,95.45454545454545
2024,TE,Skill,Michigan,Big Ten,78.0,251,9.0,33.375,81.875,4.65,35.0,28,119.0,7.07,4.32,0,2210,27.625,94.395,88.226,91.352,54.858,0,0,Round 4,0,0.10432432659213642,63,81.81818181818183,95.45454545454545
2024,RB,Skill,Michigan,Big Ten,67.75,205,9.0,28.875,70.125,4.53,35.5,27,119.0,6.82,4.12,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Round 3,0,0.10348765800303479,63,82.23140495867769,95.45454545454545
2025,DL,DL,Indiana,Big Ten,73.125,316,9.625,31.5,79.125,4.95,33.0,28,138.0,6.65,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,1,0,Round 4,0,0.10335562352003005,63,82.64462809917356,95.45454545454545
2024,CB,Secondary,Michigan,Big Ten,71.125,185,8.875,31.375,75.625,4.39,34.5,13,120.0,6.94,4.35,1,2210,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,1,0.10327110261545043,64,83.05785123966942,96.96969696969697
2023,WR,Skill,TCU,Big 12,68.375,165,8.0,29.25,69.0,4.36,36.5,12,126.0,6.9,4.38,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,Round 4,0,0.10256660110287562,64,83.47107438016529,96.96969696969697
2024,RB,Skill,Louisville,ACC,72.0,221,9.25,30.75,74.875,4.33,41.5,22,129.0,6.94,4.15,1,1688,11.36,72.759,63.856,75.697,45.123,0,0,Round 5,0,0.10214232621093024,64,83.88429752066115,96.96969696969697
2024,WR,Skill,Oregon St.,Pac-12,68.375,174,8.875,29.625,69.875,4.39,39.5,18,129.0,6.9,4.16,1,1722,13.996,79.392,79.074,67.781,54.727,0,0,Round 5,0,0.10188246031609355,64,84.29752066115702,96.96969696969697
2024,TE,Skill,Ohio St.,Big Ten,75.875,247,9.75,32.75,77.25,4.65,34.5,28,117.0,7.07,4.45,1,2065,27.485,89.569,83.397,86.658,44.2,1,0,Round 4,0,0.10159808637187547,64,84.71074380165288,96.96969696969697
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,1,0,Round 6,0,0.10127402206832374,64,85.12396694214877,96.96969696969697
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,31.375,76.875,4.43,43.0,12,105.0,8.19,4.94,0,1701,12.691,74.938,72.644,69.84,45.06,0,1,Round 1,0,0.10102610361543221,64,85.53719008264463,96.96969696969697
2025,WR,Skill,Tennessee,SEC,74.5,209,10.0,32.125,78.5,4.33,42.99,14,123.6,6.65,4.03,0,1915,20.786,83.706,67.16,87.119,52.677,0,0,Undrafted,1,0.1009388399688732,65,85.9504132231405,98.48484848484848
2024,EDGE,DL,Oregon,Pac-12,75.0,283,9.375,33.25,80.875,4.85,30.5,21,111.0,7.43,4.85,1,2106,25.043,90.094,93.321,73.578,35.343,1,0,Round 4,0,0.0994480158541523,65,86.36363636363636,98.48484848484848
2024,QB,Skill,Washington,Pac-12,74.25,216,10.5,33.625,81.0,4.79,32.5,17,112.0,7.04,4.26,0,1879,17.544,82.666,86.101,64.802,60.593,0,1,Round 1,0,0.0978303196177663,65,86.77685950413223,98.48484848484848
