Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2024,LB,LB,North Carolina,ACC,73.5,234,9.0,32.5,78.375,4.64,35.5,17,120.0,7.31,4.71,1,1569,10.237,64.036,77.006,45.498,43.228,0,0,Round 4,0,0.20090249451350606,8,9.917355371900827,12.121212121212121
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,29.875,70.75,4.61,33.5,22,116.0,6.87,4.23,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,Undrafted,1,0.2006491832189978,9,10.330578512396695,13.636363636363635
2023,IOL,OL,South Carolina,SEC,73.875,297,9.875,31.75,77.0,5.12,27.5,20,109.0,7.9,4.8,1,1620,4.416,61.258,58.008,49.932,79.756,0,0,Round 7,0,0.19963858364102918,9,10.743801652892563,13.636363636363635
2024,OT,OL,Pittsburgh,ACC,78.25,327,9.0,33.25,81.25,5.19,29.0,29,108.0,7.78,4.61,0,1404,-0.369,43.622,32.282,60.013,38.896,0,0,Round 3,0,0.19936033243767254,9,11.15702479338843,13.636363636363635
2025,RB,Skill,Syracuse,ACC,72.125,204,10.125,32.0,78.625,4.65,35.0,33,120.0,7.25,4.97,1,1499,3.99,59.911,72.144,44.673,32.891,0,0,Round 7,0,0.19881398267635458,9,11.570247933884298,13.636363636363635
2023,OT,OL,Syracuse,ACC,77.0,318,9.5,33.75,81.875,5.21,30.5,20,103.0,7.61,4.68,1,1464,5.084,59.708,56.419,61.005,44.497,0,0,Round 2,0,0.1983810310293009,9,11.983471074380166,13.636363636363635
2023,WR,Skill,East Carolina,AAC,73.5,224,10.25,32.0,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1509,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,1,0.1974411889734411,10,12.396694214876034,15.151515151515152
2023,EDGE,DL,Florida,SEC,75.875,250,9.25,33.125,80.75,4.82,33.0,24,115.0,7.22,4.44,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,1,0.19566444278405415,11,12.8099173553719,16.666666666666664
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,76.625,5.27,29.0,20,108.0,7.75,4.7,1,1634,12.342,68.271,72.487,57.125,45.454,0,0,Round 7,0,0.19518178021188215,11,13.223140495867769,16.666666666666664
2025,TE,Skill,Pittsburgh,ACC,76.625,246,9.75,31.375,78.375,4.7,24.5,33,115.5,8.19,4.97,1,1456,3.991,55.816,49.345,57.768,56.475,0,0,Round 6,0,0.19335260526613426,11,13.636363636363635,16.666666666666664
2025,WR,Skill,Maryland,Big Ten,75.5,204,9.25,31.75,77.625,4.46,30.0,23,114.0,7.02,4.03,1,1407,-0.535,43.23,46.603,47.026,35.755,0,0,Round 7,0,0.19288956807248267,11,14.049586776859504,16.666666666666664
2025,LB,LB,Minnesota,Big Ten,74.125,236,9.0,32.625,77.625,5.02,33.13,33,111.6,7.52,4.69,0,1674,9.315,68.599,55.808,75.809,45.723,0,0,Round 6,0,0.19183166393978493,11,14.46280991735537,16.666666666666664
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,78.375,5.06,30.0,12,114.0,7.27,4.46,1,1551,6.904,61.732,66.565,49.575,55.483,0,0,Undrafted,1,0.19066877825672182,12,14.87603305785124,18.181818181818183
2023,WR,Skill,Maryland,Big Ten,71.25,201,8.625,31.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,1645,7.842,61.934,61.039,57.849,51.968,0,0,Undrafted,1,0.19056519248110046,13,15.289256198347106,19.696969696969695
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,81.25,5.14,27.0,28,108.0,7.68,4.97,1,1611,8.19,65.787,60.714,66.155,45.94,0,0,Undrafted,1,0.1903708666665209,14,15.702479338842975,21.21212121212121
2024,DL,DL,Miami,ACC,75.5,303,9.0,33.875,80.625,5.12,30.0,27,109.0,7.81,4.75,1,1580,11.169,68.436,66.666,63.176,51.762,0,0,Undrafted,1,0.19016384176666823,15,16.115702479338843,22.727272727272727
2024,QB,Skill,Tulane,AAC,74.5,217,9.25,30.75,77.0,4.7,36.0,14,114.0,7.2,4.23,1,1598,3.05,60.759,46.835,66.943,59.144,0,0,Round 7,0,0.19000913916263062,15,16.528925619834713,22.727272727272727
2023,CB,Secondary,Florida St.,ACC,70.625,191,8.75,29.625,72.25,4.59,33.5,23,116.0,7.12,4.58,1,1848,15.503,78.613,83.024,62.6,47.133,0,0,Round 5,0,0.18980579437905026,15,16.94214876033058,22.727272727272727
2023,WR,Skill,Virginia,ACC,73.375,206,10.0,32.375,79.875,4.62,39.0,18,130.0,6.95,4.29,1,1340,-3.957,36.753,28.59,56.938,29.806,0,0,Round 5,0,0.18975605657369318,15,17.355371900826448,22.727272727272727
2023,WR,Skill,BYU,FBS Independent,74.0,201,9.5,32.125,74.875,4.5,36.5,17,126.0,6.94,4.29,0,1526,0.819,50.481,70.378,34.793,40.904,0,0,Round 6,0,0.18940125998710236,15,17.768595041322314,22.727272727272727
2023,TE,Skill,Wake Forest,ACC,75.75,247,8.75,32.125,79.375,4.7,35.5,20,115.0,7.42,4.3,1,1663,7.586,64.28,73.512,49.277,46.02,0,0,Undrafted,1,0.1888701249246277,16,18.181818181818183,24.242424242424242
2025,LB,LB,Utah,Big 12,134.75,231,10.067,31.482,74.5,4.68,29.53,11,123.3,7.09,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,1,0.18824796649498796,17,18.59504132231405,25.757575757575758
2023,RB,Skill,Appalachian St.,Sun Belt,73.375,217,9.75,32.625,78.625,4.61,37.0,20,121.0,6.85,4.33,1,1593,0.411,45.95,62.053,35.887,34.024,0,0,Undrafted,1,0.18790818586104333,18,19.00826446280992,27.27272727272727
2025,WR,Skill,Illinois,Big Ten,74.25,204,9.5,31.125,78.0,4.61,37.5,17,124.0,6.65,4.03,1,1618,5.208,63.81,64.672,52.931,65.881,0,0,Round 3,0,0.18728650450211665,18,19.421487603305785,27.27272727272727
2023,CB,Secondary,Notre Dame,FBS Independent,72.375,202,9.0,30.875,74.75,4.62,30.5,17,118.0,7.08,4.23,1,1850,12.6,69.601,59.985,66.897,66.833,0,0,Undrafted,1,0.18547504179338184,19,19.834710743801654,28.78787878787879
2025,TE,Skill,Georgia Tech,ACC,76.5,253,9.125,32.125,79.0,4.82,34.5,16,121.0,6.65,4.4,1,1554,7.402,66.705,72.242,58.501,35.797,0,0,Round 6,0,0.18517004266943007,19,20.24793388429752,28.78787878787879
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Round 2,0,0.1847445630152974,19,20.66115702479339,28.78787878787879
2024,IOL,OL,Utah,Pac-12,76.5,321,10.0,32.5,79.5,5.38,29.5,27,101.0,7.95,4.9,1,1684,10.768,65.114,50.684,74.826,48.257,0,0,Undrafted,1,0.18469958311702214,20,21.074380165289256,30.303030303030305
2023,RB,Skill,Utah,Pac-12,72.375,237,9.25,31.125,76.0,4.74,30.0,20,118.0,6.84,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,0,0,Undrafted,1,0.18433933007078784,21,21.487603305785125,31.818181818181817
2023,EDGE,DL,Wisconsin,Big Ten,74.125,240,9.25,31.25,76.0,4.65,34.5,25,124.0,7.24,4.45,1,1706,8.148,60.996,54.436,68.136,36.997,0,0,Round 5,0,0.18430077719312382,21,21.90082644628099,31.818181818181817
2025,LB,LB,Oklahoma,SEC,75.25,233,9.0,32.125,77.5,4.52,34.0,33,117.5,7.12,4.03,1,1725,10.943,65.083,38.944,80.167,57.918,1,0,Round 4,0,0.18422708963582982,21,22.31404958677686,31.818181818181817
2023,OT,OL,Florida,SEC,77.0,306,10.0,34.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,1581,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,1,0.18372265679050487,22,22.727272727272727,33.33333333333333
2023,OT,OL,Kansas,Big 12,77.75,309,9.5,34.125,80.75,5.05,31.0,20,111.0,7.6,4.69,1,1373,3.37,60.21,82.028,38.063,37.048,0,0,Undrafted,1,0.1832769612735767,23,23.140495867768596,34.84848484848485
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,77.875,4.68,32.15,15,121.5,6.94,4.19,0,1307,-3.385,38.477,43.057,38.791,48.852,0,1,Round 1,0,0.1821272786045352,23,23.553719008264462,34.84848484848485
2023,RB,Skill,Mississippi,SEC,71.0,202,10.25,31.625,73.25,4.47,36.0,20,122.0,7.14,4.6,0,1634,12.342,68.271,72.487,57.125,45.454,0,0,Round 6,0,0.18129043914440732,23,23.96694214876033,34.84848484848485
2023,EDGE,DL,North Carolina,ACC,76.0,238,8.625,32.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,1559,6.195,60.099,78.452,30.968,61.95,0,0,Undrafted,1,0.1812761807176315,24,24.380165289256198,36.36363636363637
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,79.25,4.62,37.0,28,118.0,7.19,4.33,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,Round 5,0,0.18029748038472285,24,24.793388429752067,36.36363636363637
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,0,0,Round 2,0,0.17975300128565752,24,25.206611570247933,36.36363636363637
