Round 1 Threshold,Undrafted Threshold,Accuracy,Average Ordinal Error,Round 1 Precision,Round 1 Recall,Undrafted Precision,Undrafted Recall,Extreme Precision Average
0.25,0.25,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.25,0.3,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.25,0.35,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.25,0.4,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.25,0.45,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.3,0.25,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.3,0.3,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.3,0.35,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.3,0.4,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.3,0.45,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.35,0.25,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.35,0.3,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.35,0.35,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.35,0.4,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.35,0.45,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.4,0.25,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.4,0.3,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.4,0.35,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.4,0.4,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.4,0.45,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.45,0.25,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.45,0.3,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.45,0.35,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.45,0.4,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
0.45,0.45,0.3322475570032573,1.280130293159609,0.42424242424242425,0.4375,0.34146341463414637,0.8433734939759037,0.3828529194382853
