Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,OT,OL,Big 12,77.75,309,9.5,80.75,5.05,31.0,20,111.0,7.6,4.69,1,3.37,60.21,82.028,38.063,37.048,0,0,Undrafted,0,0.23298187489241912,27,45.867768595041326,57.446808510638306
2023,WR,Skill,SEC,76.0,229,10.0,83.375,4.55,35.5,18,126.0,6.97,4.29,1,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 4-5,1,0.23231330958351484,28,46.28099173553719,59.57446808510638
2023,EDGE,DL,Sun Belt,74.25,236,9.5,80.625,4.58,35.5,23,120.0,7.07,4.45,1,0.411,45.95,62.053,35.887,34.024,0,0,Rounds 6-7,0,0.2320563648272244,28,46.69421487603306,59.57446808510638
2025,S,Secondary,Mountain West,70.625,202,9.5,75.25,4.41,41.5,18,128.0,6.65,4.14,1,-8.417,32.498,47.2,30.419,32.833,0,0,Rounds 6-7,0,0.231637389496886,28,47.107438016528924,59.57446808510638
2023,WR,Skill,AAC,73.5,224,10.25,78.5,4.56,36.0,20,125.0,6.96,4.29,0,1.775,54.675,70.734,39.058,37.309,0,0,Undrafted,0,0.23142792101195447,28,47.5206611570248,59.57446808510638
2023,RB,Skill,Pac-12,72.375,237,9.25,76.0,4.74,30.0,20,118.0,6.84,4.32,1,19.146,79.905,74.866,74.068,53.378,0,0,Undrafted,0,0.23093915706884402,28,47.93388429752066,59.57446808510638
2024,WR,Skill,ACC,73.0,212,10.125,79.375,4.43,39.5,19,122.0,6.85,4.1,1,-0.369,43.622,32.282,60.013,38.896,0,0,Rounds 6-7,0,0.23025456277298822,28,48.34710743801653,59.57446808510638
2023,C,OL,Big Ten,75.25,301,10.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.22980416061545872,28,48.760330578512395,59.57446808510638
2023,DL,DL,SEC,77.625,310,9.5,80.875,4.88,31.0,22,110.0,7.5,4.73,1,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 2-3,0,0.22923743658881063,28,49.17355371900827,59.57446808510638
2025,LB,LB,SEC,73.0,243,10.25,79.875,4.75,24.5,11,115.3,6.88,4.03,0,22.091,82.861,79.935,73.308,59.572,1,1,Round 1,0,0.22897140776627967,28,49.586776859504134,59.57446808510638
2025,WR,Skill,SEC,70.0,185,9.25,75.625,4.4,33.5,11,120.0,6.9,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 6-7,0,0.22844203080424869,28,50.0,59.57446808510638
2025,TE,Skill,Big Ten,77.75,251,10.0,78.375,5.42,35.0,11,120.0,7.18,4.47,1,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,0,0.2280740592661726,28,50.413223140495866,59.57446808510638
2025,DL,DL,Big Ten,75.75,306,10.0,82.625,5.09,28.0,11,103.0,8.19,4.03,1,-0.535,43.23,46.603,47.026,35.755,0,0,Rounds 6-7,0,0.22773460831607814,28,50.82644628099173,59.57446808510638
2025,DL,DL,SEC,79.375,331,10.5,84.125,5.45,25.0,33,104.0,6.65,4.03,1,4.707,54.684,41.39,62.472,62.769,0,1,Rounds 4-5,1,0.22753006455112879,29,51.2396694214876,61.702127659574465
2025,CB,Secondary,Big Ten,72.5,213,9.0,79.5,4.38,30.44,11,116.6,8.12,4.97,0,6.154,64.984,58.011,69.664,41.381,0,0,Undrafted,0,0.22737027597786277,29,51.652892561983464,61.702127659574465
2023,CB,Secondary,SEC,73.75,207,8.5,74.125,4.36,33.5,15,122.0,6.89,4.3,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 4-5,1,0.2263885121141717,30,52.066115702479344,63.829787234042556
2024,CB,Secondary,MVFC,70.875,195,9.375,74.0,4.5,35.5,13,118.0,6.88,3.98,1,10.639,66.998,59.904,66.911,53.148,0,0,Rounds 6-7,0,0.22531176965517746,30,52.47933884297521,63.829787234042556
2023,RB,Skill,Pac-12,70.0,201,9.25,70.25,4.46,35.5,20,122.0,7.16,4.61,0,13.164,77.414,90.693,44.38,43.862,0,0,Undrafted,0,0.22498727044731318,30,52.892561983471076,63.829787234042556
2024,CB,Secondary,SEC,73.0,196,8.5,74.125,4.49,38.0,15,126.0,6.94,4.25,0,14.091,72.034,66.494,68.45,54.522,1,0,Rounds 6-7,0,0.22413972058608575,30,53.30578512396694,63.829787234042556
2024,LB,LB,Big Ten,74.25,238,9.375,77.5,4.62,34.5,18,119.0,7.4,4.38,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 2-3,0,0.2238813784159181,30,53.71900826446281,63.829787234042556
2025,WR,Skill,Big 12,76.125,214,9.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.22363923035560088,30,54.132231404958674,63.829787234042556
2025,DL,DL,SEC,75.125,290,10.25,81.125,5.45,43.0,33,138.0,6.65,4.97,0,14.297,76.763,68.737,71.579,64.836,1,0,Rounds 2-3,0,0.22270515415651826,30,54.54545454545454,63.829787234042556
2025,RB,Skill,Big Ten,68.25,211,9.0,72.0,4.6,34.5,11,115.7,7.58,4.97,1,3.857,55.405,64.09,40.753,58.771,0,0,Rounds 6-7,0,0.22162878976266415,30,54.958677685950406,63.829787234042556
2023,K,Special Teams,Big Ten,73.0,209,9.5,75.875,4.58,34.0,20,121.0,7.27,4.44,0,23.62,85.085,79.485,79.2,57.128,1,0,Rounds 4-5,1,0.22160242110878361,31,55.371900826446286,65.95744680851064
2025,WR,Skill,ACC,73.75,206,10.0,78.375,4.44,38.5,33,127.0,6.7,4.31,1,-5.299,38.36,36.975,39.874,65.408,0,0,Rounds 4-5,1,0.22133490105892906,32,55.78512396694215,68.08510638297872
2023,OT,OL,SEC,77.0,306,10.0,81.125,5.15,30.0,20,108.0,7.6,4.69,0,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,0,0.22045509936736704,32,56.19834710743802,68.08510638297872
2023,RB,Skill,Big Ten,70.125,209,9.25,74.375,4.47,37.0,20,123.0,6.9,4.38,1,-7.588,30.34,26.742,42.636,51.301,0,0,Rounds 6-7,0,0.219854669736025,32,56.611570247933884,68.08510638297872
2023,OT,OL,Mountain West,77.75,309,10.75,83.625,5.24,28.5,20,104.0,7.52,4.52,1,3.797,52.954,41.976,64.425,46.27,0,0,Undrafted,0,0.2196990727679374,32,57.02479338842975,68.08510638297872
2024,OT,OL,Big Ten,76.875,314,10.75,82.625,5.15,31.0,30,116.0,7.92,4.64,1,25.618,85.731,66.931,89.424,64.921,1,0,Rounds 2-3,0,0.2192613819336634,32,57.438016528925615,68.08510638297872
2024,LB,LB,Big 12,74.375,240,9.5,74.375,4.62,33.5,18,121.0,7.44,4.44,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 6-7,0,0.21909950893627855,32,57.85123966942148,68.08510638297872
2025,WR,Skill,FBS Independent,75.0,201,9.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,25.305,88.314,78.053,88.226,42.499,0,0,Undrafted,0,0.21864861415899323,32,58.26446280991735,68.08510638297872
2023,LB,LB,ACC,72.5,226,10.625,78.875,4.56,33.0,19,119.0,7.35,4.4,1,7.918,61.732,46.268,72.6,50.534,0,0,Rounds 4-5,1,0.2173918789592422,33,58.67768595041323,70.2127659574468
2025,IOL,OL,SEC,78.5,308,10.375,79.25,4.97,32.0,11,113.0,7.38,4.03,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 2-3,0,0.2165138303329579,33,59.09090909090909,70.2127659574468
2025,LB,LB,ACC,73.875,233,9.375,75.375,4.6,40.0,26,125.0,7.28,4.03,1,4.302,57.687,45.477,64.264,58.117,0,0,Rounds 4-5,1,0.21648227582350793,34,59.50413223140496,72.3404255319149
2024,IOL,OL,Big Ten,76.125,308,9.875,80.625,5.01,26.5,28,112.0,7.64,4.61,1,8.085,66.299,64.78,61.709,49.654,0,0,Undrafted,0,0.21642460023614207,34,59.917355371900825,72.3404255319149
2023,IOL,OL,ACC,74.25,303,9.5,81.0,4.99,28.5,20,108.0,7.7,4.81,1,17.553,74.958,64.744,77.07,48.641,0,0,Rounds 4-5,1,0.21632840675905537,35,60.33057851239669,74.46808510638297
2023,CB,Secondary,FBS Independent,72.375,202,9.0,74.75,4.62,30.5,17,118.0,7.08,4.23,1,12.6,69.601,59.985,66.897,66.833,0,0,Undrafted,0,0.21279100778205004,35,60.74380165289256,74.46808510638297
2024,EDGE,DL,AAC,76.5,260,9.5,79.375,4.65,34.5,23,121.0,7.17,4.36,0,-14.993,22.913,17.6,42.495,39.432,0,0,Undrafted,0,0.21264782082416014,35,61.15702479338842,74.46808510638297
2024,CB,Secondary,SEC,72.0,183,8.5,73.75,4.38,34.5,15,125.0,6.94,4.55,1,15.302,75.391,76.693,64.536,49.591,0,0,Rounds 4-5,1,0.21250046100656061,36,61.57024793388429,76.59574468085107
2023,EDGE,DL,SEC,75.875,250,9.25,80.75,4.82,33.0,24,115.0,7.22,4.44,1,7.555,60.994,69.396,49.078,49.533,0,0,Undrafted,0,0.2122085757205822,36,61.98347107438017,76.59574468085107
2023,RB,Skill,Big 12,71.0,215,9.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 2-3,0,0.21143502584059612,36,62.396694214876035,76.59574468085107
2025,EDGE,DL,SEC,74.75,257,10.0,80.875,4.28,35.8,15,93.0,6.65,4.03,0,14.297,76.763,68.737,71.579,64.836,1,1,Rounds 2-3,0,0.21021858002810967,36,62.8099173553719,76.59574468085107
2025,DL,DL,SEC,76.375,302,10.375,81.625,4.28,24.5,33,138.0,6.65,4.6,0,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 6-7,0,0.2098496284669552,36,63.22314049586777,76.59574468085107
2025,WR,Skill,SEC,71.25,196,9.125,72.5,4.37,36.5,14,119.0,6.65,4.36,1,20.608,84.235,76.596,81.866,47.73,1,0,Rounds 4-5,1,0.20972046962537697,37,63.63636363636363,78.72340425531915
2024,RB,Skill,ACC,71.0,206,9.625,74.125,4.51,35.0,22,122.0,6.82,4.23,0,13.892,72.489,48.101,90.04,37.087,1,0,Rounds 4-5,1,0.20835826500048102,38,64.0495867768595,80.85106382978722
2023,EDGE,DL,Mountain West,76.0,276,9.0,77.375,4.74,34.0,24,118.0,7.5,4.52,1,-5.871,37.879,45.968,41.711,27.738,0,0,Rounds 4-5,1,0.2075666241440774,39,64.46280991735537,82.97872340425532
2024,S,Secondary,Big Ten,73.25,199,9.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,-0.564,45.156,45.237,46.429,51.196,0,1,Rounds 2-3,0,0.20420747565514652,39,64.87603305785123,82.97872340425532
2024,DL,DL,SEC,74.375,286,9.625,78.25,5.06,29.5,27,103.0,6.81,4.6,1,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0.20351694988192134,39,65.28925619834712,82.97872340425532
2024,C,OL,Big Ten,73.5,298,9.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,0,0.2023555712192136,39,65.70247933884298,82.97872340425532
2024,C,OL,ACC,75.0,308,10.0,79.0,5.09,29.5,28,108.0,7.41,4.01,1,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 6-7,0,0.20129016836894953,39,66.11570247933885,82.97872340425532
2024,CB,Secondary,SEC,71.375,179,8.625,74.625,4.44,33.5,15,123.0,6.94,4.58,1,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 4-5,1,0.20114932104338093,40,66.52892561983471,85.1063829787234
2023,EDGE,DL,Sun Belt,76.5,248,10.0,81.25,4.67,29.0,23,116.0,7.35,4.44,1,-2.136,45.745,34.883,52.541,66.931,0,0,Rounds 6-7,0,0.20049046047707525,40,66.94214876033058,85.1063829787234
2025,WR,Skill,Big 12,73.25,214,9.0,75.0,4.52,34.5,19,125.0,6.84,4.21,1,8.023,67.255,69.28,58.063,52.483,0,0,Rounds 2-3,0,0.1995909264780702,40,67.35537190082644,85.1063829787234
2025,WR,Skill,SEC,76.625,205,9.5,79.0,4.3,33.0,20,126.0,7.05,4.03,1,20.786,83.706,67.16,87.119,52.677,0,0,Rounds 4-5,1,0.19930436974721594,41,67.76859504132231,87.2340425531915
2023,RB,Skill,SEC,72.25,204,9.0,76.375,4.62,35.5,20,122.0,7.11,4.57,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 6-7,0,0.19906523262023962,41,68.18181818181817,87.2340425531915
2024,RB,Skill,SEC,69.625,207,9.5,73.0,4.56,32.5,22,114.0,6.95,4.24,1,24.777,87.417,88.149,74.455,48.128,1,0,Undrafted,0,0.19885832837209944,41,68.59504132231406,87.2340425531915
2024,TE,Skill,SEC,75.0,240,9.375,78.75,4.64,32.5,28,121.0,7.09,4.54,1,6.054,55.105,53.866,54.724,48.937,0,0,Undrafted,0,0.19841316221305408,41,69.00826446280992,87.2340425531915
2023,C,OL,SEC,75.0,306,9.75,79.625,5.26,32.5,20,111.0,7.52,4.43,1,6.93,62.299,69.2,48.112,56.255,0,0,Rounds 4-5,1,0.19785245797632253,42,69.42148760330579,89.36170212765957
2023,LB,LB,AAC,70.5,231,9.5,72.0,4.55,33.5,22,119.0,7.44,4.41,0,6.451,60.989,44.607,64.989,69.829,0,1,Undrafted,0,0.19759834107100005,42,69.83471074380165,89.36170212765957
2023,RB,Skill,AAC,71.75,216,9.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,-4.107,43.074,50.493,42.491,37.352,0,0,Undrafted,0,0.19635662512434604,42,70.24793388429752,89.36170212765957
2023,WR,Skill,Big Ten,71.375,175,9.0,74.0,4.43,36.5,13,124.0,6.91,4.29,1,4.283,58.947,63.872,51.004,46.438,0,0,Rounds 4-5,1,0.19619471543024045,43,70.66115702479338,91.48936170212765
2025,RB,Skill,SEC,72.0,217,9.25,76.25,4.46,36.5,33,117.1,7.28,4.03,1,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,0,0.1944921658071856,43,71.07438016528926,91.48936170212765
2024,IOL,OL,SEC,75.5,302,10.5,81.5,5.13,26.5,27,111.0,7.67,4.58,1,15.36,75.057,65.814,76.34,50.751,0,0,Rounds 4-5,1,0.1932534598751988,44,71.48760330578511,93.61702127659575
2023,TE,Skill,Big 12,75.5,241,9.75,79.125,4.68,32.0,20,117.0,7.3,4.36,1,9.969,66.271,71.907,54.872,48.16,0,0,Rounds 6-7,0,0.19286300517195018,44,71.900826446281,93.61702127659575
2024,RB,Skill,Big 12,67.375,202,9.75,70.75,4.61,33.5,22,116.0,6.87,4.23,1,9.511,59.244,64.411,51.426,45.245,0,0,Undrafted,0,0.19070436264341759,44,72.31404958677686,93.61702127659575
2025,DL,DL,Big 12,75.5,308,10.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0.18759106550456975,44,72.72727272727273,93.61702127659575
2025,IOL,OL,Big Ten,77.75,309,10.0,77.125,5.45,28.5,33,110.0,7.78,4.63,1,11.144,70.238,48.063,74.759,71.573,0,0,Rounds 6-7,0,0.18539985954391236,44,73.14049586776859,93.61702127659575
2023,TE,Skill,ACC,75.75,247,8.75,79.375,4.7,35.5,20,115.0,7.42,4.3,1,7.586,64.28,73.512,49.277,46.02,0,0,Undrafted,0,0.18382350091739505,44,73.55371900826447,93.61702127659575
2025,TE,Skill,Big 12,74.0,236,10.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,5.029,60.487,30.282,79.81,59.786,0,0,Undrafted,0,0.1837679755427793,44,73.96694214876032,93.61702127659575
2025,WR,Skill,SEC,71.0,191,9.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,26.107,88.25,73.85,92.32,35.538,0,0,Round 1,0,0.18238724442305332,44,74.3801652892562,93.61702127659575
2025,WR,Skill,Big 12,72.625,186,10.5,76.625,4.7,33.0,14,121.0,7.02,4.97,1,6.204,57.272,59.502,48.684,59.274,1,0,Undrafted,0,0.18228489506902099,44,74.79338842975206,93.61702127659575
2025,OT,OL,ACC,80.125,316,10.375,81.0,5.21,24.5,22,106.0,7.71,4.7,1,4.829,61.35,56.657,64.403,40.228,0,0,Rounds 2-3,0,0.18169518986885375,44,75.20661157024794,93.61702127659575
2023,CB,Secondary,Sun Belt,74.0,200,9.75,78.125,4.48,37.0,13,124.0,6.83,4.3,1,-6.531,40.095,54.955,32.539,40.387,0,0,Undrafted,0,0.17947326235639244,44,75.6198347107438,93.61702127659575
2025,WR,Skill,SEC,74.375,205,9.5,78.25,4.54,38.5,15,125.0,6.93,4.05,1,20.608,84.235,76.596,81.866,47.73,1,1,Rounds 2-3,0,0.17897134038303308,44,76.03305785123968,93.61702127659575
2024,S,Secondary,ACC,76.25,231,9.5,80.25,4.65,30.0,17,117.0,6.69,3.5,1,11.169,68.436,66.666,63.176,51.762,0,0,Rounds 6-7,0,0.17834206033928476,44,76.44628099173553,93.61702127659575
2023,LB,LB,Big 12,71.0,227,8.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,14.378,80.5,80.39,69.518,54.974,0,0,Rounds 6-7,0,0.1779670748829759,44,76.85950413223141,93.61702127659575
2023,TE,Skill,AAC,78.5,248,9.5,77.375,4.69,33.5,21,115.0,7.42,4.29,1,6.451,60.989,44.607,64.989,69.829,0,0,Rounds 4-5,1,0.17686785241705216,45,77.27272727272727,95.74468085106383
2025,TE,Skill,FBS Independent,77.375,241,9.5,77.0,4.74,31.0,33,115.0,7.25,4.4,1,25.305,88.314,78.053,88.226,42.499,0,0,Rounds 6-7,0,0.1752198967379623,45,77.68595041322314,95.74468085106383
2024,WR,Skill,ACC,75.25,213,9.375,78.125,4.61,38.0,15,127.0,6.84,4.1,1,19.915,83.68,70.051,84.429,58.266,0,1,Rounds 2-3,0,0.1716149756214086,45,78.099173553719,95.74468085106383
2023,IOL,OL,Pac-12,78.0,310,10.0,77.75,5.22,29.0,20,105.0,7.9,4.79,1,13.164,77.414,90.693,44.38,43.862,0,0,Rounds 6-7,0,0.17107313065664737,45,78.51239669421489,95.74468085106383
2024,WR,Skill,SEC,70.0,181,9.125,72.75,4.43,35.5,14,124.0,7.0,4.35,1,0.859,45.573,31.326,62.302,47.192,0,0,Undrafted,0,0.17106381082771516,45,78.92561983471074,95.74468085106383
2025,WR,Skill,ACC,71.375,186,8.5,74.375,4.59,36.0,19,124.0,7.37,4.03,1,3.991,55.816,49.345,57.768,56.475,0,0,Rounds 6-7,0,0.1697959645582776,45,79.33884297520662,95.74468085106383
2024,IOL,OL,Pac-12,76.5,321,10.0,79.5,5.38,29.5,27,101.0,7.95,4.9,1,10.768,65.114,50.684,74.826,48.257,0,0,Undrafted,0,0.16968638768071664,45,79.75206611570248,95.74468085106383
2024,K,Special Teams,SEC,72.875,187,8.5,73.625,4.39,38.0,15,127.0,6.81,4.14,0,24.925,84.968,76.211,80.844,61.941,0,0,Rounds 6-7,0,0.16807569623873675,45,80.16528925619835,95.74468085106383
2024,C,OL,Big Ten,76.0,307,9.75,79.0,5.17,31.5,27,107.0,7.41,4.29,0,-3.512,38.745,32.821,44.666,62.478,0,0,Rounds 6-7,0,0.16665038288403805,45,80.57851239669421,95.74468085106383
2025,WR,Skill,ACC,76.25,213,9.0,79.125,4.5,32.5,18,122.0,7.1,4.3,1,8.853,70.514,55.299,74.421,59.153,0,0,Undrafted,0,0.16637851481009008,45,80.99173553719008,95.74468085106383
2024,QB,Skill,Pac-12,74.25,216,10.5,81.0,4.79,32.5,17,112.0,7.04,4.26,0,17.544,82.666,86.101,64.802,60.593,0,1,Round 1,0,0.16621493108773233,45,81.40495867768594,95.74468085106383
2023,IOL,OL,SoCon,78.0,324,10.25,83.875,5.24,26.5,20,105.0,7.7,4.97,1,11.336,69.68,68.952,64.29,44.371,0,0,Undrafted,0,0.1651623936026242,45,81.81818181818183,95.74468085106383
2023,C,OL,Big Ten,75.5,301,9.5,78.375,5.35,29.5,20,104.0,7.68,4.56,1,11.422,72.43,66.077,73.504,40.834,0,0,Rounds 2-3,0,0.16499263039828832,45,82.23140495867769,95.74468085106383
2024,TE,Skill,Mountain West,75.375,241,10.25,78.125,4.78,32.5,28,122.0,6.83,4.21,1,-11.774,30.563,28.491,37.664,56.051,0,0,Undrafted,0,0.16368513014781044,45,82.64462809917356,95.74468085106383
2023,RB,Skill,SEC,71.625,210,9.5,76.625,4.56,32.5,20,119.0,7.23,4.68,1,6.205,55.022,47.067,62.103,45.36,0,0,Rounds 2-3,0,0.16337207004688092,45,83.05785123966942,95.74468085106383
2024,RB,Skill,ACC,69.5,193,8.5,71.0,4.56,34.5,22,121.0,6.65,4.22,1,11.36,72.759,63.856,75.697,45.123,0,0,Rounds 6-7,0,0.16043976317277575,45,83.47107438016529,95.74468085106383
2023,IOL,OL,Pac-12,77.75,306,10.75,81.125,5.5,28.0,20,101.0,8.34,4.97,1,11.472,73.944,84.016,49.984,45.242,1,0,Undrafted,0,0.1576704747435942,45,83.88429752066115,95.74468085106383
2025,IOL,OL,Big Ten,75.625,315,9.75,83.75,4.28,24.5,11,102.1,6.65,4.03,0,24.823,87.333,80.443,83.601,49.523,1,1,Round 1,0,0.15420536161953124,45,84.29752066115702,95.74468085106383
2023,IOL,OL,NSIC,76.0,304,9.75,78.75,5.2,29.0,20,109.0,7.77,4.75,0,14.599,74.563,74.162,65.921,50.606,0,0,Undrafted,0,0.1536867537287579,45,84.71074380165288,95.74468085106383
2025,RB,Skill,ACC,71.625,217,9.5,75.25,4.51,35.0,33,124.0,6.95,4.97,1,17.338,77.097,87.084,52.889,41.286,1,1,Rounds 6-7,0,0.1536107913116065,45,85.12396694214877,95.74468085106383
2023,RB,Skill,Sun Belt,73.375,217,9.75,78.625,4.61,37.0,20,121.0,6.85,4.33,1,0.411,45.95,62.053,35.887,34.024,0,0,Undrafted,0,0.15152389193059548,45,85.53719008264463,95.74468085106383
2025,LB,LB,SEC,73.0,222,8.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,11.901,71.717,58.466,70.419,67.15,0,0,Rounds 4-5,1,0.15064514740884938,46,85.9504132231405,97.87234042553192
2023,IOL,OL,SEC,77.0,330,11.25,83.875,5.31,23.5,20,101.0,7.99,4.81,1,7.555,60.994,69.396,49.078,49.533,0,0,Rounds 2-3,0,0.14913367202942351,46,86.36363636363636,97.87234042553192
2025,CB,Secondary,MAC,73.25,190,9.0,75.5,4.43,26.41,16,124.0,6.65,4.03,1,-10.952,37.661,53.267,24.968,62.263,0,0,Rounds 6-7,0,0.14641609002182038,46,86.77685950413223,97.87234042553192
2023,EDGE,DL,ACC,77.0,268,8.5,81.25,4.62,32.0,25,117.0,7.36,4.44,1,17.553,74.958,64.744,77.07,48.641,0,1,Round 1,0,0.14634064586655104,46,87.19008264462809,97.87234042553192
2023,K,Special Teams,SEC,72.0,194,9.125,74.375,4.58,34.0,20,121.0,7.27,4.44,0,29.908,93.511,90.791,87.647,45.406,0,0,Undrafted,0,0.14581301192280188,46,87.60330578512396,97.87234042553192
2023,DL,DL,SEC,75.0,314,10.25,81.0,5.13,29.0,25,106.0,7.65,4.82,0,29.908,93.511,90.791,87.647,45.406,0,1,Round 1,0,0.14478678684186874,46,88.01652892561982,97.87234042553192
2024,LB,LB,SEC,73.75,231,8.875,77.75,4.62,34.0,18,118.0,7.23,4.5,0,15.277,78.168,79.322,67.958,47.09,0,0,Rounds 2-3,0,0.14472087668557496,46,88.42975206611571,97.87234042553192
2023,WR,Skill,Mountain West,71.125,172,8.875,74.75,4.4,34.5,12,121.0,6.91,4.29,1,3.726,61.671,58.399,57.283,60.117,0,0,Undrafted,0,0.1397635962343518,46,88.84297520661157,97.87234042553192
2025,IOL,OL,ACC,77.25,321,9.0,80.875,5.45,24.5,11,113.3,6.77,4.03,0,14.768,79.193,79.078,73.333,36.319,0,0,Undrafted,0,0.13658213820855947,46,89.25619834710744,97.87234042553192
2023,RB,Skill,SEC,72.0,217,8.625,73.625,4.55,34.5,20,122.0,6.92,4.4,0,5.824,59.284,46.761,72.541,34.773,0,0,Rounds 6-7,0,0.13547466140438413,46,89.6694214876033,97.87234042553192
2023,LS,Special Teams,AAC,76.0,240,9.625,78.375,5.06,30.0,12,114.0,7.27,4.46,1,6.904,61.732,66.565,49.575,55.483,0,0,Undrafted,0,0.1344836285118511,46,90.08264462809917,97.87234042553192
2023,RB,Skill,Big 12,71.0,215,9.75,74.75,4.46,37.0,20,124.0,6.77,4.26,1,19.379,79.1,73.758,70.57,66.449,1,1,Round 1,0,0.13395805826877039,46,90.49586776859503,97.87234042553192
2025,WR,Skill,Big Ten,72.875,202,9.5,76.625,4.54,37.82,11,125.3,7.41,4.55,0,24.823,87.333,80.443,83.601,49.523,1,1,Round 1,0,0.13375414060996482,46,90.9090909090909,97.87234042553192
2024,C,OL,ACC,77.375,313,9.375,79.75,5.2,31.0,27,105.0,7.41,4.24,0,8.778,68.7,63.774,63.667,60.347,0,0,Round 1,0,0.13296988911578667,46,91.32231404958677,97.87234042553192
2024,K,Special Teams,SEC,73.0,172,9.25,73.625,4.29,39.0,13,130.0,6.69,4.06,0,2.225,47.846,34.458,61.741,53.372,0,0,Rounds 6-7,0,0.12880008395452783,46,91.73553719008265,97.87234042553192
2025,TE,Skill,SEC,77.125,251,10.0,78.75,4.28,24.5,33,110.7,6.65,4.97,0,13.515,71.849,75.763,61.497,39.011,0,0,Rounds 2-3,0,0.1270972960738771,46,92.14876033057851,97.87234042553192
2025,IOL,OL,Big 12,78.5,313,10.25,79.5,5.27,30.0,33,108.0,8.19,4.69,1,1.795,52.984,64.597,35.526,62.429,0,0,Rounds 2-3,0,0.12637919706256806,46,92.56198347107438,97.87234042553192
2023,WR,Skill,Big 12,73.875,203,9.375,74.875,4.53,36.0,17,116.0,6.91,4.35,1,6.28,57.494,40.857,78.383,33.853,0,0,Rounds 6-7,0,0.1261941630865781,46,92.97520661157024,97.87234042553192
2023,IOL,OL,Sun Belt,78.25,318,10.25,81.25,5.21,31.0,20,111.0,7.57,4.69,1,-10.538,30.819,27.542,38.624,55.322,0,0,Rounds 4-5,1,0.12616842695426253,47,93.38842975206612,100.0
2023,CB,Secondary,SEC,71.625,190,9.5,78.125,4.58,34.5,14,125.0,6.51,4.3,1,27.296,89.526,85.539,81.093,61.676,1,1,Rounds 2-3,0,0.12379138515336652,47,93.80165289256198,100.0
2024,P,Special Teams,Big 12,76.375,235,8.875,76.375,4.63,35.5,19,123.0,7.05,4.31,0,-1.805,52.478,36.286,62.31,60.603,0,0,Undrafted,0,0.12369621259362079,47,94.21487603305785,100.0
2023,WR,Skill,Conference USA,74.0,201,9.5,77.875,4.57,35.0,17,125.0,6.89,4.32,1,-17.759,17.839,41.399,10.816,49.466,0,0,Rounds 6-7,0,0.11896170746785731,47,94.62809917355372,100.0
2025,WR,Skill,SEC,75.0,200,9.5,78.375,4.56,31.0,17,117.0,6.84,4.03,1,12.197,68.028,61.356,72.874,37.108,0,0,Undrafted,0,0.11564627119451514,47,95.0413223140496,100.0
2025,OT,OL,SEC,77.125,315,10.375,84.375,5.16,32.0,14,104.0,7.81,4.66,1,26.107,88.25,73.85,92.32,35.538,0,1,Round 1,0,0.11389025973354705,47,95.45454545454545,100.0
