Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,WR,Skill,Big Ten,70.0,204,10.125,72.0,4.52,35.5,16,123.0,6.94,4.29,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 6-7,0,0.27205442376987876,5,10.743801652892563,10.638297872340425
2025,EDGE,DL,SEC,77.875,274,9.125,82.75,5.45,24.5,30,138.0,8.19,4.97,0,20.608,84.235,76.596,81.866,47.73,1,0,Undrafted,0,0.27190456812394304,5,11.15702479338843,10.638297872340425
2024,OT,OL,SEC,79.75,340,11.25,86.75,5.07,25.5,30,111.0,7.46,4.41,1,24.777,87.417,88.149,74.455,48.128,1,0,Round 1,0,0.2714592789942888,5,11.570247933884298,10.638297872340425
2025,DL,DL,Big Ten,77.125,288,10.0,79.0,4.83,33.5,28,119.0,7.58,4.5,1,6.154,64.984,58.011,69.664,41.381,0,0,Rounds 4-5,1,0.27120033267294785,6,11.983471074380166,12.76595744680851
2023,OT,OL,Big Ten,77.625,306,9.375,79.125,5.1,31.5,20,113.0,7.6,4.69,1,7.842,61.934,61.039,57.849,51.968,0,0,Rounds 6-7,0,0.2704908205370666,6,12.396694214876034,12.76595744680851
2024,S,Secondary,SEC,71.625,179,9.875,76.625,4.45,39.5,13,133.0,7.22,5.94,1,8.916,67.536,49.076,72.965,65.063,0,0,Rounds 6-7,0,0.27023806117840654,6,12.8099173553719,12.76595744680851
2025,DL,DL,ACC,77.5,321,10.25,85.125,5.14,34.5,11,111.0,6.65,4.03,1,7.402,66.705,72.242,58.501,35.797,0,0,Rounds 6-7,0,0.27017490986701487,6,13.223140495867769,12.76595744680851
2025,TE,Skill,SEC,75.0,274,9.625,78.25,4.91,34.0,26,119.0,7.34,4.45,1,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 6-7,0,0.270153817754851,6,13.636363636363635,12.76595744680851
2023,CB,Secondary,Big Ten,71.375,203,10.125,75.75,4.65,32.5,18,119.0,7.03,4.21,1,19.477,82.964,71.335,83.462,50.595,0,0,Rounds 2-3,0,0.2699370699072194,6,14.049586776859504,12.76595744680851
2024,S,Secondary,Big 12,74.375,216,9.125,79.125,4.51,41.0,24,146.0,6.81,4.04,1,6.237,62.556,51.102,66.311,59.243,0,0,Undrafted,0,0.26922001852110566,6,14.46280991735537,12.76595744680851
2024,EDGE,DL,SEC,77.125,285,10.625,84.375,4.95,35.0,21,111.0,7.44,4.84,1,15.277,78.168,79.322,67.958,47.09,0,0,Round 1,0,0.2691461796702152,6,14.87603305785124,12.76595744680851
2024,RB,Skill,Big Ten,68.5,229,9.0,69.625,4.56,36.0,22,119.0,7.25,4.26,0,27.485,89.569,83.397,86.658,44.2,1,0,Undrafted,0,0.26913118747044773,6,15.289256198347106,12.76595744680851
2024,DL,DL,ACC,74.375,302,10.25,79.125,4.99,32.0,27,109.0,7.95,4.75,1,8.778,68.7,63.774,63.667,60.347,0,0,Rounds 2-3,0,0.2690716787715876,6,15.702479338842975,12.76595744680851
2023,EDGE,DL,Big Ten,76.75,250,10.75,83.375,4.74,33.5,21,118.0,7.18,4.38,1,-0.651,40.694,43.713,40.707,51.926,0,0,Rounds 6-7,0,0.2686794713280436,6,16.115702479338843,12.76595744680851
2023,CB,Secondary,Big Ten,71.25,178,9.625,73.375,4.26,38.5,12,131.0,6.51,4.28,1,23.62,85.085,79.485,79.2,57.128,1,0,Rounds 2-3,0,0.2681768003708668,6,16.528925619834713,12.76595744680851
2024,DL,DL,Big Ten,77.375,281,10.25,78.875,5.05,31.5,25,114.0,7.16,4.37,1,6.086,61.244,18.216,86.165,61.239,0,0,Rounds 6-7,0,0.26769817473983626,6,16.94214876033058,12.76595744680851
2023,EDGE,DL,Big 12,74.5,269,9.25,82.0,4.68,33.0,20,117.0,7.43,4.52,1,6.28,57.494,40.857,78.383,33.853,0,0,Undrafted,0,0.26717430185550783,6,17.355371900826448,12.76595744680851
2024,WR,Skill,OVC-Big South,72.75,202,10.125,76.125,4.44,39.5,19,132.0,6.85,4.12,1,10.257,67.367,64.253,63.204,55.565,0,0,Rounds 6-7,0,0.2670357244373118,6,17.768595041322314,12.76595744680851
2025,EDGE,DL,SEC,76.0,254,9.625,81.5,4.73,30.43,23,138.0,6.65,4.97,1,14.834,76.206,60.762,80.864,51.02,0,0,Rounds 4-5,1,0.2670329320089185,7,18.181818181818183,14.893617021276595
2025,DL,DL,SEC,77.625,332,10.0,85.0,4.28,26.0,11,96.0,6.65,4.97,1,26.107,88.25,73.85,92.32,35.538,0,0,Rounds 2-3,0,0.2666377499678508,7,18.59504132231405,14.893617021276595
2023,CB,Secondary,Pac-12,72.0,191,9.75,76.625,4.52,36.0,15,131.0,6.51,4.27,1,-3.917,38.149,36.614,44.176,50.17,0,0,Rounds 4-5,1,0.2660919651046722,8,19.00826446280992,17.02127659574468
2023,DL,DL,SEC,75.0,304,10.0,82.0,5.1,29.5,24,109.0,7.6,4.79,1,13.237,75.362,59.938,76.598,66.986,0,0,Rounds 4-5,1,0.26565766321446527,9,19.421487603305785,19.148936170212767
2024,CB,Secondary,Big Ten,71.125,185,8.875,75.625,4.39,34.5,13,120.0,6.94,4.35,1,27.625,94.395,88.226,91.352,54.858,0,0,Undrafted,0,0.2636826595401659,9,19.834710743801654,19.148936170212767
2024,EDGE,DL,Big Ten,76.375,247,9.625,81.0,4.74,34.5,23,123.0,7.42,4.6,1,25.618,85.731,66.931,89.424,64.921,1,0,Rounds 2-3,0,0.263682321579106,9,20.24793388429752,19.148936170212767
2025,WR,Skill,SEC,72.0,206,8.5,76.5,4.41,29.17,12,115.9,7.33,4.11,1,12.197,68.028,61.356,72.874,37.108,0,1,Rounds 2-3,0,0.2635606022084417,9,20.66115702479339,19.148936170212767
2023,CB,Secondary,AAC,72.0,195,9.5,78.0,4.53,37.5,15,125.0,6.97,4.52,1,4.061,51.527,62.603,38.496,54.875,0,0,Rounds 6-7,0,0.2635534187332449,9,21.074380165289256,19.148936170212767
2024,OT,OL,MEAC,79.75,353,9.75,85.5,5.35,27.5,31,105.0,7.5,4.41,1,10.624,67.994,66.593,60.836,53.823,0,0,Undrafted,0,0.2634089068644373,9,21.487603305785125,19.148936170212767
2024,EDGE,DL,Pac-12,75.875,264,9.75,78.75,4.69,33.5,21,114.0,7.07,4.48,1,3.221,62.169,54.667,62.054,59.872,0,0,Rounds 4-5,1,0.2633101792296981,10,21.90082644628099,21.27659574468085
2024,S,Secondary,SEC,70.5,198,9.0,73.875,4.47,37.0,17,123.0,7.03,5.04,1,24.777,87.417,88.149,74.455,48.128,1,0,Rounds 2-3,0,0.26318098326233236,10,22.31404958677686,21.27659574468085
2023,TE,Skill,SEC,78.625,264,11.0,83.75,4.64,31.0,21,122.0,6.75,4.08,1,29.908,93.511,90.791,87.647,45.406,0,0,Rounds 2-3,0,0.26156398253542734,10,22.727272727272727,21.27659574468085
2023,WR,Skill,SEC,73.75,220,10.375,75.75,4.46,39.5,22,129.0,6.96,4.29,1,12.342,68.271,72.487,57.125,45.454,0,0,Rounds 2-3,0,0.2615492075209134,10,23.140495867768596,21.27659574468085
2025,TE,Skill,SEC,76.125,239,10.125,83.0,4.65,38.0,33,124.0,7.22,4.4,1,14.834,76.206,60.762,80.864,51.02,0,0,Undrafted,0,0.26083218949404835,10,23.553719008264462,21.27659574468085
2025,EDGE,DL,SEC,76.25,243,9.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,23.933,85.057,77.281,79.955,59.628,1,0,Rounds 4-5,1,0.25995629389984415,11,23.96694214876033,23.404255319148938
2024,TE,Skill,Big 12,75.875,245,10.125,78.25,4.69,35.0,28,121.0,7.04,4.32,1,23.196,86.583,76.615,83.977,60.972,1,0,Rounds 4-5,1,0.2598591467000248,12,24.380165289256198,25.53191489361702
2025,EDGE,DL,Big 12,77.625,271,9.375,81.0,4.78,34.0,27,120.0,7.21,4.54,1,9.307,74.278,67.062,70.631,58.08,0,0,Undrafted,0,0.2598309558702646,12,24.793388429752067,25.53191489361702
2023,OT,OL,ACC,76.0,309,10.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,6.195,60.099,78.452,30.968,61.95,0,0,Rounds 6-7,0,0.25968670816509676,12,25.206611570247933,25.53191489361702
2024,CB,Secondary,SEC,71.5,186,8.875,73.75,4.52,37.0,15,126.0,6.62,4.12,1,24.777,87.417,88.149,74.455,48.128,1,0,Rounds 2-3,0,0.25899082976859555,12,25.6198347107438,25.53191489361702
2024,CB,Secondary,SEC,71.75,190,8.875,77.625,4.46,40.5,15,129.0,6.94,4.19,1,6.054,55.105,53.866,54.724,48.937,0,0,Rounds 6-7,0,0.25844708069429,12,26.033057851239672,25.53191489361702
2023,WR,Skill,FBS Independent,68.0,179,8.75,72.5,4.44,39.5,14,134.0,6.92,4.29,1,-3.902,44.748,35.822,54.191,53.85,0,0,Rounds 6-7,0,0.25781519449760243,12,26.446280991735538,25.53191489361702
