Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,CB,Secondary,Washington St.,Pac-12,69.75,184,9.125,30.25,72.375,4.54,34.5,18,125.0,7.05,4.32,1,1546,3.221,62.169,54.667,62.054,59.872,4.625,0,0,Rounds 4-5,1,0.4133146111322199,1,0.4132231404958678,2.127659574468085
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,4.6634,0,0,Rounds 4-5,1,0.39106486901708065,2,0.8264462809917356,4.25531914893617
2024,CB,Secondary,Missouri,SEC,71.375,179,8.625,31.0,74.625,4.44,33.5,15,123.0,6.94,4.58,1,1866,15.277,78.168,79.322,67.958,47.09,4.7362,0,0,Rounds 4-5,1,0.367876543738821,3,1.2396694214876034,6.382978723404255
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,5.037,0,0,Rounds 4-5,1,0.3678453718085427,4,1.6528925619834711,8.51063829787234
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,4.8828,1,0,Rounds 4-5,1,0.36706015461180325,5,2.066115702479339,10.638297872340425
2023,WR,Skill,Cincinnati,AAC,68.625,182,8.625,28.875,70.375,4.4,37.5,14,124.0,6.92,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,5.0689,0,0,Rounds 4-5,1,0.3616350652270775,6,2.479338842975207,12.76595744680851
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,31.875,77.5,4.69,35.0,26,118.0,7.15,4.39,1,1742,12.036,70.585,65.506,67.645,49.236,4.9273,0,0,Rounds 4-5,1,0.36081486662755635,7,2.8925619834710745,14.893617021276595
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,29.75,72.625,4.41,43.0,15,123.2,6.9,4.03,1,1557,5.283,53.294,60.369,50.721,32.002,4.7362,0,0,Rounds 4-5,1,0.3504972718646798,8,3.3057851239669422,17.02127659574468
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,29.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,4.9836,0,0,Rounds 4-5,1,0.34539782475109443,9,3.71900826446281,19.148936170212767
2023,LB,LB,Pittsburgh,ACC,72.5,226,10.625,32.875,78.875,4.56,33.0,19,119.0,7.35,4.4,1,1687,7.918,61.732,46.268,72.6,50.534,4.6634,0,0,Rounds 4-5,1,0.3443346825814915,10,4.132231404958678,21.27659574468085
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,76.625,4.52,36.0,15,131.0,6.51,4.27,1,1237,-3.917,38.149,36.614,44.176,50.17,4.625,0,0,Rounds 4-5,1,0.32080127351883403,11,4.545454545454546,23.404255319148938
2025,LB,LB,Florida,SEC,73.0,222,8.5,31.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,1767,11.901,71.717,58.466,70.419,67.15,4.6728,0,0,Rounds 4-5,1,0.30932247495047593,12,4.958677685950414,25.53191489361702
2023,CB,Secondary,Miami,ACC,72.0,198,9.625,32.625,77.625,4.45,38.5,12,125.0,7.09,4.41,1,1316,-0.466,39.09,36.049,46.919,51.41,5.3132,0,0,Rounds 2-3,0,0.30931955438394,12,5.371900826446281,25.53191489361702
2025,CB,Secondary,California,ACC,70.75,189,8.75,29.625,75.0,4.45,37.75,11,122.3,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,4.3307,0,0,Rounds 6-7,0,0.3003653245596033,12,5.785123966942149,25.53191489361702
2025,LB,LB,California,ACC,73.875,233,9.375,31.375,75.375,4.6,40.0,26,125.0,7.28,4.03,1,1529,4.302,57.687,45.477,64.264,58.117,4.8675,0,0,Rounds 4-5,1,0.29995079918740614,13,6.198347107438017,27.659574468085108
2024,CB,Secondary,South Dakota,MVFC,70.875,195,9.375,29.875,74.0,4.5,35.5,13,118.0,6.88,3.98,1,1729,10.639,66.998,59.904,66.911,53.148,3.4657,0,0,Rounds 6-7,0,0.29952379962076064,13,6.6115702479338845,27.659574468085108
