Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2024,LB,LB,Penn St.,Big Ten,73.375,241,10.25,31.5,77.75,4.58,35.0,18,124.0,7.45,4.74,1,2000,25.618,85.731,66.931,89.424,64.921,0.0,1,0,Undrafted,0,0.21674214974883876,56,38.01652892561984,96.55172413793103
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,29.75,72.625,4.41,43.0,15,123.2,6.9,4.03,1,1557,5.283,53.294,60.369,50.721,32.002,4.7362,0,0,Rounds 4-5,0,0.21672368050523333,56,38.429752066115704,96.55172413793103
2023,CB,Secondary,Coastal Carolina,Sun Belt,74.0,200,9.75,32.375,78.125,4.48,37.0,13,124.0,6.83,4.3,1,1344,-6.531,40.095,54.955,32.539,40.387,0.0,0,0,Undrafted,0,0.21605393270547119,56,38.84297520661157,96.55172413793103
2025,LB,LB,Florida,SEC,73.0,222,8.5,31.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,1767,11.901,71.717,58.466,70.419,67.15,4.6728,0,0,Rounds 4-5,0,0.21579924248177718,56,39.25619834710744,96.55172413793103
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,1496,2.602,50.555,55.402,46.067,47.749,0.0,0,0,Undrafted,0,0.21490609780074843,56,39.66942148760331,96.55172413793103
2024,IOL,OL,Arkansas,SEC,77.25,304,9.5,32.75,77.875,5.31,29.0,26,110.0,7.57,4.47,1,1431,2.225,47.846,34.458,61.741,53.372,0.0,0,0,Undrafted,0,0.21417304039471022,56,40.082644628099175,96.55172413793103
2024,LB,LB,North Carolina St.,ACC,75.875,233,9.0,30.5,75.75,4.43,34.5,18,119.0,7.29,4.43,1,1660,6.943,65.952,47.142,75.741,57.991,5.0814,0,1,Rounds 4-5,0,0.21377499070851952,56,40.49586776859504,96.55172413793103
2023,IOL,OL,Clemson,ACC,74.25,303,9.5,34.0,81.0,4.99,28.5,20,108.0,7.7,4.81,1,1843,17.553,74.958,64.744,77.07,48.641,4.6347,0,0,Rounds 4-5,0,0.21366810363722544,56,40.909090909090914,96.55172413793103
2023,LB,LB,Pittsburgh,ACC,72.5,226,10.625,32.875,78.875,4.56,33.0,19,119.0,7.35,4.4,1,1687,7.918,61.732,46.268,72.6,50.534,4.6634,0,0,Rounds 4-5,0,0.21347559666108457,56,41.32231404958678,96.55172413793103
2024,C,OL,Michigan,Big Ten,73.5,298,9.0,33.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,2210,27.625,94.395,88.226,91.352,54.858,0.0,0,0,Undrafted,0,0.2131386438590719,56,41.735537190082646,96.55172413793103
2025,EDGE,DL,Central Arkansas,UAC,72.875,263,9.25,31.875,77.5,4.69,35.0,26,118.0,7.15,4.39,1,1742,12.036,70.585,65.506,67.645,49.236,4.9273,0,0,Rounds 4-5,0,0.21128555117722037,56,42.14876033057851,96.55172413793103
2024,P,Special Teams,BYU,Big 12,76.375,235,8.875,31.25,76.375,4.63,35.5,19,123.0,7.05,4.31,0,1364,-1.805,52.478,36.286,62.31,60.603,0.0,0,0,Undrafted,0,0.21127078829115037,56,42.561983471074385,96.55172413793103
2025,WR,Skill,Arizona,Big 12,76.125,219,10.0,31.5,77.875,4.68,32.15,15,121.5,6.94,4.19,0,1307,-3.385,38.477,43.057,38.791,48.852,5.5255,0,1,Round 1,0,0.21117553063309222,56,42.97520661157025,96.55172413793103
2025,IOL,OL,Clemson,ACC,77.25,321,9.0,32.625,80.875,5.45,24.5,11,113.3,6.77,4.03,0,1807,14.768,79.193,79.078,73.333,36.319,0.0,0,0,Undrafted,0,0.21031228766148646,56,43.388429752066116,96.55172413793103
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,29.75,73.875,4.65,39.5,17,123.0,7.37,4.97,1,1801,11.793,78.233,79.692,66.688,47.348,5.037,0,0,Rounds 4-5,0,0.2102497396320216,56,43.80165289256198,96.55172413793103
2025,IOL,OL,Georgia,SEC,78.5,308,10.375,32.25,79.25,4.97,32.0,11,113.0,7.38,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,5.3083,1,0,Rounds 2-3,0,0.20967006642151398,56,44.214876033057855,96.55172413793103
2023,CB,Secondary,Miami,ACC,72.0,198,9.625,32.625,77.625,4.45,38.5,12,125.0,7.09,4.41,1,1316,-0.466,39.09,36.049,46.919,51.41,5.3132,0,0,Rounds 2-3,0,0.20930754134823573,56,44.62809917355372,96.55172413793103
2024,IOL,OL,Texas A&M,SEC,75.5,302,10.5,34.625,81.5,5.13,26.5,27,111.0,7.67,4.58,1,1772,15.36,75.057,65.814,76.34,50.751,5.0499,0,0,Rounds 4-5,0,0.20883932055122117,56,45.04132231404959,96.55172413793103
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0.0,0,0,Undrafted,0,0.20865587425310428,56,45.45454545454545,96.55172413793103
2025,WR,Skill,Tennessee,SEC,76.625,205,9.5,32.125,79.0,4.3,33.0,20,126.0,7.05,4.03,1,1915,20.786,83.706,67.16,87.119,52.677,5.0173,0,0,Rounds 4-5,0,0.20805223354665803,56,45.867768595041326,96.55172413793103
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,83.875,5.31,23.5,20,101.0,7.99,4.81,1,1581,7.555,60.994,69.396,49.078,49.533,5.2983,0,0,Rounds 2-3,0,0.20732981107997242,56,46.28099173553719,96.55172413793103
2025,TE,Skill,Texas,SEC,77.0,241,9.75,32.625,79.5,4.84,30.0,33,129.3,7.15,4.4,1,2042,26.107,88.25,73.85,92.32,35.538,4.9345,0,0,Rounds 4-5,0,0.20730823619041042,56,46.69421487603306,96.55172413793103
2024,CB,Secondary,Washington St.,Pac-12,69.75,184,9.125,30.25,72.375,4.54,34.5,18,125.0,7.05,4.32,1,1546,3.221,62.169,54.667,62.054,59.872,4.625,0,0,Rounds 4-5,0,0.20669197758513153,56,47.107438016528924,96.55172413793103
2023,WR,Skill,Cincinnati,AAC,68.625,182,8.625,28.875,70.375,4.4,37.5,14,124.0,6.92,4.29,1,1690,6.451,60.989,44.607,64.989,69.829,5.0689,0,0,Rounds 4-5,0,0.20650736751108903,56,47.5206611570248,96.55172413793103
2025,RB,Skill,South Carolina,SEC,72.0,217,9.25,31.5,76.25,4.46,36.5,33,117.1,7.28,4.03,1,1810,14.834,76.206,60.762,80.864,51.02,0.0,0,0,Undrafted,0,0.2058434986567888,56,47.93388429752066,96.55172413793103
2024,C,OL,Oklahoma,Big 12,76.0,314,10.0,32.5,78.75,5.42,24.5,24,95.0,7.41,4.33,1,1930,22.492,84.142,84.36,76.697,33.868,0.0,0,0,Undrafted,0,0.20571233929274432,56,48.34710743801653,96.55172413793103
2023,IOL,OL,Duluth/University of Minnesota,NSIC,76.0,304,9.75,32.375,78.75,5.2,29.0,20,109.0,7.77,4.75,0,1819,14.599,74.563,74.162,65.921,50.606,0.0,0,0,Undrafted,0,0.20476122563366964,56,48.760330578512395,96.55172413793103
2025,DL,DL,Ohio State,Big Ten,74.875,299,10.125,32.25,78.625,4.28,24.5,33,93.0,8.19,4.97,0,2211,24.823,87.333,80.443,83.601,49.523,4.7095,1,0,Rounds 4-5,0,0.20412473163888925,56,49.17355371900827,96.55172413793103
2023,EDGE,DL,Georgia,SEC,75.75,247,10.125,34.625,82.25,4.48,30.0,23,123.0,7.35,4.45,1,2300,29.908,93.511,90.791,87.647,45.406,4.4543,0,0,Rounds 6-7,1,0.20350814139338408,57,49.586776859504134,98.27586206896551
2025,WR,Skill,Tennessee,SEC,74.5,209,10.0,32.125,78.5,4.33,42.99,14,123.6,6.65,4.03,0,1915,20.786,83.706,67.16,87.119,52.677,0.0,0,0,Undrafted,0,0.20276326567893696,57,50.0,98.27586206896551
2023,TE,Skill,Wake Forest,ACC,75.75,247,8.75,32.125,79.375,4.7,35.5,20,115.0,7.42,4.3,1,1663,7.586,64.28,73.512,49.277,46.02,0.0,0,0,Undrafted,0,0.20272515696295548,57,50.413223140495866,98.27586206896551
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,82.75,4.28,35.5,22,119.0,6.94,4.19,1,1513,4.829,61.35,56.657,64.403,40.228,5.3706,0,0,Rounds 2-3,0,0.2024738735846436,57,50.82644628099173,98.27586206896551
2025,LB,LB,Indiana,Big Ten,72.625,218,9.534,31.626,79.875,4.38,35.0,11,127.0,7.24,4.03,1,1951,18.73,83.71,85.132,72.021,40.91,0.0,1,0,Undrafted,0,0.2019417767677884,57,51.2396694214876,98.27586206896551
2025,WR,Skill,Oregon,Big Ten,74.125,205,9.75,31.5,78.5,4.57,32.0,12,123.0,7.04,4.54,1,2040,21.125,85.854,85.403,73.779,53.859,0.0,1,0,Undrafted,0,0.20152879781886607,57,51.652892561983464,98.27586206896551
2023,CB,Secondary,Iowa,Big Ten,72.0,205,9.25,31.875,77.125,4.62,35.5,18,118.0,6.99,4.17,1,1748,7.409,67.111,21.369,88.288,70.495,0.0,0,0,Undrafted,0,0.2010971328964514,57,52.066115702479344,98.27586206896551
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,78.375,5.06,30.0,12,114.0,7.27,4.46,1,1551,6.904,61.732,66.565,49.575,55.483,0.0,0,0,Undrafted,0,0.19992309720431306,57,52.47933884297521,98.27586206896551
2023,CB,Secondary,Penn St.,Big Ten,71.375,203,10.125,31.25,75.75,4.65,32.5,18,119.0,7.03,4.21,1,2000,19.477,82.964,71.335,83.462,50.595,5.1475,0,0,Rounds 2-3,0,0.19924024924036493,57,52.892561983471076,98.27586206896551
2024,IOL,OL,Liberty,Conference USA,75.25,322,10.25,33.25,81.125,5.5,24.0,26,96.0,8.26,4.97,1,1609,3.816,67.732,83.531,42.547,34.869,0.0,0,0,Undrafted,0,0.1990885311250566,57,53.30578512396694,98.27586206896551
2025,LB,LB,Utah,Big 12,134.75,231,10.067,31.482,74.5,4.68,29.53,11,123.3,7.09,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0.0,0,0,Undrafted,0,0.19907008804248566,57,53.71900826446281,98.27586206896551
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,74.75,4.37,38.0,20,126.0,7.33,4.77,1,1509,1.775,54.675,70.734,39.058,37.309,0.0,0,0,Undrafted,0,0.19901192871887968,57,54.132231404958674,98.27586206896551
2025,WR,Skill,Iowa State,Big 12,76.125,214,9.125,33.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,1675,10.15,66.812,63.385,63.427,52.51,5.4161,0,0,Rounds 2-3,0,0.19853230696608873,57,54.54545454545454,98.27586206896551
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0.0,0,0,Undrafted,0,0.19822359163415565,57,54.958677685950406,98.27586206896551
2024,S,Secondary,Texas Tech,Big 12,74.375,216,9.125,33.375,79.125,4.51,41.0,24,146.0,6.81,4.04,1,1562,6.237,62.556,51.102,66.311,59.243,0.0,0,0,Undrafted,0,0.19812411507929906,57,55.371900826446286,98.27586206896551
2023,WR,Skill,North Carolina,ACC,69.0,179,9.25,30.375,73.375,4.48,38.5,13,131.0,6.91,4.29,1,1559,6.195,60.099,78.452,30.968,61.95,5.193,0,0,Rounds 2-3,0,0.1980835947809819,57,55.78512396694215,98.27586206896551
2025,WR,Skill,Ole Miss,SEC,71.25,196,9.125,29.375,72.5,4.37,36.5,14,119.0,6.65,4.36,1,2007,20.608,84.235,76.596,81.866,47.73,4.7958,1,0,Rounds 4-5,0,0.19718823642141878,57,56.19834710743802,98.27586206896551
2024,CB,Secondary,Notre Dame,FBS Independent,75.0,202,9.375,33.0,78.875,4.5,39.5,11,130.0,7.12,4.24,1,2077,20.776,83.947,78.304,77.941,57.082,4.7791,1,0,Rounds 4-5,0,0.1958598251634375,57,56.611570247933884,98.27586206896551
2023,CB,Secondary,Michigan,Big Ten,71.25,178,9.625,30.75,73.375,4.26,38.5,12,131.0,6.51,4.28,1,2124,23.62,85.085,79.485,79.2,57.128,5.2933,1,0,Rounds 2-3,0,0.1953767148490918,57,57.02479338842975,98.27586206896551
2025,RB,Skill,Georgia,SEC,68.75,198,9.5,29.25,70.5,4.42,35.0,15,124.0,6.65,4.03,1,1998,22.091,82.861,79.935,73.308,59.572,4.9767,1,0,Rounds 4-5,0,0.19521668219770094,57,57.438016528925615,98.27586206896551
2024,S,Secondary,Ohio St.,Big Ten,73.5,199,8.75,32.0,78.0,4.55,32.5,13,121.0,7.03,5.07,1,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,Undrafted,0,0.19427043932696683,57,57.85123966942148,98.27586206896551
2025,WR,Skill,Virginia Tech,ACC,76.25,213,9.0,32.25,79.125,4.5,32.5,18,122.0,7.1,4.3,1,1647,8.853,70.514,55.299,74.421,59.153,0.0,0,0,Undrafted,0,0.19379859519838596,57,58.26446280991735,98.27586206896551
2024,RB,Skill,Georgia,SEC,69.625,207,9.5,29.75,73.0,4.56,32.5,22,114.0,6.95,4.24,1,2273,24.777,87.417,88.149,74.455,48.128,0.0,1,0,Undrafted,0,0.1937166166694883,57,58.67768595041323,98.27586206896551
2023,DL,DL,Mississippi St.,SEC,75.0,304,10.0,34.5,82.0,5.1,29.5,24,109.0,7.6,4.79,1,1694,13.237,75.362,59.938,76.598,66.986,4.9127,0,0,Rounds 4-5,0,0.1934926272292668,57,59.09090909090909,98.27586206896551
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,84.0,4.99,34.0,30,114.0,7.58,4.54,1,1631,9.511,59.244,64.411,51.426,45.245,5.2575,0,0,Rounds 2-3,0,0.19339210294968448,57,59.50413223140496,98.27586206896551
2023,CB,Secondary,Notre Dame,FBS Independent,72.375,202,9.0,30.875,74.75,4.62,30.5,17,118.0,7.08,4.23,1,1850,12.6,69.601,59.985,66.897,66.833,0.0,0,0,Undrafted,0,0.1924455840507907,57,59.917355371900825,98.27586206896551
2025,OT,OL,Boston College,ACC,80.125,316,10.375,33.0,81.0,5.21,24.5,22,106.0,7.71,4.7,1,1513,4.829,61.35,56.657,64.403,40.228,5.3132,0,0,Rounds 2-3,0,0.19165856602941064,57,60.33057851239669,98.27586206896551
2025,CB,Secondary,Villanova,CAA,73.25,209,9.5,31.625,78.125,4.56,32.92,11,124.0,6.65,4.97,1,1715,10.737,66.313,60.06,66.447,50.291,0.0,0,0,Undrafted,0,0.19115598280398466,57,60.74380165289256,98.27586206896551
2023,C,OL,Penn St.,Big Ten,75.25,301,10.25,33.25,81.75,5.22,32.0,20,102.0,7.75,4.82,1,2000,19.477,82.964,71.335,83.462,50.595,5.2832,0,0,Rounds 2-3,0,0.1910034167698319,57,61.15702479338842,98.27586206896551
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,30.5,74.75,4.46,38.0,18,130.0,6.75,4.4,1,1496,2.602,50.555,55.402,46.067,47.749,5.4681,0,0,Round 1,0,0.19018724090455885,57,61.57024793388429,98.27586206896551
2025,DL,DL,Alabama,SEC,76.375,302,10.375,33.0,81.625,4.28,24.5,33,138.0,6.65,4.6,0,1986,23.933,85.057,77.281,79.955,59.628,4.2341,1,0,Rounds 6-7,1,0.18946733294135493,58,61.98347107438017,100.0
2023,DL,DL,Florida,SEC,77.625,310,9.5,32.25,80.875,4.88,31.0,22,110.0,7.5,4.73,1,1581,7.555,60.994,69.396,49.078,49.533,5.3279,0,0,Rounds 2-3,0,0.18877192481408064,58,62.396694214876035,100.0
2024,LB,LB,Missouri,SEC,73.75,231,8.875,31.375,77.75,4.62,34.0,18,118.0,7.23,4.5,0,1866,15.277,78.168,79.322,67.958,47.09,5.124,0,0,Rounds 2-3,0,0.18872684814415436,58,62.8099173553719,100.0
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,32.375,77.625,4.34,39.5,19,136.0,6.84,4.11,1,2025,23.196,86.583,76.615,83.977,60.972,5.3327,1,0,Rounds 2-3,0,0.18833070509136715,58,63.22314049586777,100.0
2024,TE,Skill,Colorado St.,Mountain West,75.375,241,10.25,33.625,78.125,4.78,32.5,28,122.0,6.83,4.21,1,1276,-11.774,30.563,28.491,37.664,56.051,0.0,0,0,Undrafted,0,0.18797234836107563,58,63.63636363636363,100.0
2025,RB,Skill,Ohio State,Big Ten,70.125,202,9.5,30.625,76.125,4.43,38.5,11,128.0,6.65,4.97,1,2211,24.823,87.333,80.443,83.601,49.523,5.3982,1,0,Rounds 2-3,0,0.18756788013641812,58,64.0495867768595,100.0
2023,IOL,OL,Tennessee-Chattanooga,SoCon,78.0,324,10.25,35.0,83.875,5.24,26.5,20,105.0,7.7,4.97,1,1738,11.336,69.68,68.952,64.29,44.371,0.0,0,0,Undrafted,0,0.18742147090057223,58,64.46280991735537,100.0
2024,S,Secondary,Minnesota,Big Ten,73.25,199,9.0,32.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,1488,-0.564,45.156,45.237,46.429,51.196,5.3566,0,1,Rounds 2-3,0,0.18740441987803227,58,64.87603305785123,100.0
2024,OT,OL,Notre Dame,FBS Independent,77.75,310,10.0,34.375,83.0,5.2,28.0,28,114.0,7.76,4.73,1,2077,20.776,83.947,78.304,77.941,57.082,5.2983,1,0,Rounds 2-3,0,0.18676890449785463,58,65.28925619834712,100.0
2023,K,Special Teams,Georgia,SEC,72.0,194,9.125,29.625,74.375,4.58,34.0,20,121.0,7.27,4.44,0,2300,29.908,93.511,90.791,87.647,45.406,0.0,0,0,Undrafted,0,0.1865831090219772,58,65.70247933884298,100.0
2023,LB,LB,Texas,Big 12,74.625,229,9.5,32.25,78.125,4.56,34.0,15,124.0,6.62,4.33,1,1900,19.379,79.1,73.758,70.57,66.449,5.1299,1,0,Rounds 2-3,0,0.1850117401125147,58,66.11570247933885,100.0
2023,CB,Secondary,Georgia,SEC,73.75,207,8.5,31.25,74.125,4.36,33.5,15,122.0,6.89,4.3,1,2300,29.908,93.511,90.791,87.647,45.406,5.037,0,0,Rounds 4-5,0,0.18357911310217662,58,66.52892561983471,100.0
2025,WR,Skill,San Jose St.,Mountain West,74.5,203,8.625,31.0,76.5,4.57,34.0,16,123.0,7.41,4.47,1,1477,-5.133,42.709,44.903,47.684,35.133,0.0,0,0,Undrafted,0,0.18344719219936323,58,66.94214876033058,100.0
2024,LB,LB,Washington,Pac-12,72.5,236,9.25,32.875,79.625,4.56,39.5,18,128.0,7.32,5.27,1,1879,17.544,82.666,86.101,64.802,60.593,4.5951,0,0,Rounds 4-5,0,0.18332109330034058,58,67.35537190082644,100.0
2023,TE,Skill,Georgia,SEC,78.625,264,11.0,34.375,83.75,4.64,31.0,21,122.0,6.75,4.08,1,2300,29.908,93.511,90.791,87.647,45.406,5.112,0,0,Rounds 2-3,0,0.1825829111839581,58,67.76859504132231,100.0
2024,WR,Skill,Mississippi St.,SEC,70.0,181,9.125,30.625,72.75,4.43,35.5,14,124.0,7.0,4.35,1,1421,0.859,45.573,31.326,62.302,47.192,0.0,0,0,Undrafted,0,0.18217285129568983,58,68.18181818181817,100.0
2024,RB,Skill,Ohio St.,Big Ten,68.5,229,9.0,28.625,69.625,4.56,36.0,22,119.0,7.25,4.26,0,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,Undrafted,0,0.18137750438885109,58,68.59504132231406,100.0
2023,IOL,OL,Washington,Pac-12,77.75,306,10.75,34.0,81.125,5.5,28.0,20,101.0,8.34,4.97,1,1760,11.472,73.944,84.016,49.984,45.242,0.0,1,0,Undrafted,0,0.18092030487084085,58,69.00826446280992,100.0
2024,IOL,OL,Maryland,Big Ten,76.125,308,9.875,33.0,80.625,5.01,26.5,28,112.0,7.64,4.61,1,1695,8.085,66.299,64.78,61.709,49.654,0.0,0,0,Undrafted,0,0.18062461883060266,58,69.42148760330579,100.0
2025,DL,DL,Kentucky,SEC,79.375,331,10.5,34.25,84.125,5.45,25.0,33,104.0,6.65,4.03,1,1498,4.707,54.684,41.39,62.472,62.769,5.0106,0,1,Rounds 4-5,0,0.17976111434170935,58,69.83471074380165,100.0
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,29.875,70.75,4.61,33.5,22,116.0,6.87,4.23,1,1631,9.511,59.244,64.411,51.426,45.245,0.0,0,0,Undrafted,0,0.17975892060893653,58,70.24793388429752,100.0
2025,WR,Skill,Georgia,SEC,72.125,179,9.0,31.25,77.0,4.36,38.0,20,127.0,6.82,4.19,1,1998,22.091,82.861,79.935,73.308,59.572,5.0039,1,0,Rounds 4-5,0,0.17893658416949793,58,70.66115702479338,100.0
2023,EDGE,DL,North Carolina,ACC,76.0,238,8.625,32.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,1559,6.195,60.099,78.452,30.968,61.95,0.0,0,0,Undrafted,0,0.17890748447144578,58,71.07438016528926,100.0
2023,CB,Secondary,Utah,Pac-12,69.0,184,9.125,29.125,70.375,4.51,33.0,18,133.0,6.51,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,4.9836,0,0,Rounds 4-5,0,0.17853060386101977,58,71.48760330578511,100.0
2024,CB,Secondary,Mississippi,SEC,72.0,183,8.5,30.75,73.75,4.38,34.5,15,125.0,6.94,4.55,1,1737,15.302,75.391,76.693,64.536,49.591,4.6634,0,0,Rounds 4-5,0,0.17750928333700863,58,71.900826446281,100.0
2025,TE,Skill,South Carolina,SEC,76.125,239,10.125,33.75,83.0,4.65,38.0,33,124.0,7.22,4.4,1,1810,14.834,76.206,60.762,80.864,51.02,0.0,0,0,Undrafted,0,0.17719957161857602,58,72.31404958677686,100.0
2024,OT,OL,Penn St.,Big Ten,76.875,314,10.75,34.0,82.625,5.15,31.0,30,116.0,7.92,4.64,1,2000,25.618,85.731,66.931,89.424,64.921,5.2523,1,0,Rounds 2-3,0,0.17666260497001465,58,72.72727272727273,100.0
2025,WR,Skill,Texas Tech,Big 12,72.625,186,10.5,30.75,76.625,4.7,33.0,14,121.0,7.02,4.97,1,1607,6.204,57.272,59.502,48.684,59.274,0.0,1,0,Undrafted,0,0.1765784911469371,58,73.14049586776859,100.0
2025,WR,Skill,Missouri,SEC,75.0,200,9.5,32.125,78.375,4.56,31.0,17,117.0,6.84,4.03,1,1711,12.197,68.028,61.356,72.874,37.108,0.0,0,0,Undrafted,0,0.1763502440500524,58,73.55371900826447,100.0
2023,TE,Skill,Alabama,SEC,76.0,242,9.5,32.375,79.125,4.67,35.5,21,120.0,7.36,4.32,0,2181,27.296,89.526,85.539,81.093,61.676,5.0626,1,0,Rounds 4-5,0,0.17623844980365364,58,73.96694214876032,100.0
2025,WR,Skill,Missouri,SEC,72.0,206,8.5,31.25,76.5,4.41,29.17,12,115.9,7.33,4.11,1,1711,12.197,68.028,61.356,72.874,37.108,5.3936,0,1,Rounds 2-3,0,0.1759407081769948,58,74.3801652892562,100.0
2025,EDGE,DL,Ole Miss,SEC,77.875,274,9.125,33.5,82.75,5.45,24.5,30,138.0,8.19,4.97,0,2007,20.608,84.235,76.596,81.866,47.73,0.0,1,0,Undrafted,0,0.17590718234971256,58,74.79338842975206,100.0
2025,EDGE,DL,Alabama,SEC,76.25,243,9.5,33.5,80.125,5.05,43.0,23,138.0,8.19,4.97,0,1986,23.933,85.057,77.281,79.955,59.628,4.8283,1,0,Rounds 4-5,0,0.17422795582960934,58,75.20661157024794,100.0
2023,WR,Skill,Mississippi,SEC,73.75,220,10.375,32.125,75.75,4.46,39.5,22,129.0,6.96,4.29,1,1634,12.342,68.271,72.487,57.125,45.454,5.3936,0,0,Rounds 2-3,0,0.17382965937317876,58,75.6198347107438,100.0
2025,S,Secondary,Texas,SEC,71.25,186,9.0,30.0,75.375,4.45,40.36,17,121.4,6.65,4.03,1,2042,26.107,88.25,73.85,92.32,35.538,5.273,0,0,Rounds 2-3,0,0.17381505851271167,58,76.03305785123968,100.0
2024,LB,LB,Michigan,Big Ten,74.25,238,9.375,32.5,77.5,4.62,34.5,18,119.0,7.4,4.38,0,2210,27.625,94.395,88.226,91.352,54.858,5.247,0,0,Rounds 2-3,0,0.17370900304703465,58,76.44628099173553,100.0
2023,WR,Skill,Fresno St.,Mountain West,71.125,172,8.875,30.125,74.75,4.4,34.5,12,121.0,6.91,4.29,1,1766,3.726,61.671,58.399,57.283,60.117,0.0,0,0,Undrafted,0,0.1733904217118467,58,76.85950413223141,100.0
2023,RB,Skill,USC,Pac-12,70.0,201,9.25,27.125,70.25,4.46,35.5,20,122.0,7.16,4.61,0,1745,13.164,77.414,90.693,44.38,43.862,0.0,0,0,Undrafted,0,0.17323846796013007,58,77.27272727272727,100.0
2023,RB,Skill,TCU,Big 12,71.0,215,9.375,32.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,1729,14.378,80.5,80.39,69.518,54.974,5.2364,0,0,Rounds 2-3,0,0.1722756419415748,58,77.68595041322314,100.0
2025,DL,DL,Texas,SEC,77.625,332,10.0,34.5,85.0,4.28,26.0,11,96.0,6.65,4.97,1,2042,26.107,88.25,73.85,92.32,35.538,5.3753,0,0,Rounds 2-3,0,0.17183129267250796,58,78.099173553719,100.0
2024,TE,Skill,South Carolina,SEC,75.0,240,9.375,34.25,78.75,4.64,32.5,28,121.0,7.09,4.54,1,1594,6.054,55.105,53.866,54.724,48.937,0.0,0,0,Undrafted,0,0.16908725081975662,58,78.51239669421489,100.0
2024,OT,OL,Arizona,Pac-12,77.0,311,10.875,32.875,81.375,5.04,28.0,27,110.0,8.02,4.72,1,1822,11.44,73.172,77.614,56.651,58.122,5.4553,0,0,Round 1,0,0.16904507599298635,58,78.92561983471074,100.0
2025,CB,Secondary,Iowa State,Big 12,74.875,195,9.0,31.125,80.0,4.3,36.5,11,131.0,6.71,4.04,1,1675,10.15,66.812,63.385,63.427,52.51,5.2523,0,0,Rounds 2-3,0,0.1686693922806834,58,79.33884297520662,100.0
2023,EDGE,DL,Oregon,Pac-12,76.0,260,9.0,33.25,80.125,4.49,32.0,28,110.0,7.37,4.44,1,1724,14.225,78.17,81.614,63.631,42.699,5.1874,0,0,Rounds 2-3,0,0.16798246768902594,58,79.75206611570248,100.0
2024,QB,Skill,Michigan,Big Ten,74.5,219,9.0,31.625,75.875,4.81,32.5,17,114.0,6.82,4.23,1,2210,27.625,94.395,88.226,91.352,54.858,5.5175,0,0,Round 1,0,0.1670005877917424,58,80.16528925619835,100.0
2023,RB,Skill,Utah,Pac-12,72.375,237,9.25,31.125,76.0,4.74,30.0,20,118.0,6.84,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,0.0,0,0,Undrafted,0,0.16611551410665532,58,80.57851239669421,100.0
2024,CB,Secondary,Georgia,SEC,71.5,186,8.875,30.875,73.75,4.52,37.0,15,126.0,6.62,4.12,1,2273,24.777,87.417,88.149,74.455,48.128,5.3799,1,0,Rounds 2-3,0,0.16409738675463623,58,80.99173553719008,100.0
2024,CB,Secondary,Missouri,SEC,71.375,179,8.625,31.0,74.625,4.44,33.5,15,123.0,6.94,4.58,1,1866,15.277,78.168,79.322,67.958,47.09,4.7362,0,0,Rounds 4-5,0,0.1621930935337976,58,81.40495867768594,100.0
