Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,LB,LB,AAC,70.5,231,9.5,72.0,4.55,33.5,22,119.0,7.44,4.41,0,6.451,60.989,0,1,Undrafted,0,0.31818214017297053,0,0.4132231404958678,0.0
2025,CB,Secondary,Big 12,72.375,188,9.125,76.875,4.43,43.0,12,105.0,8.19,4.94,0,12.691,74.938,0,1,Round 1,0,0.3181272072524647,0,0.8264462809917356,0.0
2025,LB,LB,SEC,73.0,243,10.25,79.875,4.75,24.5,11,115.3,6.88,4.03,0,22.091,82.861,1,1,Round 1,0,0.3181252139280826,0,1.2396694214876034,0.0
2025,DL,DL,SEC,79.375,331,10.5,84.125,5.45,25.0,33,104.0,6.65,4.03,1,4.707,54.684,0,1,Rounds 4-5,0,0.3177977028569568,0,1.6528925619834711,0.0
2024,OT,OL,Big Ten,76.875,314,10.75,82.625,5.15,31.0,30,116.0,7.92,4.64,1,25.618,85.731,1,0,Rounds 2-3,1,0.3162201849414451,1,2.066115702479339,2.127659574468085
2025,DL,DL,SEC,76.375,302,10.375,81.625,4.28,24.5,33,138.0,6.65,4.6,0,23.933,85.057,1,0,Rounds 6-7,0,0.31444263697926,1,2.479338842975207,2.127659574468085
2024,S,Secondary,Big Ten,73.25,199,9.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,-0.564,45.156,0,1,Rounds 2-3,1,0.31410147371905867,2,2.8925619834710745,4.25531914893617
2025,WR,Skill,SEC,72.0,206,8.5,76.5,4.41,29.17,12,115.9,7.33,4.11,1,12.197,68.028,0,1,Rounds 2-3,1,0.3139368219849615,3,3.3057851239669422,6.382978723404255
2024,LB,LB,ACC,75.875,233,9.0,75.75,4.43,34.5,18,119.0,7.29,4.43,1,6.943,65.952,0,1,Rounds 4-5,0,0.3122791369083967,3,3.71900826446281,6.382978723404255
2025,DL,DL,SEC,75.125,290,10.25,81.125,5.45,43.0,33,138.0,6.65,4.97,0,14.297,76.763,1,0,Rounds 2-3,1,0.3120451734449381,4,4.132231404958678,8.51063829787234
