Position Group,Rows,CV Accuracy Mean,CV Accuracy Std,Test Accuracy,Average Ordinal Error
Skill,325,0.24923076923076928,0.029831876045638948,0.25609756097560976,1.0731707317073171
Secondary,182,0.307957957957958,0.0846058457798935,0.30434782608695654,0.9347826086956522
DL,191,0.32995951417004055,0.022468723766010695,0.1875,1.375
OL,171,0.28739495798319326,0.07462449840098598,0.2558139534883721,1.1627906976744187
LB,78,0.3461538461538462,0.11322770341445956,0.25,1.2
