Position Group,Rows,CV Accuracy Mean,CV Accuracy Std,Test Accuracy,Average Ordinal Error
Skill,325,0.24615384615384617,0.04011816864740092,0.25609756097560976,1.0365853658536586
Secondary,182,0.2741741741741742,0.05971258342800682,0.21739130434782608,1.0434782608695652
DL,191,0.29311740890688254,0.0604501029932319,0.2708333333333333,1.25
OL,171,0.25193277310924367,0.05598278710916791,0.2558139534883721,1.0930232558139534
LB,78,0.3205128205128205,0.0725237724293895,0.3,1.1
