Position,Metric,Drafted Mean,Undrafted Mean,Difference
C,Height (inches),75.80729166666667,75.69444444444444,0.11284722222222854
C,Weight(lbs),307.25,304.1111111111111,3.138888888888914
C,Hand (inches),9.864583333333334,9.555555555555555,0.30902777777777857
C,Wingspan (inches),78.859375,78.65277777777777,0.20659722222222854
C,40-Yard Dash (seconds),5.154166666666666,5.092222222222222,0.06194444444444347
C,Vertical (inches),30.604166666666668,30.11111111111111,0.49305555555555713
C,Bench (reps),23.791666666666668,25.444444444444443,-1.652777777777775
C,Broad Jump (inches),107.25,106.0,1.25
C,3-Cone (seconds),7.573333333333333,7.585555555555555,-0.012222222222221468
C,Shuttle (seconds),4.332916666666667,4.664444444444445,-0.33152777777777853
C,FPI,12.171375,17.99222222222222,-5.820847222222222
C,Efficiencies Overall,69.738375,77.90199999999999,-8.163624999999982
C,CFP Appearance,0.20833333333333334,0.1111111111111111,0.09722222222222224
C,National Award,0.08333333333333333,0.0,0.08333333333333333
CB,Height (inches),72.064609375,72.46153846153847,-0.3969290865384636
CB,Weight(lbs),191.6875,193.43589743589743,-1.7483974358974308
CB,Hand (inches),9.1343359375,9.096538461538461,0.03779747596153804
CB,Wingspan (inches),76.01,76.27089743589745,-0.26089743589744785
CB,40-Yard Dash (seconds),4.45515625,4.48923076923077,-0.03407451923076987
CB,Vertical (inches),36.978203125,35.884615384615394,1.0935877403846064
CB,Bench (reps),14.84375,15.692307692307692,-0.8485576923076916
CB,Broad Jump (inches),126.10421875,123.35076923076925,2.753449519230756
CB,3-Cone (seconds),6.972656249999999,7.0097435897435885,-0.037087339743589354
CB,Shuttle (seconds),4.336718749999999,4.389230769230769,-0.05251201923076998
CB,FPI,11.136265625,8.740205128205131,2.3960604967948687
CB,Efficiencies Overall,68.14792187500001,63.92871794871793,4.219203926282077
CB,CFP Appearance,0.171875,0.10256410256410256,0.06931089743589744
CB,National Award,0.125,0.0,0.125
DL,Height (inches),75.35818181818182,75.12038461538462,0.2377972027971964
DL,Weight(lbs),305.27272727272725,310.38461538461536,-5.111888111888106
DL,Hand (inches),9.855625,9.793461538461539,0.06216346153846075
DL,Wingspan (inches),80.09579545454545,80.75807692307693,-0.6622814685314751
DL,40-Yard Dash (seconds),4.977045454545455,5.153076923076923,-0.1760314685314679
DL,Vertical (inches),30.546931818181818,29.633076923076924,0.9138548951048939
DL,Bench (reps),26.613636363636363,26.0,0.6136363636363633
DL,Broad Jump (inches),109.95636363636363,107.59461538461538,2.361748251748253
DL,3-Cone (seconds),8.076931818181817,7.88923076923077,0.18770104895104733
DL,Shuttle (seconds),4.739204545454545,4.849615384615385,-0.11041083916084027
DL,FPI,14.400852272727274,11.162884615384614,3.2379676573426597
DL,Efficiencies Overall,72.73620454545454,67.2973846153846,5.43881993006994
