Threshold,Accuracy,Average Ordinal Error,Round 1 Precision,Round 1 Recall,Rounds 2-3 Precision,Rounds 2-3 Recall,Undrafted Precision,Undrafted Recall
0.4,0.28013029315960913,1.1042345276872965,0.38461538461538464,0.625,0.0,0.0,0.37037037037037035,0.12048192771084337
0.45,0.28013029315960913,1.1042345276872965,0.38461538461538464,0.625,0.0,0.0,0.37037037037037035,0.12048192771084337
0.5,0.28013029315960913,1.1042345276872965,0.38461538461538464,0.625,0.0,0.0,0.37037037037037035,0.12048192771084337
0.55,0.2768729641693811,1.0977198697068404,0.3958333333333333,0.59375,0.0,0.0,0.37037037037037035,0.12048192771084337
0.6,0.2703583061889251,1.1009771986970684,0.37777777777777777,0.53125,0.0,0.0,0.37037037037037035,0.12048192771084337
0.65,0.2671009771986971,1.0944625407166124,0.38461538461538464,0.46875,0.07692307692307693,0.015873015873015872,0.37037037037037035,0.12048192771084337
