Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,OT,OL,Boston College,ACC,80.125,316,10.375,33.0,81.0,5.21,24.5,22,106.0,7.71,4.7,1,1513,4.829,61.35,56.657,64.403,40.228,5.3132,0,0,Rounds 2-3,1,0.37324245544895945,1,0.4132231404958678,2.127659574468085
2023,CB,Secondary,Iowa,Big Ten,72.625,193,9.5,30.0,74.125,4.45,39.0,12,127.0,6.68,4.29,1,1748,7.409,67.111,21.369,88.288,70.495,5.1705,0,0,Rounds 2-3,1,0.33496200877812904,2,0.8264462809917356,4.25531914893617
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,84.0,4.99,34.0,30,114.0,7.58,4.54,1,1631,9.511,59.244,64.411,51.426,45.245,5.2575,0,0,Rounds 2-3,1,0.33472902284283945,3,1.2396694214876034,6.382978723404255
2024,S,Secondary,Georgia,SEC,70.5,198,9.0,30.75,73.875,4.47,37.0,17,123.0,7.03,5.04,1,2273,24.777,87.417,88.149,74.455,48.128,5.3033,1,0,Rounds 2-3,1,0.3311971334563851,4,1.6528925619834711,8.51063829787234
2023,CB,Secondary,Michigan,Big Ten,71.25,178,9.625,30.75,73.375,4.26,38.5,12,131.0,6.51,4.28,1,2124,23.62,85.085,79.485,79.2,57.128,5.2933,1,0,Rounds 2-3,1,0.32200613352306356,5,2.066115702479339,10.638297872340425
2025,EDGE,DL,Boston College,ACC,74.5,248,9.25,34.0,82.75,4.28,35.5,22,119.0,6.94,4.19,1,1513,4.829,61.35,56.657,64.403,40.228,5.3706,0,0,Rounds 2-3,1,0.32140918708667,6,2.479338842975207,12.76595744680851
2024,CB,Secondary,Georgia,SEC,71.5,186,8.875,30.875,73.75,4.52,37.0,15,126.0,6.62,4.12,1,2273,24.777,87.417,88.149,74.455,48.128,5.3799,1,0,Rounds 2-3,1,0.317591970527571,7,2.8925619834710745,14.893617021276595
2024,WR,Skill,Texas,Big 12,73.25,205,9.0,32.375,77.625,4.34,39.5,19,136.0,6.84,4.11,1,2025,23.196,86.583,76.615,83.977,60.972,5.3327,1,0,Rounds 2-3,1,0.31749436373749823,8,3.3057851239669422,17.02127659574468
2025,RB,Skill,Ohio State,Big Ten,70.125,202,9.5,30.625,76.125,4.43,38.5,11,128.0,6.65,4.97,1,2211,24.823,87.333,80.443,83.601,49.523,5.3982,1,0,Rounds 2-3,1,0.31591988608461163,9,3.71900826446281,19.148936170212767
2024,LB,LB,Michigan,Big Ten,74.25,238,9.375,32.5,77.5,4.62,34.5,18,119.0,7.4,4.38,0,2210,27.625,94.395,88.226,91.352,54.858,5.247,0,0,Rounds 2-3,1,0.31466012385862824,10,4.132231404958678,21.27659574468085
2023,WR,Skill,North Carolina,ACC,69.0,179,9.25,30.375,73.375,4.48,38.5,13,131.0,6.91,4.29,1,1559,6.195,60.099,78.452,30.968,61.95,5.193,0,0,Rounds 2-3,1,0.3139850246565602,11,4.545454545454546,23.404255319148938
2025,WR,Skill,Iowa State,Big 12,76.125,214,9.125,33.125,80.0,4.47,39.0,11,128.0,7.75,4.03,1,1675,10.15,66.812,63.385,63.427,52.51,5.4161,0,0,Rounds 2-3,1,0.31350120786695046,12,4.958677685950414,25.53191489361702
2023,WR,Skill,Mississippi,SEC,73.75,220,10.375,32.125,75.75,4.46,39.5,22,129.0,6.96,4.29,1,1634,12.342,68.271,72.487,57.125,45.454,5.3936,0,0,Rounds 2-3,1,0.31125476316109757,13,5.371900826446281,27.659574468085108
2024,WR,Skill,Florida St.,ACC,75.25,213,9.375,32.125,78.125,4.61,38.0,15,127.0,6.84,4.1,1,1789,19.915,83.68,70.051,84.429,58.266,5.4205,0,1,Rounds 2-3,1,0.3109850286621506,14,5.785123966942149,29.78723404255319
2025,WR,Skill,Ole Miss,SEC,74.375,205,9.5,31.75,78.25,4.54,38.5,15,125.0,6.93,4.05,1,2007,20.608,84.235,76.596,81.866,47.73,5.3181,1,1,Rounds 2-3,1,0.30804073142278227,15,6.198347107438017,31.914893617021278
2024,CB,Secondary,Kentucky,SEC,70.75,190,8.75,31.25,75.0,4.48,42.0,15,135.0,6.95,3.94,1,1641,7.33,63.962,60.477,61.626,52.112,5.2417,0,0,Rounds 2-3,1,0.306763016901693,16,6.6115702479338845,34.04255319148936
