Position Group,Rows,CV Accuracy Mean,CV Accuracy Std,Test Accuracy,Average Ordinal Error
Skill,325,0.24000000000000005,0.053824171337033544,0.21951219512195122,1.0975609756097562
Secondary,182,0.27492492492492493,0.03997040992666626,0.2826086956521739,0.9347826086956522
DL,191,0.33468286099865047,0.04451805203905911,0.3125,1.2083333333333333
OL,171,0.2403361344537815,0.0613157524267385,0.20930232558139536,1.2325581395348837
LB,78,0.35897435897435903,0.0725237724293895,0.3,1.2
