Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2025,OT,OL,Florida,SEC,79.25,316,10.5,34.0,83.875,5.33,24.5,11,96.0,8.15,4.91,1,1767,11.901,71.717,58.466,70.419,67.15,0,0,0,0.5748406671367795
2024,IOL,OL,TCU,Big 12,76.5,313,10.75,34.625,84.0,4.99,34.0,30,114.0,7.58,4.54,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,1,0.5387651606566279
2023,CB,Secondary,Georgia,SEC,70.625,192,9.625,31.125,75.0,4.62,33.0,15,116.0,7.17,4.53,1,2300,29.908,93.511,90.791,87.647,45.406,0,0,1,0.4953715589366605
2024,WR,Skill,Colorado,Pac-12,72.25,169,8.875,31.125,73.25,4.39,37.5,13,126.0,6.91,4.25,0,1237,-2.096,44.305,50.524,38.852,55.741,0,0,0,0.6031661951467886
2025,S,Secondary,Wisconsin,Big Ten,74.0,213,9.25,30.5,75.375,4.57,37.0,11,120.0,6.72,4.25,1,1554,4.781,55.118,42.281,62.746,59.931,0,0,1,0.539498173988886
2025,RB,Skill,UCF,Big 12,68.0,205,9.0,29.0,71.25,4.4,38.0,16,127.0,7.34,4.34,1,1557,5.283,53.294,60.369,50.721,32.002,0,1,1,0.6008590397349644
2025,RB,Skill,Ohio State,Big Ten,71.625,221,9.25,30.25,73.5,4.48,38.5,33,132.0,6.89,4.03,1,2211,24.823,87.333,80.443,83.601,49.523,1,0,1,0.829347837473914
2024,OT,OL,Georgia,SEC,79.75,340,11.25,36.125,86.75,5.07,25.5,30,111.0,7.46,4.41,1,2273,24.777,87.417,88.149,74.455,48.128,1,0,1,0.7688645737154851
2025,IOL,OL,Jacksonville State,Conference USA,75.25,312,10.0,32.0,79.5,5.11,31.0,29,107.0,6.65,4.9,1,1744,12.004,69.69,65.46,67.072,51.224,0,0,0,0.49198140406260615
2025,DL,DL,Arkansas,SEC,75.25,319,9.5,33.0,81.25,5.14,27.0,28,108.0,7.68,4.97,1,1611,8.19,65.787,60.714,66.155,45.94,0,0,0,0.4150898808401523
2025,RB,Skill,SMU,ACC,69.875,194,8.625,30.5,74.0,4.39,32.5,33,117.0,7.45,4.97,1,1826,16.414,78.712,70.552,75.601,56.033,0,0,1,0.6468776814556566
2023,EDGE,DL,TCU,Big 12,76.0,257,9.5,33.125,78.5,4.63,34.0,18,120.0,6.97,4.44,1,1729,14.378,80.5,80.39,69.518,54.974,0,0,1,0.5311179499662083
2024,QB,Skill,Notre Dame,FBS Independent,73.125,211,9.75,31.375,75.25,4.8,28.5,12,109.0,7.19,4.34,1,2077,20.776,83.947,78.304,77.941,57.082,1,0,0,0.6405579412482454
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,72.0,4.6,34.5,11,115.7,7.58,4.97,1,1533,3.857,55.405,64.09,40.753,58.771,0,0,1,0.4854369840706409
2025,S,Secondary,Clemson,ACC,72.0,199,8.75,32.25,77.625,4.49,41.5,21,121.0,7.23,4.92,1,1807,14.768,79.193,79.078,73.333,36.319,0,0,1,0.6471924014237992
2025,DL,DL,Georgia,SEC,75.375,290,9.125,33.0,79.5,4.86,32.0,33,111.0,7.38,4.97,1,1998,22.091,82.861,79.935,73.308,59.572,1,0,0,0.6989008845848568
