Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2024,TE,Skill,Arizona,Pac-12,77.125,244,9.375,31.625,77.25,4.61,35.0,28,117.0,7.06,4.35,1,1822,11.44,73.172,77.614,56.651,58.122,4.1744,0,0,Round 6-7,1,0.24752831217769494,20,8.264462809917356,51.28205128205128
2025,RB,Skill,Michigan,Big Ten,73.5,226,10.0,31.625,78.0,4.28,33.08,15,122.9,7.26,4.97,0,1909,9.382,64.736,44.049,69.52,75.356,4.2627,0,0,Round 6-7,1,0.24719548853355613,21,8.677685950413224,53.84615384615385
2025,CB,Secondary,UTSA,AAC,74.875,186,8.25,32.75,80.125,4.36,36.5,12,126.0,7.0,4.26,1,1544,-5.581,40.078,38.259,46.39,49.382,4.4998,0,0,Round 6-7,1,0.24430005931507937,22,9.090909090909092,56.41025641025641
2025,OT,OL,Connecticut,FBS Independent,79.5,304,9.5,32.5,77.75,4.28,32.99,20,138.0,6.65,4.97,1,1432,-3.325,47.273,35.591,58.188,54.648,3.9703,0,0,Round 6-7,1,0.23964098245845702,23,9.50413223140496,58.97435897435898
2024,CB,Secondary,Texas,Big 12,74.875,208,9.375,34.5,81.75,4.53,40.5,15,125.0,6.82,4.13,1,2025,23.196,86.583,76.615,83.977,60.972,4.1589,1,0,Round 6-7,1,0.23785217486665813,24,9.917355371900827,61.53846153846154
2024,LB,LB,Texas,Big 12,74.375,240,9.5,31.75,74.375,4.62,33.5,18,121.0,7.44,4.44,1,2025,23.196,86.583,76.615,83.977,60.972,4.4308,1,0,Round 6-7,1,0.2377855412377488,25,10.330578512396695,64.1025641025641
2025,CB,Secondary,Ohio State,Big Ten,72.125,195,8.5,30.625,76.125,4.42,29.5,24,121.7,6.65,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,4.4886,1,0,Round 6-7,1,0.23720070720670716,26,10.743801652892563,66.66666666666666
2024,RB,Skill,Monmouth,CAA,68.0,187,9.25,28.75,69.625,4.45,34.5,22,117.0,6.6,4.21,1,1750,11.347,69.843,69.473,63.234,45.477,0.0,0,0,Undrafted,0,0.23579030124939332,26,11.15702479338843,66.66666666666666
2024,QB,Skill,Tennessee,SEC,77.125,235,10.25,33.375,80.0,5.06,35.0,18,121.0,5.72,4.06,1,1877,14.091,72.034,66.494,68.45,54.522,4.1897,1,0,Round 6-7,1,0.22871363794034824,27,11.570247933884298,69.23076923076923
2023,C,OL,Notre Dame,FBS Independent,77.125,306,10.0,31.375,77.0,5.33,29.5,20,106.0,7.96,4.73,1,1850,12.6,69.601,59.985,66.897,66.833,4.0604,0,0,Round 6-7,1,0.2252926338187406,28,11.983471074380166,71.7948717948718
2023,WR,Skill,Virginia,ACC,73.375,206,10.0,32.375,79.875,4.62,39.0,18,130.0,6.95,4.29,1,1340,-3.957,36.753,28.59,56.938,29.806,4.6052,0,0,Round 5,0,0.22416446729877743,28,12.396694214876034,71.7948717948718
2025,DL,DL,Notre Dame,FBS Independent,77.375,291,9.75,32.5,79.75,4.46,28.47,33,93.0,8.19,4.03,0,2154,25.305,88.314,78.053,88.226,42.499,4.7622,0,0,Round 5,0,0.21945308821844853,28,12.8099173553719,71.7948717948718
2024,CB,Secondary,Penn St.,Big Ten,69.375,179,8.125,30.0,70.875,4.38,42.5,15,126.0,6.95,4.19,1,2000,25.618,85.731,66.931,89.424,64.921,3.6889,1,0,Round 6-7,1,0.21832257654609155,29,13.223140495867769,74.35897435897436
2023,WR,Skill,LSU,SEC,73.625,204,10.0,31.75,75.75,4.6,29.5,20,121.0,6.94,4.29,1,1871,17.436,78.295,78.649,74.431,26.438,0.0,0,0,Undrafted,0,0.21733485257853255,29,13.636363636363635,74.35897435897436
2025,RB,Skill,Cinncinnati,Big 12,68.625,209,7.625,30.5,75.5,4.57,38.06,19,110.5,6.72,4.97,1,1463,3.423,58.625,63.495,54.814,34.682,0.0,0,0,Undrafted,0,0.21560334813378929,29,14.049586776859504,74.35897435897436
2024,RB,Skill,Boise St.,Mountain West,70.375,208,9.75,29.75,72.375,4.52,39.0,24,127.0,6.77,4.33,1,1690,5.186,62.644,69.244,54.981,38.547,0.0,1,0,Undrafted,0,0.21524494068263456,29,14.46280991735537,74.35897435897436
2024,EDGE,DL,Mississippi,SEC,75.0,260,9.875,33.5,79.375,4.63,38.0,25,122.0,7.15,4.27,1,1737,15.302,75.391,76.693,64.536,49.591,3.8067,0,0,Round 6-7,1,0.21441399754610432,30,14.87603305785124,76.92307692307693
2023,C,OL,Ohio St.,Big Ten,75.0,303,9.625,31.625,77.125,5.14,30.5,20,106.0,7.64,4.53,1,2107,25.771,88.337,91.467,71.506,49.437,4.2341,0,0,Round 6-7,1,0.21230169039670754,31,15.289256198347106,79.48717948717949
2024,RB,Skill,Southern Mississippi,Sun Belt,67.625,201,8.25,29.625,72.0,4.51,35.0,12,121.0,6.89,4.23,1,1164,-14.169,26.935,32.097,33.556,37.572,0.0,0,0,Undrafted,0,0.2106302491074799,31,15.702479338842975,79.48717948717949
2023,CB,Secondary,California,Pac-12,72.875,208,10.0,30.25,74.375,4.45,39.5,22,128.0,6.75,4.17,1,1406,-1.39,44.902,38.449,54.726,43.407,4.6151,0,0,Round 5,0,0.21023280876933226,31,16.115702479338843,79.48717948717949
2024,S,Secondary,Mississippi,SEC,72.0,195,9.0,32.5,76.375,4.55,37.0,12,116.0,7.06,5.19,1,1737,15.302,75.391,76.693,64.536,49.591,3.5553,0,0,Round 6-7,1,0.20954870708626278,32,16.528925619834713,82.05128205128204
2025,WR,Skill,Stanford,ACC,73.75,206,10.0,32.375,78.375,4.44,38.5,33,127.0,6.7,4.31,1,1175,-5.299,38.36,36.975,39.874,65.408,4.8122,0,0,Round 5,0,0.20943349402844352,32,16.94214876033058,82.05128205128204
2023,RB,Skill,Kansas St.,Big 12,65.0,179,9.5,27.75,67.0,4.36,35.5,20,116.0,7.69,5.1,1,1861,14.823,77.392,70.169,73.461,57.448,3.8501,0,1,Round 6-7,1,0.20552713267342135,33,17.355371900826448,84.61538461538461
2024,RB,Skill,TCU,Big 12,67.375,202,9.75,29.875,70.75,4.61,33.5,22,116.0,6.87,4.23,1,1631,9.511,59.244,64.411,51.426,45.245,0.0,0,0,Undrafted,0,0.2054303426149686,33,17.768595041322314,84.61538461538461
2023,LB,LB,LSU,SEC,72.5,221,9.625,31.25,77.875,4.56,31.0,18,115.0,7.44,4.44,1,1871,17.436,78.295,78.649,74.431,26.438,0.0,0,0,Undrafted,0,0.20103950887865873,33,18.181818181818183,84.61538461538461
2023,RB,Skill,Louisville,ACC,69.5,225,8.5,30.375,74.375,4.52,30.5,20,119.0,6.99,4.47,1,1753,10.719,70.137,54.895,74.832,58.102,0.0,0,0,Undrafted,0,0.19936481409222245,33,18.59504132231405,84.61538461538461
2024,WR,Skill,USC,Pac-12,74.375,208,9.625,33.0,78.0,4.5,36.5,13,119.0,6.86,4.12,1,1723,13.091,69.753,82.697,42.068,66.367,3.5264,0,0,Undrafted,0,0.19675281861098945,33,19.00826446280992,84.61538461538461
2024,S,Secondary,Texas Tech,Big 12,74.375,216,9.125,33.375,79.125,4.51,41.0,24,146.0,6.81,4.04,1,1562,6.237,62.556,51.102,66.311,59.243,0.0,0,0,Undrafted,0,0.1959497715737768,33,19.421487603305785,84.61538461538461
2025,S,Secondary,California,ACC,72.125,200,8.625,30.5,75.25,4.45,36.0,13,127.0,6.65,4.97,1,1529,4.302,57.687,45.477,64.264,58.117,5.0304,0,0,Round 4,0,0.19566214782184024,33,19.834710743801654,84.61538461538461
2025,TE,Skill,Alabama,SEC,75.0,274,9.625,31.25,78.25,4.91,34.0,26,119.0,7.34,4.45,1,1986,23.933,85.057,77.281,79.955,59.628,4.4308,1,0,Round 6-7,1,0.19216528937646402,34,20.24793388429752,87.17948717948718
2024,WR,Skill,Holy Cross,Patriot League,73.375,208,9.875,32.875,76.75,4.57,42.5,19,128.0,6.84,4.1,1,1696,10.145,67.138,64.829,61.647,53.79,0.0,0,0,Undrafted,0,0.1921380374797424,34,20.66115702479339,87.17948717948718
2023,OT,OL,North Carolina,ACC,76.0,309,10.0,34.0,82.75,5.15,29.5,20,108.0,7.6,4.69,0,1559,6.195,60.099,78.452,30.968,61.95,4.4998,0,0,Round 6-7,1,0.1921273246380199,35,21.074380165289256,89.74358974358975
2023,WR,Skill,Penn St.,Big Ten,72.0,199,10.0,32.375,75.625,4.6,35.5,14,120.0,6.93,4.21,1,2000,19.477,82.964,71.335,83.462,50.595,0.0,0,0,Undrafted,0,0.1914972514022039,35,21.487603305785125,89.74358974358975
2024,CB,Secondary,Auburn,SEC,72.125,190,8.375,31.625,75.0,4.36,34.5,15,123.0,6.94,4.41,1,1585,8.916,67.536,49.076,72.965,65.063,4.8122,0,0,Round 5,0,0.19050376924590762,35,21.90082644628099,89.74358974358975
2023,RB,Skill,Syracuse,ACC,69.0,207,9.5,30.0,73.375,4.49,35.0,20,121.0,7.07,4.54,0,1464,5.084,59.708,56.419,61.005,44.497,0.0,0,0,Undrafted,0,0.18960456880576207,35,22.31404958677686,89.74358974358975
2024,RB,Skill,Clemson,ACC,71.0,206,9.625,30.25,74.125,4.51,35.0,22,122.0,6.82,4.23,0,1764,13.892,72.489,48.101,90.04,37.087,4.8828,1,0,Round 4,0,0.1889721765770979,35,22.727272727272727,89.74358974358975
2023,EDGE,DL,Nebraska,Big Ten,76.75,250,10.75,35.25,83.375,4.74,33.5,21,118.0,7.18,4.38,1,1532,-0.651,40.694,43.713,40.707,51.926,4.2485,0,0,Round 6-7,1,0.1878264733852476,36,23.140495867768596,92.3076923076923
2024,WR,Skill,Louisville,ACC,71.75,188,8.625,31.0,74.5,4.46,34.0,12,120.0,7.16,4.19,1,1688,11.36,72.759,63.856,75.697,45.123,4.6347,0,0,Round 5,0,0.18669466432001178,36,23.553719008264462,92.3076923076923
2023,CB,Secondary,Kentucky,SEC,72.0,193,9.25,32.25,76.0,4.44,39.0,9,128.0,6.98,4.29,1,1606,5.824,59.284,46.761,72.541,34.773,3.2958,0,0,Undrafted,0,0.18641754977176594,36,23.96694214876033,92.3076923076923
2024,IOL,OL,Michigan,Big Ten,76.5,306,9.875,33.375,81.25,5.21,29.5,27,111.0,7.83,4.7,1,2210,27.625,94.395,88.226,91.352,54.858,0.0,0,0,Undrafted,0,0.18482264088605277,36,24.380165289256198,92.3076923076923
2025,LB,LB,UNLV,Mountain West,74.0,234,9.0,31.0,77.625,4.57,37.41,21,114.5,7.37,4.08,1,1679,5.991,71.232,57.654,72.272,64.179,0.0,0,0,Undrafted,0,0.1843415201397147,36,24.793388429752067,92.3076923076923
2025,LB,LB,Utah,Big 12,134.75,231,10.067,31.482,74.5,4.68,29.53,11,123.3,7.09,4.03,0,1563,5.029,60.487,30.282,79.81,59.786,0.0,0,0,Undrafted,0,0.1829114944170904,36,25.206611570247933,92.3076923076923
2024,RB,Skill,Georgia,SEC,69.625,207,9.5,29.75,73.0,4.56,32.5,22,114.0,6.95,4.24,1,2273,24.777,87.417,88.149,74.455,48.128,0.0,1,0,Undrafted,0,0.1825111095158208,36,25.6198347107438,92.3076923076923
2023,LB,LB,Alabama,SEC,73.0,227,10.25,32.75,77.375,4.62,32.0,20,116.0,7.44,4.4,1,2181,27.296,89.526,85.539,81.093,61.676,4.5218,1,0,Round 6-7,1,0.1822803440346862,37,26.033057851239672,94.87179487179486
2023,CB,Secondary,South Alabama,Sun Belt,71.75,189,10.375,32.375,77.875,4.46,40.5,10,123.0,6.9,4.43,1,1485,-1.447,55.355,49.72,57.13,56.501,4.6444,0,0,Round 5,0,0.18190106836340053,37,26.446280991735538,94.87179487179486
2025,WR,Skill,Notre Dame,FBS Independent,75.0,201,9.5,31.5,79.5,4.49,38.37,19,123.0,7.02,4.42,0,2154,25.305,88.314,78.053,88.226,42.499,0.0,0,0,Undrafted,0,0.18175762209780585,37,26.859504132231404,94.87179487179486
2025,C,OL,Texas,SEC,75.375,306,9.75,30.375,76.0,4.84,32.0,25,112.0,7.56,4.97,1,2042,26.107,88.25,73.85,92.32,35.538,0.0,0,0,Undrafted,0,0.18165195487737146,37,27.27272727272727,94.87179487179486
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,29.75,72.625,4.41,43.0,15,123.2,6.9,4.03,1,1557,5.283,53.294,60.369,50.721,32.002,4.7362,0,0,Round 5,0,0.18161826960534835,37,27.685950413223143,94.87179487179486
2024,RB,Skill,Louisville,ACC,72.0,221,9.25,30.75,74.875,4.33,41.5,22,129.0,6.94,4.15,1,1688,11.36,72.759,63.856,75.697,45.123,4.8675,0,0,Round 5,0,0.1813889799505587,37,28.09917355371901,94.87179487179486
2025,CB,Secondary,East Carolina,AAC,73.875,194,9.5,32.5,79.75,4.67,30.46,13,112.0,8.19,4.03,0,1403,-5.922,41.022,32.234,48.38,64.194,5.2095,0,0,Round 3,0,0.18105744730403422,37,28.512396694214875,94.87179487179486
2025,DL,DL,Utah,Big 12,75.5,308,10.5,32.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,1563,5.029,60.487,30.282,79.81,59.786,0.0,0,0,Undrafted,0,0.1808429673042713,37,28.92561983471074,94.87179487179486
2024,IOL,OL,Michigan,Big Ten,76.125,309,10.625,35.0,84.75,5.15,29.5,28,109.0,7.7,4.61,0,2210,27.625,94.395,88.226,91.352,54.858,2.3026,0,0,Undrafted,0,0.18048080068388658,37,29.338842975206614,94.87179487179486
2024,RB,Skill,Arizona,Pac-12,70.5,210,9.25,30.0,74.125,4.51,33.5,22,119.0,6.93,4.43,1,1822,11.44,73.172,77.614,56.651,58.122,0.0,0,0,Undrafted,0,0.1801363815867254,37,29.75206611570248,94.87179487179486
2024,P,Special Teams,BYU,Big 12,76.375,235,8.875,31.25,76.375,4.63,35.5,19,123.0,7.05,4.31,0,1364,-1.805,52.478,36.286,62.31,60.603,0.0,0,0,Undrafted,0,0.1798553262796627,37,30.165289256198346,94.87179487179486
2025,S,Secondary,Maryland,Big Ten,70.875,196,8.75,31.25,75.125,4.61,31.0,12,117.0,7.09,4.32,1,1407,-0.535,43.23,46.603,47.026,35.755,4.6444,0,0,Round 5,0,0.17976526804672247,37,30.57851239669421,94.87179487179486
2024,IOL,OL,Ohio St.,Big Ten,75.5,316,9.0,32.625,80.5,5.21,28.0,27,103.0,8.19,4.74,1,2065,27.485,89.569,83.397,86.658,44.2,0.0,1,0,Undrafted,0,0.17778086201948798,37,30.991735537190085,94.87179487179486
2024,IOL,OL,Utah,Pac-12,76.5,321,10.0,32.5,79.5,5.38,29.5,27,101.0,7.95,4.9,1,1684,10.768,65.114,50.684,74.826,48.257,0.0,0,0,Undrafted,0,0.1769711724385396,37,31.40495867768595,94.87179487179486
2023,CB,Secondary,Stanford,Pac-12,72.0,191,9.75,32.0,76.625,4.52,36.0,15,131.0,6.51,4.27,1,1237,-3.917,38.149,36.614,44.176,50.17,4.625,0,0,Round 5,0,0.17684875660182667,37,31.818181818181817,94.87179487179486
2023,WR,Skill,Michigan,Big Ten,71.625,191,9.5,31.0,75.0,4.54,38.5,14,120.0,6.98,4.15,1,2124,23.62,85.085,79.485,79.2,57.128,1.7918,1,0,Undrafted,0,0.1761733371670508,37,32.231404958677686,94.87179487179486
2025,RB,Skill,Kansas State,Big 12,72.25,212,9.25,30.375,75.25,4.43,39.5,33,130.0,7.84,4.33,1,1754,11.098,70.634,61.856,71.635,49.804,4.6821,0,0,Round 5,0,0.1757021220222261,37,32.64462809917356,94.87179487179486
2024,IOL,OL,Boston Col.,ACC,75.375,314,10.5,33.5,81.625,5.13,32.5,29,109.0,7.81,4.53,1,1345,-5.102,38.527,51.282,29.636,49.017,3.8918,0,0,Round 6-7,1,0.17512521304944034,38,33.057851239669425,97.43589743589743
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,80.0,4.28,34.4,11,93.0,8.19,4.67,1,1061,-13.836,20.419,29.645,21.338,52.981,4.654,0,0,Round 5,0,0.17474150892686485,38,33.47107438016529,97.43589743589743
2025,CB,Secondary,Nebraska,Big Ten,72.5,213,9.0,32.75,79.5,4.38,30.44,11,116.6,8.12,4.97,0,1537,6.154,64.984,58.011,69.664,41.381,0.0,0,0,Undrafted,0,0.17444163295533294,38,33.88429752066116,97.43589743589743
2023,RB,Skill,Utah,Pac-12,72.375,237,9.25,31.125,76.0,4.74,30.0,20,118.0,6.84,4.32,1,1915,19.146,79.905,74.866,74.068,53.378,0.0,0,0,Undrafted,0,0.17421730399960922,38,34.29752066115703,97.43589743589743
2025,WR,Skill,Ole Miss,SEC,72.75,201,8.75,31.5,77.125,4.58,34.0,11,124.0,7.43,4.07,1,2007,20.608,84.235,76.596,81.866,47.73,0.0,1,0,Undrafted,0,0.17388394960106554,38,34.710743801652896,97.43589743589743
2023,LB,LB,Georgia Tech,ACC,75.0,216,8.5,31.5,77.25,4.52,32.5,18,124.0,7.09,4.34,1,1272,-3.476,46.573,34.944,66.413,25.201,0.0,0,0,Undrafted,0,0.17371928545656293,38,35.12396694214876,97.43589743589743
2024,RB,Skill,Missouri,SEC,68.5,202,9.125,28.125,68.625,4.61,33.0,22,118.0,6.84,4.23,1,1866,15.277,78.168,79.322,67.958,47.09,0.0,0,1,Undrafted,0,0.17322882624228864,38,35.53719008264463,97.43589743589743
2025,IOL,OL,Cincinnati,Big 12,76.75,319,10.0,31.75,80.5,5.45,34.01,33,104.9,8.19,4.97,1,1463,3.423,58.625,63.495,54.814,34.682,0.0,0,0,Undrafted,0,0.17235016663134672,38,35.9504132231405,97.43589743589743
2024,WR,Skill,Utah,Pac-12,76.0,203,9.75,33.5,79.125,4.47,36.0,13,126.0,6.86,4.14,1,1684,10.768,65.114,50.684,74.826,48.257,3.1781,0,0,Undrafted,0,0.17208222325625705,38,36.36363636363637,97.43589743589743
2024,OT,OL,South Dakota St.,MVFC,77.75,305,9.75,33.5,83.125,5.22,38.5,28,113.0,7.76,4.85,1,1641,8.574,64.355,63.524,60.613,46.247,0.0,0,0,Undrafted,0,0.1719198583209972,38,36.77685950413223,97.43589743589743
2025,DL,DL,Alabama,SEC,76.375,302,10.375,33.0,81.625,4.28,24.5,33,138.0,6.65,4.6,0,1986,23.933,85.057,77.281,79.955,59.628,4.2341,1,0,Round 6-7,1,0.17158769170539687,39,37.1900826446281,100.0
2024,WR,Skill,Oregon St.,Pac-12,68.375,174,8.875,29.625,69.875,4.39,39.5,18,129.0,6.9,4.16,1,1722,13.996,79.392,79.074,67.781,54.727,4.7622,0,0,Round 5,0,0.1709534016052922,39,37.60330578512397,100.0
2023,CB,Secondary,Florida St.,ACC,70.625,191,8.75,29.625,72.25,4.59,33.5,23,116.0,7.12,4.58,1,1848,15.503,78.613,83.024,62.6,47.133,4.7362,0,0,Round 5,0,0.16828832503903113,39,38.01652892561984,100.0
2025,WR,Skill,Tennessee,SEC,74.5,209,10.0,32.125,78.5,4.33,42.99,14,123.6,6.65,4.03,0,1915,20.786,83.706,67.16,87.119,52.677,0.0,0,0,Undrafted,0,0.1677425824764431,39,38.429752066115704,100.0
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,79.25,4.62,37.0,28,118.0,7.19,4.33,1,1631,9.511,59.244,64.411,51.426,45.245,4.852,0,0,Round 5,0,0.16765591291150156,39,38.84297520661157,100.0
2025,DL,DL,North Carolina,ACC,76.25,294,10.25,33.25,81.125,4.28,35.5,26,114.0,8.19,4.03,1,1496,2.602,50.555,55.402,46.067,47.749,0.0,0,0,Undrafted,0,0.16684625481935908,39,39.25619834710744,100.0
2024,LB,LB,Notre Dame,FBS Independent,72.875,235,9.75,30.625,74.875,4.62,34.5,20,118.0,7.31,4.35,1,2077,20.776,83.947,78.304,77.941,57.082,4.7536,1,0,Round 5,0,0.16644136366416154,39,39.66942148760331,100.0
2025,WR,Skill,Memphis,AAC,73.875,213,9.0,32.25,78.25,4.49,30.5,14,122.0,6.85,4.14,1,1657,2.129,54.221,59.509,47.876,44.037,0.0,0,0,Undrafted,0,0.16586502556667893,39,40.082644628099175,100.0
2024,IOL,OL,Holy Cross,Patriot League,77.0,300,9.375,32.375,78.375,5.0,33.5,27,115.0,7.55,4.45,1,1769,12.25,68.878,67.253,62.758,55.279,2.3979,0,0,Undrafted,0,0.1651967920382705,39,40.49586776859504,100.0
2024,C,OL,Michigan,Big Ten,73.5,298,9.0,33.0,78.25,5.23,29.5,25,101.0,7.33,4.5,1,2210,27.625,94.395,88.226,91.352,54.858,0.0,0,0,Undrafted,0,0.16496560204035235,39,40.909090909090914,100.0
2023,CB,Secondary,LSU,SEC,74.0,212,10.125,32.25,78.0,4.55,38.0,15,128.0,7.21,4.27,1,1871,17.436,78.295,78.649,74.431,26.438,0.0,0,0,Undrafted,0,0.16427440451521708,39,41.32231404958678,100.0
2024,LB,LB,Florida St.,ACC,71.5,229,10.0,32.375,78.25,4.62,34.0,16,119.0,7.18,4.92,1,1789,19.915,83.68,70.051,84.429,58.266,2.0794,0,0,Undrafted,0,0.16407449080519937,39,41.735537190082646,100.0
2025,TE,Skill,Bowling Green,MAC,75.25,241,9.25,32.25,79.25,4.71,34.0,22,118.0,6.97,4.39,1,1442,-3.156,48.952,45.874,55.957,41.324,5.2575,0,0,Round 3,0,0.16276598284422872,39,42.14876033057851,100.0
2025,S,Secondary,Toledo,MAC,72.5,202,9.125,31.5,75.5,4.55,34.5,16,124.0,6.65,4.76,1,1431,-5.318,43.159,33.851,52.717,56.909,0.0,0,0,Undrafted,0,0.16219455135802743,39,42.561983471074385,100.0
2024,DL,DL,Duke,ACC,74.375,302,10.25,33.0,79.125,4.99,32.0,27,109.0,7.95,4.75,1,1654,8.778,68.7,63.774,63.667,60.347,5.0999,0,0,Round 3,0,0.16207475439131894,39,42.97520661157025,100.0
2024,CB,Secondary,Washington St.,Pac-12,69.75,184,9.125,30.25,72.375,4.54,34.5,18,125.0,7.05,4.32,1,1546,3.221,62.169,54.667,62.054,59.872,4.625,0,0,Round 5,0,0.16156701717460253,39,43.388429752066116,100.0
2024,OT,OL,Pittsburgh,ACC,78.25,327,9.0,33.25,81.25,5.19,29.0,29,108.0,7.78,4.61,0,1404,-0.369,43.622,32.282,60.013,38.896,5.193,0,0,Round 3,0,0.16155081714859534,39,43.80165289256198,100.0
2024,LB,LB,Temple,AAC,73.375,228,8.75,32.0,76.0,4.55,35.5,18,124.0,7.13,5.06,1,1017,-19.353,17.077,30.798,16.718,42.309,4.7875,0,0,Round 5,0,0.1613062412783307,39,44.214876033057855,100.0
2024,S,Secondary,Miami,ACC,71.25,203,9.75,31.25,75.0,4.65,35.0,13,110.0,6.98,4.83,1,1580,11.169,68.436,66.666,63.176,51.762,5.0752,0,1,Round 4,0,0.16105960371311795,39,44.62809917355372,100.0
2025,S,Secondary,Iowa,Big Ten,71.25,203,10.5,30.625,74.375,4.59,30.5,11,117.0,7.11,4.34,1,1774,11.144,70.238,48.063,74.759,71.573,0.0,0,0,Undrafted,0,0.16089285525093142,39,45.04132231404959,100.0
2025,LB,LB,Oklahoma,SEC,75.25,233,9.0,32.125,77.5,4.52,34.0,33,117.5,7.12,4.03,1,1725,10.943,65.083,38.944,80.167,57.918,4.9904,1,0,Round 4,0,0.16085703774756457,39,45.45454545454545,100.0
2025,OT,OL,Cincinnati,Big 12,76.125,322,11.0,33.75,81.5,5.17,43.0,29,89.8,7.93,4.72,1,1463,3.423,58.625,63.495,54.814,34.682,2.1972,0,0,Undrafted,0,0.1602980050837473,39,45.867768595041326,100.0
2023,EDGE,DL,Kansas,Big 12,74.375,244,9.25,32.375,75.375,4.55,35.0,31,124.0,7.4,4.46,1,1373,3.37,60.21,82.028,38.063,37.048,0.0,0,0,Undrafted,0,0.1600146248028751,39,46.28099173553719,100.0
2025,TE,Skill,Alabama,SEC,76.875,256,9.5,33.25,79.75,4.69,34.5,32,120.0,6.65,4.03,1,1986,23.933,85.057,77.281,79.955,59.628,0.0,1,0,Undrafted,0,0.15998884591794857,39,46.69421487603306,100.0
2025,S,Secondary,Oklahoma,SEC,69.875,192,8.5,28.5,70.75,4.42,35.5,17,123.0,6.65,4.03,1,1725,10.943,65.083,38.944,80.167,57.918,4.9488,1,0,Round 4,0,0.15944722045673412,39,47.107438016528924,100.0
2023,DL,DL,Texas,Big 12,74.625,292,10.375,34.5,83.375,5.04,33.0,29,112.0,7.53,4.75,1,1900,19.379,79.1,73.758,70.57,66.449,2.3026,1,0,Undrafted,0,0.1590130474429966,39,47.5206611570248,100.0
2025,RB,Skill,Rutgers,Big Ten,68.25,211,9.0,38.625,72.0,4.6,34.5,11,115.7,7.58,4.97,1,1533,3.857,55.405,64.09,40.753,58.771,3.2581,0,0,Undrafted,0,0.15872836900314502,39,47.93388429752066,100.0
