Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,WR,Skill,ACC,71.375,186,8.5,74.375,4.59,36.0,19,124.0,7.37,4.03,1,3.991,55.816,0,0,Rounds 6-7,0,0.46517801758805477,15,12.396694214876034,22.727272727272727
2023,RB,Skill,Sun Belt,73.375,217,9.75,78.625,4.61,37.0,20,121.0,6.85,4.33,1,0.411,45.95,0,0,Undrafted,1,0.4638164079212451,16,12.8099173553719,24.242424242424242
2025,TE,Skill,Big 12,74.0,236,10.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,5.029,60.487,0,0,Undrafted,1,0.4631438068933632,17,13.223140495867769,25.757575757575758
2024,K,Special Teams,SEC,72.875,187,8.5,73.625,4.39,38.0,15,127.0,6.81,4.14,0,24.925,84.968,0,0,Rounds 6-7,0,0.4596783616249728,17,13.636363636363635,25.757575757575758
2024,LB,LB,SEC,73.75,231,8.875,77.75,4.62,34.0,18,118.0,7.23,4.5,0,15.277,78.168,0,0,Rounds 2-3,0,0.452391997509782,17,14.049586776859504,25.757575757575758
2025,DL,DL,Big 12,75.5,308,10.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,5.029,60.487,0,0,Undrafted,1,0.4505302791927861,18,14.46280991735537,27.27272727272727
2024,WR,Skill,SEC,70.0,181,9.125,72.75,4.43,35.5,14,124.0,7.0,4.35,1,0.859,45.573,0,0,Undrafted,1,0.44810774520049035,19,14.87603305785124,28.78787878787879
2025,WR,Skill,Big 12,72.625,186,10.5,76.625,4.7,33.0,14,121.0,7.02,4.97,1,6.204,57.272,1,0,Undrafted,1,0.4464532475875448,20,15.289256198347106,30.303030303030305
2023,RB,Skill,SEC,71.625,210,9.5,76.625,4.56,32.5,20,119.0,7.23,4.68,1,6.205,55.022,0,0,Rounds 2-3,0,0.4460110277372211,20,15.702479338842975,30.303030303030305
2024,IOL,OL,Pac-12,76.5,321,10.0,79.5,5.38,29.5,27,101.0,7.95,4.9,1,10.768,65.114,0,0,Undrafted,1,0.44519300526713945,21,16.115702479338843,31.818181818181817
2023,C,OL,Big Ten,75.5,301,9.5,78.375,5.35,29.5,20,104.0,7.68,4.56,1,11.422,72.43,0,0,Rounds 2-3,0,0.4449525171776051,21,16.528925619834713,31.818181818181817
2023,IOL,OL,SEC,77.0,330,11.25,83.875,5.31,23.5,20,101.0,7.99,4.81,1,7.555,60.994,0,0,Rounds 2-3,0,0.44467281952536664,21,16.94214876033058,31.818181818181817
2023,LB,LB,Big 12,71.0,227,8.625,75.0,4.49,30.5,20,117.0,7.44,4.42,1,14.378,80.5,0,0,Rounds 6-7,0,0.43300130530741854,21,17.355371900826448,31.818181818181817
2023,TE,Skill,AAC,78.5,248,9.5,77.375,4.69,33.5,21,115.0,7.42,4.29,1,6.451,60.989,0,0,Rounds 4-5,0,0.4319247622944542,21,17.768595041322314,31.818181818181817
2025,WR,Skill,ACC,76.25,213,9.0,79.125,4.5,32.5,18,122.0,7.1,4.3,1,8.853,70.514,0,0,Undrafted,1,0.43130434871029955,22,18.181818181818183,33.33333333333333
2023,IOL,OL,SoCon,78.0,324,10.25,83.875,5.24,26.5,20,105.0,7.7,4.97,1,11.336,69.68,0,0,Undrafted,1,0.42396763558382555,23,18.59504132231405,34.84848484848485
2023,RB,Skill,Pac-12,70.0,201,9.25,70.25,4.46,35.5,20,122.0,7.16,4.61,0,13.164,77.414,0,0,Undrafted,1,0.410888297050385,24,19.00826446280992,36.36363636363637
2023,EDGE,DL,Sun Belt,76.5,248,10.0,81.25,4.67,29.0,23,116.0,7.35,4.44,1,-2.136,45.745,0,0,Rounds 6-7,0,0.4038203531775393,24,19.421487603305785,36.36363636363637
2025,TE,Skill,FBS Independent,77.375,241,9.5,77.0,4.74,31.0,33,115.0,7.25,4.4,1,25.305,88.314,0,0,Rounds 6-7,0,0.40037767313304573,24,19.834710743801654,36.36363636363637
2025,WR,Skill,Big 12,73.25,214,9.0,75.0,4.52,34.5,19,125.0,6.84,4.21,1,8.023,67.255,0,0,Rounds 2-3,0,0.40018981350719407,24,20.24793388429752,36.36363636363637
2024,RB,Skill,ACC,71.0,206,9.625,74.125,4.51,35.0,22,122.0,6.82,4.23,0,13.892,72.489,1,0,Rounds 4-5,0,0.3991308645772653,24,20.66115702479339,36.36363636363637
2024,S,Secondary,ACC,76.25,231,9.5,80.25,4.65,30.0,17,117.0,6.69,3.5,1,11.169,68.436,0,0,Rounds 6-7,0,0.3902887660044554,24,21.074380165289256,36.36363636363637
2023,CB,Secondary,FBS Independent,72.375,202,9.0,74.75,4.62,30.5,17,118.0,7.08,4.23,1,12.6,69.601,0,0,Undrafted,1,0.383776760421777,25,21.487603305785125,37.878787878787875
2025,RB,Skill,Big Ten,68.25,211,9.0,72.0,4.6,34.5,11,115.7,7.58,4.97,1,3.857,55.405,0,0,Rounds 6-7,0,0.38338283734739964,25,21.90082644628099,37.878787878787875
2024,C,OL,ACC,75.0,308,10.0,79.0,5.09,29.5,28,108.0,7.41,4.01,1,8.778,68.7,0,0,Rounds 6-7,0,0.38305005620590427,25,22.31404958677686,37.878787878787875
2023,WR,Skill,Big Ten,71.375,175,9.0,74.0,4.43,36.5,13,124.0,6.91,4.29,1,4.283,58.947,0,0,Rounds 4-5,0,0.3826285328717408,25,22.727272727272727,37.878787878787875
2024,RB,Skill,SEC,69.625,207,9.5,73.0,4.56,32.5,22,114.0,6.95,4.24,1,24.777,87.417,1,0,Undrafted,1,0.3780445327665205,26,23.140495867768596,39.39393939393939
2025,WR,Skill,SEC,71.0,191,9.5,76.375,4.29,27.78,11,115.1,6.65,4.03,1,26.107,88.25,0,0,Round 1,0,0.37661499670672693,26,23.553719008264462,39.39393939393939
2023,CB,Secondary,Sun Belt,74.0,200,9.75,78.125,4.48,37.0,13,124.0,6.83,4.3,1,-6.531,40.095,0,0,Undrafted,1,0.37318879323812226,27,23.96694214876033,40.909090909090914
2024,DL,DL,SEC,74.375,286,9.625,78.25,5.06,29.5,27,103.0,6.81,4.6,1,8.916,67.536,0,0,Rounds 6-7,0,0.37212161895876605,27,24.380165289256198,40.909090909090914
2023,RB,Skill,AAC,71.75,216,9.25,75.0,4.41,35.5,20,124.0,6.83,4.31,1,-4.107,43.074,0,0,Undrafted,1,0.3698162815017917,28,24.793388429752067,42.42424242424242
2023,TE,Skill,Big 12,75.5,241,9.75,79.125,4.68,32.0,20,117.0,7.3,4.36,1,9.969,66.271,0,0,Rounds 6-7,0,0.36762278963022,28,25.206611570247933,42.42424242424242
2025,RB,Skill,SEC,72.0,217,9.25,76.25,4.46,36.5,33,117.1,7.28,4.03,1,14.834,76.206,0,0,Undrafted,1,0.3671012987479638,29,25.6198347107438,43.93939393939394
2024,IOL,OL,SEC,75.5,302,10.5,81.5,5.13,26.5,27,111.0,7.67,4.58,1,15.36,75.057,0,0,Rounds 4-5,0,0.36374537182346833,29,26.033057851239672,43.93939393939394
2023,RB,Skill,Big Ten,70.125,209,9.25,74.375,4.47,37.0,20,123.0,6.9,4.38,1,-7.588,30.34,0,0,Rounds 6-7,0,0.3633287199350921,29,26.446280991735538,43.93939393939394
2023,RB,Skill,Big 12,71.0,215,9.375,78.5,4.54,34.5,20,121.0,6.96,4.43,0,14.378,80.5,0,0,Rounds 2-3,0,0.36252599448358347,29,26.859504132231404,43.93939393939394
2023,C,OL,SEC,75.0,306,9.75,79.625,5.26,32.5,20,111.0,7.52,4.43,1,6.93,62.299,0,0,Rounds 4-5,0,0.3603564188235079,29,27.27272727272727,43.93939393939394
2025,OT,OL,ACC,80.125,316,10.375,81.0,5.21,24.5,22,106.0,7.71,4.7,1,4.829,61.35,0,0,Rounds 2-3,0,0.3575700762513535,29,27.685950413223143,43.93939393939394
2025,TE,Skill,Big Ten,77.75,251,10.0,78.375,5.42,35.0,11,120.0,7.18,4.47,1,11.144,70.238,0,0,Rounds 6-7,0,0.3516691030457323,29,28.09917355371901,43.93939393939394
